,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300942.SZ,300942,N易瑞,生物制药,True,578.719,13.83,,0.0
1,300941.SZ,300941,N创识,软件服务,True,179.493,19.28,,0.0
2,605077.SH,605077,N华康,食品,True,44.0054,21.67,,0.0
3,605081.SH,605081,N太和水,环境保护,True,34.2263,11.35,,0.0
4,300896.SZ,300896,爱美客,医疗保健,True,20.0,283.05,"中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
中国工商银行股份有限公司-东方红启元三年持有期混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国建设银行股份有限公司-南方信息创新混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国农业银行股份有限公司-大成创业板两年定期开放混合型证券投资基金
全国社保基金六零二组合",7.0
5,300323.SZ,300323,华灿光电,半导体,True,15.5496,143.76,上海虎铂新能股权投资基金合伙企业(有限合伙),1.0
6,300685.SZ,300685,艾德生物,生物制药,True,10.789,200.59,"香港中央结算有限公司(陆股通)
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
全国社保基金四零六组合
博时基金管理有限公司-社保基金四一九组合",4.0
7,601015.SH,601015,陕西黑猫,焦炭加工,True,10.0559,160.53,长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,1.0
8,002532.SZ,002532,天山铝业,铝,True,10.0216,43.6,"中国建设银行股份有限公司-万家精选混合型证券投资基金
中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金",2.0
9,605337.SH,605337,李子园,乳制品,True,10.0139,12.29,,0.0
10,003022.SZ,003022,联泓新科,化工原料,True,10.0095,51.18,,0.0
11,601808.SH,601808,中海油服,石油开采,True,10.0058,559.82,"国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",6.0
12,600346.SH,600346,恒力石化,化纤,True,10.0049,3134.51,"香港中央结算有限公司(陆股通)
西藏信托有限公司-西藏信托-恒力石化第四期员工持股集合资金信托计划
全国社保基金一零一组合
平安资管-平安银行-平安资产创赢5号资产管理产品",4.0
13,601233.SH,601233,桐昆股份,化纤,True,10.0,629.07,"华能贵诚信托有限公司-华能信托·尊溢同盈1号集合资金信托计划
华润深国投信托有限公司-华润信托·华颖2号单一资金信托
陕西省国际信托股份有限公司-陕国投·财富81号单一资金信托
华润深国投信托有限公司-华润信托·华颖1号单一资金信托
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",6.0
14,000951.SZ,000951,中国重汽,汽车整车,True,10.0,309.96,"全国社保基金一一六组合
汇添富基金管理股份有限公司-社保基金1103组合
交通银行-融通行业景气证券投资基金
挪威中央银行-自有资金
香港中央结算有限公司(陆股通)
全国社保基金一一一组合
中央汇金资产管理有限责任公司",7.0
15,003035.SZ,003035,南网能源,环境保护,True,10.0,61.67,,0.0
16,002088.SZ,002088,鲁阳节能,矿物制品,True,10.0,47.91,"中央汇金资产管理有限责任公司
上海混沌道然资产管理有限公司-混沌价值一号基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金",3.0
17,600916.SH,600916,中国黄金,黄金,True,9.9874,15.66,,0.0
18,003037.SZ,003037,三和管桩,水泥,True,9.982,8.32,,0.0
19,600166.SH,600166,福田汽车,汽车整车,True,9.9707,246.57,中央汇金资产管理有限责任公司,1.0
20,002597.SZ,002597,金禾实业,食品,True,9.8873,288.98,"荷兰汇盈资产管理公司-荷兰汇盈新兴市场股票基金
基本养老保险基金八零八组合
中国工商银行-广发稳健增长证券投资基金
中国银行股份有限公司-国投瑞银精选收益灵活配置混合型证券投资基金
中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金
全国社保基金一零一组合
香港中央结算有限公司(陆股通)
交通银行股份有限公司-华安策略优选混合型证券投资基金",8.0
21,002254.SZ,002254,泰和新材,化纤,True,9.5017,74.46,"广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
中国工商银行-嘉实策略增长混合型证券投资基金
全国社保基金四一三组合
中国银行股份有限公司-工银瑞信核心价值混合型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",6.0
22,600438.SH,600438,通威股份,饲料,True,9.2545,2186.81,"中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
交通银行股份有限公司-南方成长先锋混合型证券投资基金
华能贵诚信托有限公司-华能信托·丹华成长集合资金信托计划
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)",8.0
23,000157.SZ,000157,中联重科,工程机械,True,8.7214,960.84,"香港中央结算有限公司(陆股通)
中航信托股份有限公司-中航信托·天顺【2018】220号中联单一资金信托
中央汇金资产管理有限责任公司",3.0
24,603605.SH,603605,珀莱雅,日用化工,True,8.6145,430.81,"中国银行股份有限公司-鹏华价值共赢两年持有期混合型证券投资基金
基本养老保险基金一六零六一组合
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中信银行股份有限公司-农银汇理策略精选混合型证券投资基金
中国银行股份有限公司-景顺长城鼎益混合型证券投资基金(LOF)
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
汇添富基金-建设银行-中国人寿-中国人寿委托汇添富基金公司股票型组合
香港中央结算有限公司(陆股通)",8.0
25,000538.SZ,000538,云南白药,中成药,True,7.8662,965.27,"香港中央结算有限公司(陆股通)
瑞银资产管理(新加坡)有限公司-瑞银卢森堡投资SICAV
中央汇金资产管理有限责任公司
全国社保基金一一八组合",4.0
26,600406.SH,600406,国电南瑞,电气设备,True,7.7469,1530.03,"香港中央结算有限公司(陆股通)
中国国有企业结构调整基金股份有限公司
中央汇金资产管理有限责任公司
上海重阳战略投资有限公司-重阳战略汇智基金",4.0
27,002925.SZ,002925,盈趣科技,元器件,True,7.5762,308.6,"中国工商银行股份有限公司-东方红睿玺三年定期开放灵活配置混合型证券投资基金
全国社保基金五零四组合
中国银行股份有限公司-嘉实价值精选股票型证券投资基金
中国银行股份有限公司-嘉实3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
中国银行股份有限公司-嘉实沪港深精选股票型证券投资基金",7.0
