,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE,concept
0,300768.SZ,300768,迪普科技,软件服务,17.47,9.0,0.0,38.15,
1,300771.SZ,300771,智莱科技,电脑设备,15.07,3.0,0.0,57.97,
2,300770.SZ,300770,新媒股份,影视音像,14.93,4.0,0.0,76.25,
3,300573.SZ,300573,兴齐眼药,化学制药,14.81,9.0,0.0,58.96,"医药, 化学药, 眼科, "
4,300769.SZ,300769,德方纳米,化工原料,14.59,8.0,0.0,119.0,
5,603068.SH,603068,博通集成,半导体,14.29,8.0,0.0,57.51,
6,603317.SH,603317,天味食品,食品,13.96,7.0,0.0,35.81,
7,002054.SZ,002054,德美化工,化工原料,11.39,4.0,0.0,10.59,"半导体, 国资入股, 壳公司, 创投, "
8,600175.SH,600175,美都能源,综合类,10.11,7.0,0.0,4.24,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
9,000815.SZ,000815,美利云,造纸,10.0,2.0,0.0,10.38,"大数据, 云计算, 造纸, 宁夏, "
10,600213.SH,600213,亚星客车,汽车整车,9.61,7.0,0.0,13.67,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
11,300405.SZ,300405,科隆股份,化工原料,9.39,1.0,0.0,10.65,"石油化工, "
12,300216.SZ,300216,千山药机,医疗保健,9.01,1.0,0.0,3.81,"智能制造, 基因测序, 医疗器械, 机器视觉, "
13,002547.SZ,002547,春兴精工,通信设备,9.01,9.0,0.0,15.0,"5G, 特斯拉, 华为产业链, 3D玻璃, "
14,300152.SZ,300152,科融环境,环境保护,8.76,7.0,0.0,4.38,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
15,600751.SH,600751,海航科技,水运,8.09,1.0,0.0,4.14,"破净股, 京津冀, 自贸区, 天津自贸区, 资产重组, 独角兽, "
16,002793.SZ,002793,东音股份,专用机械,7.04,1.0,0.0,13.54,
17,603079.SH,603079,圣达生物,食品,6.91,3.0,1.0,25.91,"维生素, "
18,601588.SH,601588,北辰实业,区域地产,6.7,1.0,0.0,3.71,"北京城市规划, 破净股, 房地产, 京津冀, "
19,300659.SZ,300659,中孚信息,软件服务,6.53,1.0,0.0,34.2,"网络安全, 国产软件, 资产重组, "
20,000766.SZ,000766,通化金马,中成药,6.44,2.0,1.0,10.0,"民营医院, 高质押率, 医药, 中药, 资产重组, 工业大麻, "
21,002695.SZ,002695,煌上煌,食品,6.43,1.0,0.0,13.86,"食品, 休闲食品, "
22,300058.SZ,300058,蓝色光标,广告包装,6.13,1.0,0.0,5.81,"国家队重仓, 互联网金融, 大数据, 人工智能, 国资入股, "
23,300238.SZ,300238,冠昊生物,医疗保健,6.08,7.0,0.0,22.16,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
24,300279.SZ,300279,和晶科技,元器件,5.97,2.0,0.0,6.8,"阿里巴巴概念股, 教育, 物联网, 智慧城市, 腾讯概念股, 独角兽, 强势人气股, "
25,300145.SZ,300145,中金环境,专用机械,5.96,9.0,0.0,6.2,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
26,300051.SZ,300051,三五互联,互联网,5.95,1.0,0.0,8.07,"数字中国, 云计算, 区块链, 国产软件, 腾讯概念股, 游戏, 手游, 动漫, "
27,000702.SZ,000702,正虹科技,饲料,5.95,7.0,0.0,9.56,"饲料, 业绩预增, 湖南国企改革, 农垦, "
28,000792.SZ,000792,盐湖股份,化工原料,5.71,2.0,0.0,7.56,"PVC, 有色-镁, 社保重仓, 有色金属, 化肥, 锂电池, 新能源汽车, "
29,002255.SZ,002255,海陆重工,专用机械,5.66,2.0,0.0,5.22,"核电, 业绩预增, 光伏, "
30,002600.SZ,002600,领益智造,元器件,5.46,7.0,0.0,7.02,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
31,002566.SZ,002566,益盛药业,中成药,5.44,2.0,0.0,8.02,"保健品, 食品, 医药, 中药, "
32,002385.SZ,002385,大北农,饲料,5.29,7.0,0.0,7.76,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
33,300022.SZ,300022,吉峰科技,农用机械,5.24,8.0,0.0,6.26,"乡村振兴, 农机, "
34,002871.SZ,002871,伟隆股份,机械基件,5.24,1.0,0.0,25.8,
35,002417.SZ,002417,深南股份,多元金融,5.21,1.0,0.0,8.78,"供应链金融, 互联网金融, 大数据, 云计算, "
36,300344.SZ,300344,太空智造,其他建材,5.18,1.0,0.0,7.31,"装配式建筑, 雄安-建材, 雄安新区, "
37,600322.SH,600322,天房发展,区域地产,5.12,1.0,0.0,3.89,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
38,002274.SZ,002274,华昌化工,农药化肥,5.02,7.0,0.0,14.96,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
39,001896.SZ,001896,豫能控股,火力发电,4.98,7.0,0.0,5.2,"火电, 电改, 破净股, 风电, 定增破发, "
40,600829.SH,600829,人民同泰,医药商业,4.94,2.0,1.0,8.32,"医药商业, 民营医院, 医药, 举牌股, "
41,002347.SZ,002347,泰尔股份,机械基件,4.92,2.0,0.0,5.94,"回购, 锂电池, 新能源汽车, 透明工厂, "
42,002631.SZ,002631,德尔未来,家居用品,4.82,7.0,0.0,10.71,"石墨烯, 家具家居, "
43,603399.SH,603399,吉翔股份,小金属,4.81,3.0,0.0,13.24,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
44,002100.SZ,002100,天康生物,饲料,4.78,7.0,0.0,11.73,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
45,000659.SZ,000659,珠海中富,广告包装,4.73,1.0,0.0,3.48,"粤港澳大湾区, 举牌股, 包装印刷, ST摘帽, "
46,002539.SZ,002539,云图控股,农药化肥,4.65,1.0,0.0,5.91,"社保重仓, 调味品, 业绩预增, 食品, 化肥, 磷化工, 电竞, 腾讯概念股, 手游, "
47,600073.SH,600073,上海梅林,食品,4.63,7.0,1.0,11.1,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
48,002562.SZ,002562,兄弟科技,化学制药,4.61,1.0,0.0,5.97,"回购, 维生素, "
49,300198.SZ,300198,纳川股份,塑料,4.6,9.0,1.0,4.8,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
50,002611.SZ,002611,东方精工,轻工机械,4.52,7.0,0.0,6.2,"北汽新能源, 社保重仓, 宁德时代概念股, 定增破发, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
51,300430.SZ,300430,诚益通,电器仪表,4.41,9.0,0.0,14.24,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
52,000637.SZ,000637,茂化实华,石油加工,4.34,7.0,0.0,6.81,"油气改革, 石油化工, 燃料电池, "
53,300266.SZ,300266,兴源环境,环境保护,4.29,7.0,1.0,6.06,"固废处理, 定增破发, 环保, 污水处理, 股权转让, 国资入股, 资产重组, "
54,300226.SZ,300226,上海钢联,互联网,4.27,1.0,0.0,79.12,"供应链金融, 互联网金融, 大数据, 工业互联网, "
