,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,300160.SZ,秀强股份,玻璃,9.35,49.92,中央汇金资产管理有限责任公司
1,300390.SZ,天华超净,元器件,12.12,35.51,
2,002239.SZ,奥特佳,汽车配件,3.64,34.95,
3,603131.SH,上海沪工,专用机械,24.75,30.0,"交通银行股份有限公司-天治核心成长混合型证券投资基金(LOF)
上海朴易资产管理有限公司-朴易至尚证券投资基金"
4,300654.SZ,世纪天鸿,出版业,18.63,30.0,
5,300235.SZ,方直科技,软件服务,25.3,29.99,前海开源基金-浦发银行-中融国际信托-中融-融珲60号单一资金信托
6,603993.SH,洛阳钼业,小金属,5.42,29.75,"建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
泰达宏利基金-民生银行-长安国际信托-长安信托-民生定增1号单一资金信托
香港中央结算有限公司(陆股通)
全国社保基金一零二组合"
7,603799.SH,华友钴业,小金属,52.66,26.78,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
中国农业银行股份有限公司-万家品质生活灵活配置混合型证券投资基金
招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金"
8,000016.SZ,深康佳A,家用电器,8.45,25.83,"香港中央结算有限公司(陆股通)
全国社保基金一一八组合"
9,300677.SZ,英科医疗,医疗保健,33.36,25.15,广发证券股份有限公司-中庚小盘价值股票型证券投资基金
10,300455.SZ,康拓红外,运输设备,17.5,23.98,
