,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
1,300658.SZ,延江股份,纺织,10.0073,45.29,40.02,
2,600268.SH,国电南自,电气设备,10.0118,9.34,39.99,"招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金"
3,300026.SZ,红日药业,中成药,9.9541,7.18,36.88,
5,300368.SZ,汇金股份,IT设备,10.0,9.79,30.08,中央汇金资产管理有限责任公司
8,002825.SZ,纳尔股份,化工原料,10.0,19.03,30.01,"青骊投资管理(上海)有限公司-青骊长兴私募投资基金
青骊投资管理(上海)有限公司-青骊银鞍私募证券投资基金"
9,300452.SZ,山河药辅,化学制药,10.0,25.08,29.96,
23,600836.SH,界龙实业,广告包装,9.5,6.57,22.77,
29,000680.SZ,山推股份,工程机械,10.0,3.96,20.09,中央汇金资产管理有限责任公司
31,002808.SZ,恒久科技,元器件,10.0228,9.66,20.05,
36,002178.SZ,延华智能,建筑工程,9.9576,5.19,20.02,
37,002836.SZ,新宏泽,广告包装,10.0186,11.86,20.02,
40,603183.SH,建研院,建筑工程,10.0,11.0,20.01,
42,002464.SZ,众应互联,互联网,9.9511,6.74,20.01,
46,000428.SZ,华天酒店,酒店餐饮,10.0,3.74,19.97,深圳昭阳投资管理有限公司-昭阳1号私募证券投资基金
48,002537.SZ,海联金汇,汽车整车,9.9432,7.74,19.94,
56,600812.SH,华北制药,化学制药,10.0127,8.68,17.8,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中央汇金资产管理有限责任公司
深圳德威资本投资管理有限公司-德威资本优盛私募基金
中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
深圳德威资本投资管理有限公司-德威资本商品1号私募基金
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
66,300248.SZ,新开普,软件服务,10.0271,12.18,16.27,
72,600083.SH,博信股份,综合类,10.0515,8.54,15.91,
73,601012.SH,隆基股份,电气设备,10.0038,28.92,15.87,
76,603105.SH,芯能科技,电气设备,10.0571,9.63,15.43,
82,002371.SZ,北方华创,专用机械,9.1497,136.71,14.36,"中国工商银行股份有限公司-诺安成长混合型证券投资基金
北京芯动能投资基金(有限合伙)
北京京国瑞国企改革发展基金(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
国家集成电路产业投资基金股份有限公司"
131,002469.SZ,三维工程,建筑工程,10.0917,4.8,10.09,中央汇金资产管理有限责任公司
137,002472.SZ,双环传动,机械基件,10.0823,5.35,10.08,
143,002480.SZ,新筑股份,机械基件,10.0629,5.25,10.06,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
芜湖长元股权投资基金(有限合伙)"
144,600555.SH,海航创新,旅游服务,10.0478,2.3,10.05,
152,600272.SH,开开实业,中成药,10.0396,8.33,10.04,
156,300035.SZ,中科电气,电气设备,10.0443,7.45,10.04,
168,603815.SH,交建股份,建筑工程,10.0158,20.87,10.02,
173,002156.SZ,通富微电,半导体,10.0178,24.71,10.02,"国家集成电路产业投资基金股份有限公司
南通招商江海产业发展基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
全国社保基金一一四组合
招商银行股份有限公司-银河创新成长混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金"
174,002308.SZ,威创股份,IT设备,10.0182,6.04,10.02,
182,300594.SZ,朗进科技,运输设备,10.0146,30.21,10.01,
185,002780.SZ,三夫户外,其他商业,10.0052,21.11,10.01,
191,002409.SZ,雅克科技,化工原料,10.0,34.76,10.0,
202,000779.SZ,甘咨询,建筑工程,10.0,11.88,10.0,中信银行股份有限公司-建信中证500指数增强型证券投资基金
209,000801.SZ,四川九洲,通信设备,10.0,5.39,10.0,
211,000799.SZ,酒鬼酒,白酒,10.0,32.23,10.0,"国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划"
219,300538.SZ,同益股份,批发业,9.9952,22.89,10.0,
221,300401.SZ,花园生物,食品,9.9932,16.07,9.99,"九泰基金-浦发银行-粤财信托-粤财信托-菁英162期单一资金信托计划
中科先行(北京)资产管理有限公司
中国信达资产管理股份有限公司
基本养老保险基金三零三组合
中国工商银行股份有限公司-光大保德信中国制造2025灵活配置混合型证券投资基金
九泰基金-浦发银行-粤财信托-粤财信托-菁英162期单一资金信托计划
中科先行(北京)资产管理有限公司
中国信达资产管理股份有限公司"
222,300363.SZ,博腾股份,化学制药,9.9883,28.19,9.99,"中央汇金资产管理有限责任公司
重庆慧林股权投资基金合伙企业(有限合伙)
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金二号(有限合伙)
中国工商银行-广发聚丰混合型证券投资基金
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金三号(有限合伙)"
225,002326.SZ,永太科技,化工原料,9.9912,12.55,9.99,"海通证券资管-工商银行-海通投融宝1号集合资产管理计划
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金"
228,002837.SZ,英维克,专用机械,9.9922,42.05,9.99,
231,300736.SZ,百邦科技,通信设备,9.9785,10.25,9.98,
236,300234.SZ,开尔新材,陶瓷,9.9762,13.89,9.98,"山西证券-杭州银行-山西证券开尔新材1号集合资产管理计划
山西证券-杭州银行-山西证券开尔新材1号集合资产管理计划
山西证券-杭州银行-山西证券开尔新材1号集合资产管理计划"
238,300100.SZ,双林股份,汽车服务,9.9812,5.84,9.98,
248,600512.SH,腾达建设,建筑工程,9.9698,3.64,9.97,
252,600366.SH,宁波韵升,电器仪表,9.9458,6.08,9.95,香港中央结算有限公司(陆股通)
255,002526.SZ,山东矿机,工程机械,9.9548,2.43,9.95,
261,002061.SZ,浙江交科,建筑工程,9.9222,5.65,9.92,
279,000566.SZ,海南海药,化学制药,9.2227,8.29,9.22,
281,688015.SH,交控科技,运输设备,9.1204,47.14,9.12,"中国银行股份有限公司-华宝动力组合混合型证券投资基金
中国建设银行股份有限公司-华夏优势增长混合型证券投资基金"
