,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,002285.SZ,世联行,房产服务,9.894,3.11,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
1,600658.SH,电子城,园区开发,9.9174,5.32,"全国社保基金五零三组合
德邦基金-浦发银行-中融信托-中融-融昱28号集合资金信托计划
德邦基金-浦发银行-中融信托-中融-融昱28号集合资金信托计划
全国社保基金五零三组合"
2,600622.SH,光大嘉宝,区域地产,9.9558,4.97,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中邮核心优选混合型证券投资基金
中国农业银行股份有限公司-中邮核心优选混合型证券投资基金
香港中央结算有限公司(陆股通)"
3,300276.SZ,三丰智能,专用机械,9.9635,9.05,"长江财富资管-湖北省鄂旅投创业投资有限责任公司-长江财富-财富成长5号单一资产管理计划
中意资管-招商银行-中意资产-招商银行-定增精选74号资产管理产品
中央汇金资产管理有限责任公司
中意资管-招商银行-中意资产-招商银行-定增精选72号资产管理产品
中意资管-招商银行-中意资产-招商银行-定增精选72号资产管理产品
中意资管-招商银行-中意资产-招商银行-定增精选74号资产管理产品
中央汇金资产管理有限责任公司"
4,603603.SH,博天环境,环境保护,9.9668,6.62,"国投创新(北京)投资基金有限公司
上海复星创富股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
国投创新(北京)投资基金有限公司
上海复星创富股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)"
5,002635.SZ,安洁科技,IT设备,9.9791,21.05,"全国社保基金一一六组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
基本养老保险基金一二零六组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国光大银行股份有限公司-泓德优选成长混合型证券投资基金"
6,002536.SZ,飞龙股份,汽车配件,9.9796,5.4,"中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)
北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金"
7,603986.SH,兆易创新,半导体,9.9993,305.6,"国家集成电路产业投资基金股份有限公司
陕西省国际信托股份有限公司-陕国投·财富28号单一资金信托
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金
中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
中国工商银行股份有限公司-诺安成长股票型证券投资基金
国家集成电路产业投资基金股份有限公司
陕西省国际信托股份有限公司-陕国投·财富28号单一资金信托
香港中央结算有限公司(陆股通)
全国社保基金四零一组合
中国工商银行股份有限公司-诺安成长股票型证券投资基金"
8,000616.SZ,海航投资,全国地产,10.0,2.64,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
9,300738.SZ,奥飞数据,电信运营,10.007,47.05,"中国工商银行-广发聚丰混合型证券投资基金
中国工商银行股份有限公司-富国创新科技混合型证券投资基金
中国银行股份有限公司-招商核心优选股票型证券投资基金
中国银行-招商先锋证券投资基金
全国社保基金五零四组合
中国银行股份有限公司-广发优势增长股票型证券投资基金"
