,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,002554.SZ,002554,惠博普,石油开采,1.0,3.82,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 股权转让, ",29.39亿
1,002535.SZ,002535,林州重机,工程机械,2.0,4.32,"业绩预增, 供应链金融, 军工, 军民融合, 锂电池, 新能源汽车, 虹膜识别, ",24.59亿
2,603002.SH,603002,宏昌电子,化工原料,1.0,4.37,"3D打印, 智能制造, ",26.67亿
3,002052.SZ,002052,同洲电子,通信设备,1.0,4.62,"物联网, 家电, 举牌股, 黑色家电, 广电, ",34.46亿
4,002164.SZ,002164,宁波东力,电气设备,1.0,4.64,"风电, 定增破发, ",20.24亿
5,000599.SZ,000599,青岛双星,汽车配件,1.0,4.99,"中韩自贸区, 智慧物流, 定增破发, 轮胎, 山东国企改革, 智能制造, 自贸区, ",38.31亿
6,002172.SZ,002172,澳洋健康,化纤,1.0,5.05,"医药商业, 民营医院, 回购, 石油化工, 定增破发, 医药, 基因测序, 粘胶短纤, ",34.69亿
7,300152.SZ,300152,科融环境,环境保护,2.0,5.09,"固废处理, 雄安-园林环保, 大气治理, 燃料电池, 环保, 雄安新区, 污水处理, ",36.28亿
8,000655.SZ,000655,金岭矿业,普钢,1.0,5.12,"山东国企改革, 铁矿石, 股权转让, ST摘帽, ",30.48亿
9,600368.SH,600368,五洲交通,路桥,1.0,5.13,"高速公路, 一带一路, 东盟博览会, 广西, ",57.74亿
10,000589.SZ,000589,贵州轮胎,汽车配件,2.0,5.24,"破净股, 轮胎, ",40.63亿
11,002651.SZ,002651,利君股份,专用机械,1.0,5.27,"大飞机, 通用航空, 无人机, ",27.37亿
12,002308.SZ,002308,威创股份,电脑设备,1.0,5.38,"二胎, 教育, 百度概念股, 定增破发, 智慧城市, 智慧安防, ",48.57亿
13,300145.SZ,300145,中金环境,专用机械,1.0,5.39,"固废处理, 社保重仓, 回购, 环保, 污水处理, 股权转让, 国资入股, ",79.72亿
14,002571.SZ,002571,德力股份,玻璃,1.0,5.56,"创投, ",14.08亿
15,002476.SZ,002476,宝莫股份,化工原料,1.0,5.64,"油服, 页岩气, 天然气, 石油化工, ",33.07亿
16,603335.SH,603335,迪生力,汽车配件,2.0,5.67,"汽车零部件, ",11.53亿
17,002211.SZ,002211,宏达新材,橡胶,1.0,5.95,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, ",25.73亿
18,600469.SH,600469,风神股份,汽车配件,1.0,6.0,"央企改革, 回购, 重卡, 轮胎, ",33.74亿
19,002762.SZ,002762,金发拉比,服饰,1.0,6.26,"二胎, 纺织服装, ",11.9亿
20,002481.SZ,002481,双塔食品,食品,5.0,6.28,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, 人造肉, ",69.53亿
21,002703.SZ,002703,浙江世宝,汽车配件,1.0,6.31,"汽车零部件, 无人驾驶, ",34.9亿
22,300292.SZ,300292,吴通控股,软件服务,1.0,6.34,"5G, 光通信, 华为产业链, 物联网, 滴滴出行概念股, 独角兽, ",65.28亿
23,601678.SH,601678,滨化股份,化工原料,1.0,6.59,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, ",101.78亿
24,600232.SH,600232,金鹰股份,纺织,1.0,6.61,"回购, 环杭州湾大湾区, 锂电池, 新能源汽车, 资产重组, 工业大麻, ",24.11亿
25,300175.SZ,300175,朗源股份,食品,1.0,6.63,"土地流转, 大数据, 云计算, 农业种植, 股权转让, 强势人气股, 苹果期货, ",30.4亿
26,600778.SH,600778,友好集团,百货,1.0,6.68,"转基因, 新疆, 举牌股, 复牌股, 壳公司, ST摘帽, ",20.78亿
27,002079.SZ,002079,苏州固锝,半导体,1.0,6.79,"业绩预增, 军工, 军民融合, 物联网, 半导体, 苹果产业链, 国产芯片, 共享经济, 资产重组, ",49.31亿
