code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
600165,新日恒力,6.85,-61.303,0.316,-7.178,0.15,
002143,印纪传媒,9.74,-55.537,0.302,-38.714,0.185,
600610,*ST毅达,3.76,-51.053,0.216,-9.816,0.101,
002840,华统股份,1.47,-47.467,0.185,-20.628,0.064,
600753,东方银星,1.28,-44.609,0.243,13.104,0.053,
000576,广东甘化,4.36,-42.287,0.159,-25.152,0.152,
600290,华仪电气,5.27,-40.206,0.156,-12.791,0.151,
002072,凯瑞德,1.69,-38.296,0.148,-3.064,0.123,
600203,福日电子,3.6,-37.995,0.204,-25.715,0.094,
600896,*ST海投,5.77,-36.338,0.171,5.687,0.062,
002769,普路通,2.32,-33.694,0.133,-2.922,0.152,
000584,哈工智能,6.11,-31.369,0.172,-26.174,0.157,
000796,凯撒旅游,8.03,-29.823,0.143,-23.625,0.131,
002387,维信诺,4.69,-28.147,0.088,-18.207,0.12,
000022,深赤湾Ａ,4.65,-25.43,0.134,-3.135,0.056,
002885,京泉华,0.45,-24.62,0.061,-19.338,0.078,
600209,*ST罗顿,4.39,-24.589,0.097,-6.656,0.102,
600212,江泉实业,5.12,-23.693,0.132,-15.691,0.11,
002260,*ST德奥,2.65,-23.588,0.07,20.908,0.132,
000523,广州浪奇,5.35,-23.179,0.056,-14.341,0.167,
002011,盾安环境,8.41,-23.003,0.115,-18.846,0.199,
000408,藏格控股,4.47,-22.895,0.077,-3.688,0.055,
600880,博瑞传播,7.32,-22.832,0.047,18.918,0.064,
000409,*ST地矿,4.06,-20.37,0.084,35.723,0.054,
600678,四川金顶,3.49,-18.275,0.116,-18.78,0.236,
002089,新 海 宜,9.8,-17.893,0.065,-29.322,0.127,
000779,三毛派神,1.86,-17.594,0.094,-14.99,0.172,
002755,东方新星,1.72,-17.433,0.092,79.979,0.17,
000790,泰合健康,5.6,-17.103,0.093,-27.707,0.109,
002178,延华智能,7.1,-16.93,0.095,-17.639,0.084,
000670,盈方微,6.0,-15.445,0.069,-17.598,0.106,
600701,*ST工新,7.76,-15.371,0.103,-59.026,0.576,
002607,亚夏汽车,7.05,-15.3,0.033,-9.769,0.109,
000802,北京文化,3.85,-15.188,0.088,0.145,0.05,
