,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_RECENT_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,603167.SH,603167,渤海轮渡,水运,19.39,9.983,8.0,90.3,"交通银行股份有限公司-景顺长城中证红利低波动100交易型开放式指数证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)",5.0
1,600543.SH,600543,莫高股份,红黄酒,10.69,9.9794,8.0,34.33,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
2,002108.SZ,002108,沧州明珠,塑料,7.4,9.9554,8.0,104.93,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
深圳福星资本管理有限公司-福星高照1号私募投资基金
中央汇金资产管理有限责任公司",3.0
3,300368.SZ,300368,汇金股份,IT设备,15.51,16.2669,6.0,79.06,中央汇金资产管理有限责任公司,1.0
4,002993.SZ,002993,奥海科技,元器件,62.34,10.0053,6.0,28.18,,0.0
5,002919.SZ,002919,名臣健康,日用化工,39.93,10.0,6.0,16.88,,0.0
6,000505.SZ,000505,京粮控股,食品,14.08,10.0,5.0,57.18,"招商基金-国新投资有限公司-招商基金-国新1号单一资产管理计划
鑫牛润瀛(天津)股权投资基金管理有限公司-鑫牛润瀛(天津)股权投资基金合伙企业(有限合伙)",2.0
7,605388.SH,605388,均瑶健康,软饮料,28.31,9.9845,5.0,19.82,,0.0
8,605333.SH,605333,沪光股份,汽车配件,11.17,10.0493,5.0,4.48,,0.0
9,600158.SH,600158,中体产业,文教休闲,14.63,10.0,5.0,96.19,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
10,300313.SZ,300313,天山生物,农业综合,9.31,19.9742,4.0,17.14,,0.0
11,300733.SZ,300733,西菱动力,汽车配件,16.31,10.6513,4.0,11.06,,0.0
12,600726.SH,600726,华电能源,火力发电,3.14,10.1754,4.0,48.19,,0.0
13,688229.SH,688229,博睿数据,软件服务,161.0,9.8226,4.0,16.27,,0.0
14,603931.SH,603931,格林达,化工原料,40.99,10.0107,4.0,10.43,,0.0
15,002288.SZ,002288,超华科技,元器件,9.46,10.0,4.0,75.71,天风天成资管-招商证券-天风天成科瑞集合资产管理计划,1.0
16,603787.SH,603787,新日股份,摩托车,24.74,10.0044,4.0,50.47,"中国银行股份有限公司-长盛生态环境主题灵活配置混合型证券投资基金
中国农业银行股份有限公司-长盛动态精选证券投资基金",2.0
17,603758.SH,603758,秦安股份,汽车配件,10.91,9.9798,3.0,47.87,上海兰丞秦安股权投资基金合伙企业(有限合伙),1.0
18,000692.SZ,000692,惠天热电,供气供热,3.73,10.0295,3.0,19.87,,0.0
19,300116.SZ,300116,坚瑞沃能,电气设备,2.51,20.0957,3.0,94.82,"兴业财富资产-兴业银行-兴业财富-兴利190号特定多客户资产管理计划
上海国泰君安君彤投资管理有限公司-君彤二期投资基金",2.0
20,000930.SZ,000930,中粮科技,农业综合,11.13,9.9802,3.0,107.34,"中国工商银行股份有限公司-中证主要消费交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",4.0
21,002027.SZ,002027,分众传媒,影视音像,7.71,9.9857,3.0,1131.66,"中国工商银行股份有限公司-东方红沪港深灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金",3.0
22,603076.SH,603076,乐惠国际,专用机械,59.29,10.0,3.0,15.92,上海天戈投资管理有限公司-天戈紫旭私募基金,1.0
