,ts_code,symbol,name,industry,COL_CHG,COL_LAST_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300966.SZ,300966,共同药业,化学制药,74.41571357533567,7.8567,19.29,,0.0
1,603518.SH,603518,锦泓集团,服饰,61.09391124871002,10.007,39.03,,0.0
2,601279.SH,601279,英利汽车,汽车配件,60.82474226804122,9.9882,13.99,,0.0
3,002581.SZ,002581,未名医药,生物制药,55.23156089193826,6.034,72.54,,0.0
4,688201.SH,688201,信安世纪,通信设备,54.66562986003112,17.6923,11.31,,0.0
5,002900.SZ,002900,哈三联,化学制药,54.06732117812061,10.015,37.52,,0.0
6,605089.SH,605089,味知香,食品,46.421616358325224,10.0037,15.04,,0.0
7,300061.SZ,300061,旗天科技,互联网,44.39024390243902,20.0,48.32,,0.0
8,000718.SZ,000718,苏宁环球,区域地产,41.12903225806453,2.3392,160.24,,0.0
9,300300.SZ,300300,海峡创新,软件服务,39.85330073349633,11.284,38.39,,0.0
10,600684.SH,600684,珠江股份,全国地产,38.99999999999999,3.2178,35.59,,0.0
11,000615.SZ,000615,奥园美谷,化纤,38.80903490759755,-3.3365,156.49,,0.0
12,300672.SZ,300672,国科微,半导体,38.28571428571428,12.5756,125.29,,0.0
13,600238.SH,600238,海南椰岛,红黄酒,36.239316239316246,10.0069,70.93,,0.0
14,688315.SH,688315,诺禾致源,医疗保健,36.153584777438,-7.1379,13.02,,0.0
15,300697.SZ,300697,电工合金,铜,35.289115646258516,4.74,23.16,,0.0
16,603933.SH,603933,睿能科技,纺织机械,34.5962113659023,1.1994,27.17,,0.0
17,600889.SH,600889,南京化纤,化纤,33.405172413793125,9.9467,22.68,,0.0
18,688356.SH,688356,键凯科技,化学制药,33.16687473990845,7.3681,22.8,"中信证券股份有限公司-社保基金17051组合
招商银行股份有限公司-泰达宏利价值长青混合型证券投资基金
中国农业银行股份有限公司-摩根士丹利华鑫建康产业混合型证券投资基金
招商证券股份有限公司-天弘医疗健康混合型证券投资基金
基本养老保险基金一二零八组合
中信证券-中信银行-中信证券卓越成长两年持有期混合型集合资产管理计划
中国银行股份有限公司-泰达宏利复兴伟业灵活配置混合型证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金",8.0
19,600499.SH,600499,科达制造,专用机械,31.21546961325967,7.9545,224.75,,0.0
20,601015.SH,601015,陕西黑猫,焦炭加工,30.80969349190923,9.987,138.21,长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金,1.0
21,300222.SZ,300222,科大智能,电气设备,30.76923076923077,4.326,56.36,,0.0
22,000928.SZ,000928,中钢国际,建筑工程,29.60959336398883,10.0478,144.51,"中钢资产管理有限责任公司
红土创新基金-银河证券-深圳市创新投资集团有限公司
中航证券-宁波银行-中航祥瑞集合资产管理计划
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金",4.0
23,688661.SH,688661,和林微纳,元器件,29.29034459228934,8.8624,12.34,,0.0
24,300487.SZ,300487,蓝晓科技,化工原料,29.22362651534691,4.6366,63.58,,0.0
25,600172.SH,600172,黄河旋风,矿物制品,28.186274509803933,10.1053,64.03,,0.0
26,000980.SZ,000980,*ST众泰,汽车配件,28.15013404825737,5.0549,59.56,,0.0
27,603020.SH,603020,爱普股份,食品,28.09829059829061,10.0,38.37,,0.0
28,603990.SH,603990,麦迪科技,软件服务,28.009336445481825,10.0,55.9,"中国银行股份有限公司-富国创新趋势股票型证券投资基金
全国社保基金一零三组合
重若(苏州)资产管理有限公司",3.0
29,300601.SZ,300601,康泰生物,生物制药,27.984384631189663,3.4145,918.72,,0.0
30,002612.SZ,002612,朗姿股份,服饰,27.462162754990118,4.8917,151.88,,0.0
31,002378.SZ,002378,章源钨业,小金属,27.319062181447507,10.0441,114.32,,0.0
32,003040.SZ,003040,楚天龙,元器件,27.27272727272727,10.0032,27.33,,0.0
33,300023.SZ,300023,*ST宝德,专用机械,27.027027027027017,19.9362,19.42,,0.0
34,002176.SZ,002176,江特电机,电气设备,26.92913385826774,9.9591,137.47,"财通基金-宁波银行-财通基金-安吉62号单一资产管理计划
中央企业贫困地区(江西)产业投资基金合伙企业(有限合伙)
天津远方资产管理有限公司-扬州远方产业扶持基金合伙企业(有限合伙)
财通基金-宁波银行-财通基金-安吉61号单一资产管理计划",4.0
35,601127.SH,601127,小康股份,汽车配件,26.83797287651677,10.0083,513.8,,0.0
36,300385.SZ,300385,雪浪环境,环境保护,26.618705035971235,5.5156,21.23,,0.0
37,300153.SZ,300153,科泰电源,电气设备,26.306306306306304,6.2121,22.25,,0.0
38,002331.SZ,002331,皖通科技,软件服务,26.124401913875595,10.0167,50.48,,0.0
39,600200.SH,600200,江苏吴中,化学制药,26.12312811980033,-2.6958,54.0,,0.0
40,600751.SH,600751,海航科技,软件服务,26.06382978723405,10.2326,60.98,,0.0
41,603776.SH,603776,永安行,公共交通,25.654664484451708,9.9535,57.43,福弘(常州)股权投资基金合伙企业(有限合伙),1.0
42,688383.SH,688383,新益昌,专用机械,25.572519083969468,-0.182,19.08,,0.0
43,600613.SH,600613,神奇制药,中成药,25.38631346578366,10.0775,27.23,,0.0
44,601567.SH,601567,三星医疗,电器仪表,25.222551928783375,9.6104,117.03,,0.0
45,000835.SZ,000835,*ST长动,影视音像,24.59016393442621,5.0691,6.91,,0.0
46,300225.SZ,300225,金力泰,染料涂料,24.533161622665812,6.9099,90.49,,0.0
47,300046.SZ,300046,台基股份,半导体,23.520249221183786,8.0872,50.7,"中央汇金资产管理有限责任公司
国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金",2.0
48,002466.SZ,002466,天齐锂业,小金属,23.190184049079754,3.7619,739.41,,0.0
49,603355.SH,603355,莱克电气,家用电器,23.16778523489933,2.365,183.98,,0.0
50,688329.SH,688329,艾隆科技,专用机械,22.987164527421243,20.0,4.97,,0.0
51,603737.SH,603737,三棵树,染料涂料,22.28068400283314,2.0089,630.1,,0.0
52,002356.SZ,002356,*ST赫美,其他商业,22.077922077922075,5.0279,9.9,,0.0
53,300475.SZ,300475,聚隆科技,专用机械,21.965317919075144,8.2051,52.03,"芜湖弘唯基石投资基金管理合伙企业(有限合伙)-弘唯基石华盈私募投资基金
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领驰基石股权投资基金合伙企业(有限合伙)
广州市玄元投资管理有限公司-玄元科新118号私募证券投资基金
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领汇基石股权投资基金合伙企业(有限合伙)
深圳市领信基石股权投资基金管理合伙企业(有限合伙)-深圳市领泰基石投资合伙企业(有限合伙)",5.0
54,603489.SH,603489,八方股份,电气设备,21.808743169398916,4.1879,159.16,,0.0
55,600702.SH,600702,ST舍得,白酒,21.539863325740317,4.9902,442.21,,0.0
56,601919.SH,601919,中远海控,水运,21.52605459057071,7.1663,1695.97,"香港中央结算有限公司(陆股通)
国新央企运营投资基金管理(广州)有限公司-国新央企运营(广州)投资基金(有限合伙)
中国国有企业结构调整基金股份有限公司",3.0
57,002345.SZ,002345,潮宏基,服饰,21.52466367713004,9.9391,47.95,,0.0
58,300199.SZ,300199,翰宇药业,化学制药,21.333333333333336,2.2472,34.35,,0.0
59,688677.SH,688677,海泰新光,医疗保健,21.178738639493243,1.7459,15.61,,0.0
60,600338.SH,600338,西藏珠峰,铅锌,21.140350877192994,10.0398,126.25,,0.0
61,300653.SZ,300653,正海生物,医疗保健,21.139189731247487,2.7211,72.48,,0.0
62,001202.SZ,001202,炬申股份,仓储物流,20.98481362172111,10.0,8.48,,0.0
63,688068.SH,688068,热景生物,医疗保健,20.89243668523517,-6.6475,90.58,,0.0
64,600460.SH,600460,士兰微,半导体,20.882740447957858,1.9161,481.53,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-银河创新成长混合型证券投资基金
中央汇金资产管理有限责任公司
国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金",6.0
65,600007.SH,600007,中国国贸,园区开发,20.762368207623695,6.8149,149.98,"香港中央结算有限公司(陆股通)
易方达基金管理有限公司-社保基金1104组合",2.0
66,688056.SH,688056,莱伯泰科,电器仪表,20.69345074298292,8.8337,7.08,,0.0
67,603160.SH,603160,汇顶科技,元器件,20.586161748413744,5.2109,542.94,"香港中央结算有限公司(陆股通)
国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
国家集成电路产业投资基金股份有限公司
中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金",5.0
68,000908.SZ,000908,景峰医药,化学制药,20.545454545454533,-3.6337,47.95,,0.0
69,000790.SZ,000790,华神科技,中成药,20.45454545454546,2.5806,39.2,,0.0
70,600132.SH,600132,重庆啤酒,啤酒,20.425298179535467,-2.4844,742.75,,0.0
71,000822.SZ,000822,山东海化,化工原料,20.145190562613436,9.9668,59.26,"保宁资本有限公司-保宁新兴市场基金(美国)
平安资产-工商银行-平安资产如意28号保险资产管理产品",2.0
72,300926.SZ,300926,博俊科技,汽车配件,19.999999999999996,20.0,8.43,,0.0
73,002893.SZ,002893,华通热力,供气供热,19.835680751173722,5.5843,10.54,,0.0
74,688328.SH,688328,深科达,元器件,19.76897689768977,2.7463,5.99,,0.0
75,002147.SZ,002147,*ST新光,区域地产,19.76744186046513,0.4878,11.06,,0.0
76,002038.SZ,002038,双鹭药业,生物制药,19.76401179941003,2.3529,103.73,,0.0
77,000155.SZ,000155,川能动力,新型电力,19.633943427620636,10.023,182.63,,0.0
78,600226.SH,600226,*ST瀚叶,互联网,19.57446808510639,4.0741,68.84,,0.0
79,688028.SH,688028,沃尔德,专用机械,19.450654742893647,10.9792,14.05,,0.0
80,300130.SZ,300130,新国都,IT设备,19.105312208760484,8.489,45.41,,0.0
81,000408.SZ,000408,*ST藏格,农药化肥,19.034354688950806,4.9959,60.7,,0.0
82,600408.SH,600408,ST安泰,焦炭加工,18.947368421052623,4.9536,34.13,,0.0
83,688013.SH,688013,天臣医疗,医疗保健,18.8976377952756,-0.9186,5.76,,0.0
84,600758.SH,600758,辽宁能源,煤炭开采,18.87417218543046,6.8452,47.41,,0.0
85,603721.SH,603721,中广天择,影视音像,18.6656671664168,10.0069,20.58,,0.0
86,300350.SZ,300350,华鹏飞,仓储物流,18.632478632478655,0.5797,22.63,,0.0
87,002520.SZ,002520,日发精机,机床制造,18.584070796460182,6.8581,36.96,,0.0
88,002762.SZ,002762,金发拉比,服饰,18.521126760563366,10.0,32.42,,0.0
89,600084.SH,600084,*ST中葡,红黄酒,18.36734693877551,5.0725,32.59,,0.0
90,002756.SZ,002756,永兴材料,特种钢,18.30113014947139,9.721,171.81,,0.0
91,002566.SZ,002566,益盛药业,中成药,18.15642458100559,10.013,19.6,,0.0
92,000762.SZ,000762,西藏矿业,小金属,18.11294765840219,10.0064,89.32,,0.0
93,000820.SZ,000820,*ST节能,环境保护,18.07228915662651,5.0938,11.28,,0.0
94,688111.SH,688111,金山办公,软件服务,17.9978767251608,-0.5526,815.58,,0.0
95,601636.SH,601636,旗滨集团,玻璃,17.88268955650929,7.2917,442.69,,0.0
96,300473.SZ,300473,德尔股份,汽车配件,17.867435158501422,-1.4458,22.87,,0.0
97,603396.SH,603396,金辰股份,专用机械,17.855911754567376,10.0064,36.17,"中国银行股份有限公司-华泰柏瑞中证光伏产业交易型开放式指数证券投资基金
上海珺容资产管理有限公司-珺容聚金1号私募证券投资基金
交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金
宁波辽海华商创业投资基金(有限合伙)",4.0
98,688368.SH,688368,晶丰明源,半导体,17.6517746519933,8.3386,49.38,,0.0
99,603900.SH,603900,莱绅通灵,服饰,17.557251908396942,-0.5168,26.22,,0.0
