,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,301012.SZ,301012,C扬电,电气设备,14.98,168.57,9.38
1,301007.SZ,301007,德迈仕,汽车配件,-0.98,62.75,7.72
2,301010.SZ,301010,C晶雪,其他建材,-3.98,54.59,6.55
3,301011.SZ,301011,华立科技,文教休闲,-5.55,50.89,8.51
4,300998.SZ,300998,宁波方正,汽车配件,13.63,38.84,7.72
5,301002.SZ,301002,崧盛股份,电气设备,14.94,32.88,17.9
6,300997.SZ,300997,欢乐家,软饮料,-0.26,30.13,16.1
7,001207.SZ,001207,联科科技,化工原料,10.02,27.02,10.29
8,301009.SZ,301009,可靠股份,造纸,8.39,19.36,16.25
9,601665.SH,601665,齐鲁银行,银行,46.37,16.8,51.76
10,300996.SZ,300996,普联软件,软件服务,3.89,14.93,12.59
11,603529.SH,603529,爱玛科技,摩托车,94.84,14.25,50.81
12,300984.SZ,300984,C金沃,机械基件,-0.92,14.13,5.97
13,600905.SH,600905,三峡能源,新型电力,91.62,11.31,508.7
14,301006.SZ,301006,迈拓股份,电器仪表,1.97,9.72,10.75
15,605499.SH,605499,东鹏饮料,软饮料,36.07,8.86,94.08
16,300339.SZ,300339,润和软件,软件服务,155.66,7.42,362.51
17,301008.SZ,301008,宏昌科技,电气设备,-3.23,6.45,8.29
18,605259.SH,605259,绿田机械,农用机械,-1.59,5.55,8.45
19,605319.SH,605319,无锡振华,汽车配件,0.93,5.11,9.75
20,301001.SZ,301001,凯淳股份,互联网,-3.37,5.07,7.73
21,601156.SH,601156,东航物流,空运,2.96,5.06,39.7
22,600032.SH,600032,浙江新能,新型电力,21.45,4.99,29.2
23,300608.SZ,300608,思特奇,软件服务,51.48,4.77,36.53
24,603876.SH,603876,鼎胜新材,铝,45.11,4.13,123.45
25,600704.SH,600704,物产中大,商贸代理,57.43,4.12,589.74
26,300581.SZ,300581,晨曦航空,航空,66.61,3.88,112.6
27,300663.SZ,300663,科蓝软件,软件服务,49.15,3.81,108.07
28,000982.SZ,000982,中银绒业,纺织,43.08,3.67,118.91
29,600696.SH,600696,岩石股份,区域地产,36.13,3.63,155.49
30,300077.SZ,300077,国民技术,半导体,15.32,3.52,76.74
31,603511.SH,603511,爱慕股份,服饰,-2.73,3.3,13.54
32,002516.SZ,002516,旷达科技,纺织,44.28,3.01,56.51
33,002346.SZ,002346,柘中股份,电气设备,-3.39,2.99,69.77
34,600171.SH,600171,上海贝岭,半导体,36.06,2.97,211.98
35,300035.SZ,300035,中科电气,电气设备,19.53,2.96,119.7
36,002617.SZ,002617,露笑科技,电气设备,12.96,2.91,167.19
37,300458.SZ,300458,全志科技,元器件,33.67,2.88,198.42
38,300708.SZ,300708,聚灿光电,半导体,55.5,2.88,68.35
39,300604.SZ,300604,长川科技,专用机械,17.09,2.86,129.22
40,300671.SZ,300671,富满电子,半导体,25.66,2.85,175.03
41,603893.SH,603893,瑞芯微,半导体,22.58,2.85,261.32
42,003032.SZ,003032,传智教育,文教休闲,22.61,2.85,14.01
43,605117.SH,605117,德业股份,家用电器,42.89,2.78,49.92
44,600238.SH,600238,海南椰岛,红黄酒,-6.97,2.73,114.1
45,301005.SZ,301005,超捷股份,汽车配件,2.3,2.72,6.87
46,300345.SZ,300345,华民股份,钢加工,13.44,2.71,27.18
47,300220.SZ,300220,金运激光,元器件,5.38,2.7,27.42
48,300490.SZ,300490,华自科技,电气设备,55.31,2.69,41.73
49,300613.SZ,300613,富瀚微,半导体,31.56,2.63,159.58
50,300287.SZ,300287,飞利信,软件服务,52.98,2.62,74.38
51,000009.SZ,000009,中国宝安,综合类,13.74,2.57,405.42
52,300390.SZ,300390,天华超净,元器件,10.21,2.54,180.18
53,605080.SH,605080,浙江自然,纺织,25.3,2.53,15.61
54,002767.SZ,002767,先锋电子,电器仪表,65.79,2.53,22.0
55,603595.SH,603595,东尼电子,元器件,44.96,2.52,42.96
56,002772.SZ,002772,众兴菌业,种植业,64.28,2.51,32.93
57,002326.SZ,002326,永太科技,化工原料,12.92,2.5,115.39
58,300831.SZ,300831,派瑞股份,元器件,16.05,2.44,29.35
59,605186.SH,605186,健麾信息,医疗保健,16.67,2.41,11.94
60,300353.SZ,300353,东土科技,通信设备,40.23,2.3,41.35
61,300811.SZ,300811,铂科新材,元器件,43.24,2.3,28.19
62,002341.SZ,002341,新纶科技,化工原料,22.09,2.3,50.23
63,600771.SH,600771,广誉远,中成药,46.79,2.29,150.65
64,300505.SZ,300505,川金诺,化工原料,30.8,2.29,17.18
65,000422.SZ,000422,湖北宜化,农药化肥,17.6,2.28,65.99
66,300582.SZ,300582,英飞特,半导体,22.47,2.28,45.74
67,300076.SZ,300076,GQY视讯,IT设备,38.18,2.26,26.15
68,600460.SH,600460,士兰微,半导体,34.07,2.23,743.28
69,300184.SZ,300184,力源信息,元器件,21.93,2.23,61.07
70,600375.SH,600375,汉马科技,汽车整车,56.37,2.19,59.35
71,002759.SZ,002759,天际股份,家用电器,17.54,2.19,132.87
72,002201.SZ,002201,九鼎新材,玻璃,27.64,2.19,74.33
73,300842.SZ,300842,帝科股份,半导体,43.06,2.18,45.79
74,300046.SZ,300046,台基股份,半导体,51.99,2.18,72.33
75,300656.SZ,300656,民德电子,IT设备,36.15,2.15,29.69
76,605299.SH,605299,舒华体育,文教休闲,37.43,2.14,9.95
77,300456.SZ,300456,赛微电子,元器件,16.19,2.14,103.26
78,300727.SZ,300727,润禾材料,化工原料,40.93,2.14,40.68
79,603098.SH,603098,森特股份,装修装饰,37.94,2.14,187.29
80,300598.SZ,300598,诚迈科技,软件服务,4.01,2.07,133.39
81,002881.SZ,002881,美格智能,通信设备,-1.93,2.07,30.59
82,002371.SZ,002371,北方华创,半导体,17.73,2.07,1184.97
83,603026.SH,603026,石大胜华,化工原料,17.95,2.07,256.39
84,300266.SZ,300266,兴源环境,环境保护,17.87,2.04,68.45
85,002459.SZ,002459,晶澳科技,电气设备,24.14,2.03,281.87
86,300649.SZ,300649,杭州园林,建筑工程,44.93,2.03,21.12
87,300319.SZ,300319,麦捷科技,元器件,27.71,2.01,77.7
88,300324.SZ,300324,旋极信息,软件服务,29.55,2.01,61.56
89,603650.SH,603650,彤程新材,化工原料,17.7,2.0,61.79
90,002169.SZ,002169,智光电气,电气设备,9.99,1.98,89.1
91,600110.SH,600110,诺德股份,电气设备,15.45,1.96,152.3
92,603659.SH,603659,璞泰来,化工原料,14.92,1.96,886.36
93,000995.SZ,000995,皇台酒业,白酒,-4.17,1.95,51.41
94,300158.SZ,300158,振东制药,化学制药,42.91,1.95,80.53
95,300806.SZ,300806,斯迪克,塑料,19.82,1.94,49.5
96,002530.SZ,002530,金财互联,软件服务,41.23,1.93,67.19
97,603717.SH,603717,天域生态,环境保护,17.77,1.93,34.77
98,002614.SZ,002614,奥佳华,医疗保健,27.19,1.92,102.91
99,300706.SZ,300706,阿石创,元器件,39.16,1.91,23.46
100,300223.SZ,300223,北京君正,半导体,3.96,1.9,312.18
101,300036.SZ,300036,超图软件,软件服务,8.63,1.88,89.16
102,300655.SZ,300655,晶瑞股份,化工原料,17.03,1.86,82.99
103,002010.SZ,002010,传化智联,仓储物流,24.66,1.86,295.1
104,300484.SZ,300484,蓝海华腾,电气设备,21.43,1.85,22.02
105,600753.SH,600753,东方银星,商贸代理,11.02,1.84,83.44
106,300079.SZ,300079,数码视讯,通信设备,-5.39,1.83,95.63
107,002245.SZ,002245,蔚蓝锂芯,仓储物流,29.08,1.83,184.11
108,300340.SZ,300340,科恒股份,元器件,3.37,1.82,25.7
109,300393.SZ,300393,中来股份,塑料,40.25,1.81,70.1
110,002547.SZ,002547,春兴精工,通信设备,4.74,1.81,37.52
111,002812.SZ,002812,恩捷股份,塑料,22.77,1.8,1269.54
112,300568.SZ,300568,星源材质,化工原料,27.14,1.79,203.23
113,002900.SZ,002900,哈三联,化学制药,20.22,1.79,55.75
114,603306.SH,603306,华懋科技,汽车配件,18.28,1.78,109.67
115,300537.SZ,300537,广信材料,染料涂料,4.46,1.78,22.04
116,000158.SZ,000158,常山北明,软件服务,17.35,1.78,185.2
117,603787.SH,603787,新日股份,摩托车,6.89,1.77,57.92
118,000949.SZ,000949,新乡化纤,化纤,10.3,1.77,91.52
119,002198.SZ,002198,嘉应制药,中成药,20.05,1.77,46.18
120,603196.SH,603196,日播时尚,服饰,-3.92,1.75,20.57
121,002594.SZ,002594,比亚迪,汽车整车,16.06,1.75,2806.42
122,300614.SZ,300614,百川畅银,环境保护,11.23,1.75,23.39
123,300098.SZ,300098,高新兴,通信设备,5.43,1.73,80.28
124,300593.SZ,300593,新雷能,电气设备,26.02,1.73,84.03
125,300480.SZ,300480,光力科技,专用机械,22.02,1.73,41.23
126,600060.SH,600060,海信视像,家用电器,35.8,1.72,220.87
127,600699.SH,600699,均胜电子,汽车配件,44.5,1.72,321.64
128,300069.SZ,300069,金利华电,电气设备,14.52,1.7,25.74
129,300373.SZ,300373,扬杰科技,半导体,28.05,1.69,274.97
130,300305.SZ,300305,裕兴股份,塑料,35.49,1.69,33.12
131,002895.SZ,002895,川恒股份,化工原料,21.15,1.68,68.46
132,300977.SZ,300977,深圳瑞捷,建筑工程,42.01,1.68,11.4
133,600096.SH,600096,云天化,农药化肥,8.78,1.68,190.56
134,002709.SZ,002709,天赐材料,化工原料,16.69,1.68,951.5
135,601865.SH,601865,福莱特,玻璃,29.32,1.68,172.49
136,300346.SZ,300346,南大光电,元器件,9.21,1.67,143.17
137,601127.SH,601127,小康股份,汽车配件,29.44,1.67,768.69
138,300526.SZ,300526,中潜股份,专用机械,60.1,1.66,67.19
139,300118.SZ,300118,东方日升,电气设备,26.61,1.66,160.91
140,300134.SZ,300134,大富科技,通信设备,25.28,1.65,86.84
141,300793.SZ,300793,佳禾智能,IT设备,26.82,1.65,18.26
142,600203.SH,600203,福日电子,元器件,29.81,1.63,47.11
143,603777.SH,603777,来伊份,食品,4.37,1.6,56.21
144,300007.SZ,300007,汉威科技,电器仪表,17.73,1.6,47.11
145,601566.SH,601566,九牧王,服饰,31.1,1.6,83.32
146,603722.SH,603722,阿科力,化工原料,27.04,1.6,42.81
147,603806.SH,603806,福斯特,塑料,19.41,1.6,932.03
148,300763.SZ,300763,锦浪科技,电气设备,21.07,1.59,163.58
149,002957.SZ,002957,科瑞技术,专用机械,18.45,1.58,37.73
150,600577.SH,600577,精达股份,电气设备,26.94,1.58,128.55
151,300264.SZ,300264,佳创视讯,通信设备,22.77,1.58,23.39
152,603290.SH,603290,斯达半导,半导体,23.18,1.58,236.18
153,002280.SZ,002280,联络互动,软件服务,-0.57,1.58,92.3
154,300327.SZ,300327,中颖电子,半导体,15.63,1.58,194.05
155,300680.SZ,300680,隆盛科技,汽车配件,28.79,1.56,36.38
156,002023.SZ,002023,海特高新,航空,26.0,1.56,95.1
157,300115.SZ,300115,长盈精密,元器件,25.45,1.56,255.9
158,300376.SZ,300376,易事特,电气设备,27.52,1.56,195.76
159,603348.SH,603348,文灿股份,汽车配件,10.63,1.56,83.79
160,000983.SZ,000983,山西焦煤,煤炭开采,11.0,1.55,359.68
161,603486.SH,603486,科沃斯,家用电器,14.42,1.54,1205.98
162,002129.SZ,002129,中环股份,半导体,25.18,1.54,1054.28
163,000818.SZ,000818,航锦科技,化工原料,7.66,1.53,193.21
164,600421.SH,600421,华嵘控股,综合类,19.04,1.53,25.8
165,605369.SH,605369,拱东医疗,医疗保健,10.85,1.52,31.36
166,300820.SZ,300820,英杰电气,电气设备,38.2,1.52,15.49
167,300409.SZ,300409,道氏技术,陶瓷,26.5,1.52,59.13
168,603283.SH,603283,赛腾股份,专用机械,21.52,1.51,49.35
169,605305.SH,605305,中际联合,专用机械,6.72,1.51,14.67
170,600354.SH,600354,敦煌种业,种植业,17.77,1.51,32.88
171,300925.SZ,300925,法本信息,软件服务,15.0,1.5,15.03
172,002723.SZ,002723,金莱特,家用电器,6.11,1.5,34.03
173,603986.SH,603986,兆易创新,半导体,27.85,1.5,1063.71
174,600992.SH,600992,贵绳股份,钢加工,14.91,1.5,21.91
175,300160.SZ,300160,秀强股份,玻璃,33.66,1.49,48.28
176,300236.SZ,300236,上海新阳,半导体,15.07,1.48,138.51
177,000803.SZ,000803,北清环能,环境保护,21.72,1.48,19.9
178,300847.SZ,300847,中船汉光,化工原料,32.4,1.48,13.61
179,605189.SH,605189,富春染织,纺织,-1.51,1.47,7.51
180,300460.SZ,300460,惠伦晶体,元器件,22.13,1.47,50.84
181,002136.SZ,002136,安纳达,化工原料,-5.96,1.47,28.73
182,002835.SZ,002835,同为股份,元器件,1.94,1.47,15.85
183,601918.SH,601918,新集能源,煤炭开采,14.94,1.47,129.53
184,603688.SH,603688,石英股份,矿物制品,4.06,1.46,80.44
185,603396.SH,603396,金辰股份,专用机械,15.5,1.44,46.43
186,605111.SH,605111,新洁能,半导体,32.45,1.44,57.75
187,300117.SZ,300117,嘉寓股份,装修装饰,25.78,1.43,31.82
188,300191.SZ,300191,潜能恒信,石油开采,10.44,1.42,49.29
189,300397.SZ,300397,天和防务,通信设备,-1.57,1.42,60.74
190,300722.SZ,300722,新余国科,专用机械,15.6,1.42,95.32
191,300301.SZ,300301,长方集团,半导体,25.78,1.41,32.0
192,000906.SZ,000906,浙商中拓,批发业,6.58,1.41,85.67
193,002916.SZ,002916,深南电路,元器件,17.94,1.41,516.76
194,600327.SH,600327,大东方,汽车服务,33.19,1.41,80.25
195,603223.SH,603223,恒通股份,供气供热,5.99,1.41,84.53
196,300701.SZ,300701,森霸传感,元器件,28.72,1.4,44.21
197,600732.SH,600732,爱旭股份,电气设备,7.4,1.4,84.28
198,600509.SH,600509,天富能源,火力发电,16.27,1.4,94.65
199,300432.SZ,300432,富临精工,汽车配件,4.65,1.4,99.3
200,300218.SZ,300218,安利股份,塑料,35.53,1.39,27.55
201,300560.SZ,300560,中富通,通信设备,17.51,1.39,17.34
202,601117.SH,601117,中国化学,建筑工程,21.74,1.39,400.56
203,300576.SZ,300576,容大感光,染料涂料,6.85,1.38,35.67
204,300624.SZ,300624,万兴科技,软件服务,-0.79,1.38,67.95
205,300055.SZ,300055,万邦达,环境保护,16.94,1.38,80.44
206,600884.SH,600884,杉杉股份,综合类,13.01,1.38,347.91
207,002167.SZ,002167,东方锆业,小金属,24.53,1.37,41.53
208,002407.SZ,002407,多氟多,化工原料,2.47,1.37,185.17
209,600215.SH,600215,长春经开,园区开发,25.04,1.37,38.55
210,601919.SH,601919,中远海控,水运,7.84,1.37,2310.63
211,300233.SZ,300233,金城医药,化学制药,16.39,1.36,97.92
212,002685.SZ,002685,华东重机,工程机械,15.82,1.35,37.17
213,600834.SH,600834,申通地铁,公共交通,16.58,1.35,61.44
214,300549.SZ,300549,优德精密,专用机械,24.23,1.35,21.36
215,600963.SH,600963,岳阳林纸,造纸,17.23,1.35,191.46
216,600703.SH,600703,三安光电,半导体,17.41,1.34,1295.31
217,300317.SZ,300317,珈伟新能,半导体,25.48,1.34,55.68
218,300354.SZ,300354,东华测试,电器仪表,22.78,1.34,12.35
219,601038.SH,601038,一拖股份,农用机械,14.51,1.34,99.36
220,601126.SH,601126,四方股份,电气设备,25.07,1.34,68.96
221,002139.SZ,002139,拓邦股份,元器件,16.26,1.33,175.47
222,002585.SZ,002585,双星新材,塑料,10.18,1.33,167.6
223,300890.SZ,300890,翔丰华,矿物制品,10.64,1.33,12.88
224,002760.SZ,002760,凤形股份,机械基件,9.39,1.33,18.0
225,300183.SZ,300183,东软载波,通信设备,18.57,1.33,48.42
226,300219.SZ,300219,鸿利智汇,元器件,25.94,1.33,75.89
227,300237.SZ,300237,美晨生态,建筑工程,24.7,1.33,45.07
228,601699.SH,601699,潞安环能,煤炭开采,6.76,1.32,387.39
229,605358.SH,605358,立昂微,半导体,4.45,1.32,39.01
230,002885.SZ,002885,京泉华,元器件,20.23,1.32,19.55
231,300887.SZ,300887,谱尼测试,综合类,17.78,1.32,26.47
232,300589.SZ,300589,江龙船艇,船舶,20.19,1.32,31.69
233,002247.SZ,002247,聚力文化,造纸,-2.08,1.31,16.67
234,002976.SZ,002976,瑞玛工业,元器件,27.87,1.31,8.58
235,603938.SH,603938,三孚股份,化工原料,22.32,1.31,55.09
236,603633.SH,603633,徕木股份,元器件,28.75,1.3,30.09
237,300430.SZ,300430,诚益通,电器仪表,35.02,1.3,30.87
238,300776.SZ,300776,帝尔激光,专用机械,10.9,1.3,69.4
239,603926.SH,603926,铁流股份,汽车配件,24.33,1.29,26.11
240,300542.SZ,300542,新晨科技,软件服务,-5.93,1.28,33.46
241,603300.SH,603300,华铁应急,多元金融,8.15,1.28,93.33
