,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002736.SZ,002736,国信证券,证券,14.5,True,True,"广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司
南方基金-农业银行-南方中证金融资产管理计划
香港中央结算有限公司(陆股通)
嘉实基金-农业银行-嘉实中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
华夏基金-农业银行-华夏中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华润深国投信托有限公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",14.0
1,600317.SH,600317,营口港,港口,2.43,True,True,"广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",12.0
2,002022.SZ,002022,科华生物,医疗保健,22.37,True,True,"广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",11.0
3,688268.SH,688268,华特气体,化工原料,102.5,True,True,"全国社保基金六零二组合
中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF)
深圳格律资产管理有限公司-格律连赢1号私募证券投资基金
招商银行股份有限公司-中欧科创主题3年封闭运作灵活配置混合型证券投资基金
招商银行股份有限公司-富国沪港深价值精选灵活配置混合型证券投资基金
全国社保基金四--组合
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
全国社保基金四一一组合
中国建设银行股份有限公司-南方科技创新混合型证券投资基金
中国建设银行股份有限公司-嘉实前沿科技沪港深股票型证券投资基金",10.0
4,000661.SZ,000661,长春高新,生物制药,443.5,True,True,"交通银行-易方达50指数证券投资基金
中央汇金资产管理有限责任公司
全国社保基金一零一组合
香港中央结算有限公司(陆股通)
全国社保基金一零四组合
招商银行股份有限公司-鹏华价值成长混合型证券投资基金
全国社保基金一一八组合
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
全国社保基金一一六组合",9.0
5,601698.SH,601698,中国卫通,电信运营,21.07,True,True,"招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金",9.0
6,600415.SH,600415,小商品城,商品城,6.67,True,True,"广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",9.0
7,002583.SZ,002583,海能达,通信设备,9.35,True,True,"全国社保基金一一三组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
招商证券资管-浦发银行-招商智远海能达2号集合资产管理计划
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
华安基金-工商银行-华融国际信托-华融·正弘旗胜定增基金权益投资集合资金信托计划
基本养老保险基金八零二组合
富达基金(香港)有限公司-客户资金",8.0
8,600536.SH,600536,中国软件,软件服务,107.16,True,True,"中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国电子-中信证券-19中电EB担保及信托财产专户
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
香港中央结算有限公司(陆股通)
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金",8.0
9,601689.SH,601689,拓普集团,汽车配件,35.0,True,True,"中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金
基本养老保险基金一二零六组合
平安资产-工商银行-鑫享3号资产管理产品
全国社保基金四一八组合
全国社保基金四一三组合
中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金",8.0
