code,name,pe,p_change_01,p_change_12,past_average_turnover,stop_mark,sort_key
002012,凯恩股份,124.64,14.443,-46.064,4.507,,-665.302
000806,银河生物,2419.58,12.57,-50.936,6.247,,-640.266
300691,联合光电,62.36,22.688,-28.067,8.33,,-636.784
002054,德美化工,68.74,12.193,-52.184,8.717,,-636.28
002676,顺威股份,355.6,8.593,-65.193,6.287,,-560.203
002631,德尔未来,40.83,21.291,-24.342,2.59,,-518.266
300216,千山药机,71.62,13.784,-36.851,18.75,,-507.954
002235,安妮股份,57.75,15.729,-32.228,9.64,,-506.914
300560,中富通,76.16,19.246,-21.931,10.013,,-422.084
300110,华仁药业,267.62,8.214,-49.609,7.377,,-407.488
600556,ST慧球,766.17,16.828,-23.244,0.817,,-391.15
300725,药石科技,105.79,11.539,-33.398,12.607,,-385.38
002850,科达利,35.84,17.9,-20.206,3.243,,-361.687
002129,中环股份,44.16,13.748,-26.193,3.667,,-360.101
600571,信雅达,124.97,13.886,-25.905,2.377,,-359.717
300723,一品红,40.08,16.366,-21.626,10.713,,-353.931
002879,长缆科技,37.82,8.484,-41.548,18.327,,-352.493
600379,宝光股份,48.26,11.737,-29.458,1.08,,-345.749
000957,中通客车,40.67,18.001,-19.002,6.857,,-342.055
002733,雄韬股份,58.64,16.057,-20.875,5.337,,-335.19
002848,高斯贝尔,262.43,13.515,-24.747,5.98,,-334.456
300471,厚普股份,42.0,11.45,-28.882,3.237,,-330.699
000555,神州信息,63.71,15.929,-20.38,1.337,,-324.633
000799,酒鬼酒,45.52,15.783,-20.459,3.02,,-322.904
002694,顾地科技,315.2,7.449,-43.217,14.913,,-321.923
300157,恒泰艾普,47.73,9.188,-34.155,2.563,,-313.816
002901,大博医疗,48.95,14.347,-20.948,11.187,,-300.541
300140,中环装备,119.78,8.812,-34.057,5.817,,-300.11
300461,田中精机,125.98,14.653,-20.299,4.137,,-297.441
300698,万马科技,85.11,16.473,-16.926,19.65,,-278.822
002729,好利来,86.32,6.574,-41.492,10.753,,-272.768
300648,星云股份,67.06,13.854,-19.68,5.253,,-272.647
300020,银江股份,48.79,15.759,-17.221,4.33,,-271.386
002684,猛狮科技,70.79,11.343,-23.921,2.88,,-271.336
300469,信息发展,1163.02,14.206,-18.568,4.16,,-263.777
300507,苏奥传感,33.97,15.73,-16.715,5.913,,-262.927
300526,中潜股份,60.15,11.02,-23.401,7.203,,-257.879
002581,未名医药,29.2,11.045,-23.242,2.287,,-256.708
000518,四环生物,144.47,13.35,-18.953,0.543,,-253.023
002657,中科金财,43.81,8.994,-27.844,3.507,,-250.429
300160,秀强股份,22.43,11.938,-20.689,2.317,,-246.985
300597,吉大通信,88.82,9.917,-24.272,7.103,,-240.705
002795,永和智控,52.72,15.342,-15.595,12.89,,-239.258
002776,柏堡龙,31.31,12.305,-19.268,2.117,,-237.093
000662,天夏智慧,39.3,10.928,-21.625,1.193,,-236.318
002469,三维工程,62.64,12.821,-18.244,2.227,,-233.906
002898,赛隆药业,49.07,8.835,-26.317,6.013,,-232.511
600120,浙江东方,19.55,13.05,-17.767,1.03,,-231.859
300680,隆盛科技,109.7,10.276,-22.428,9.373,,-230.47
002018,华信国际,23.93,7.894,-29.184,1.72,,-230.378
300721,怡达股份,37.78,10.034,-22.861,19.013,,-229.387
600889,南京化纤,23.99,9.508,-23.87,1.047,,-226.956
000407,胜利股份,54.15,10.192,-22.195,1.06,,-226.211
000922,*ST佳电,56.44,11.602,-19.199,0.967,,-222.747
300690,双一科技,30.92,14.322,-15.49,6.583,,-221.848
002853,皮阿诺,49.3,11.414,-19.233,11.91,,-219.525
002606,大连电瓷,47.31,7.212,-30.361,13.743,,-218.964
002908,德生科技,77.55,7.86,-27.761,17.597,,-218.201
002280,联络互动,368.43,13.44,-16.193,2.647,,-217.634
002885,京泉华,37.89,12.954,-16.631,9.147,,-215.438
300666,江丰电子,267.0,13.931,-15.183,14.597,,-211.514
300093,金刚玻璃,111.98,8.778,-23.906,4.92,,-209.847
300248,新开普,70.68,13.921,-15.01,4.487,,-208.954
300313,天山生物,268.82,9.979,-20.841,0.917,,-207.972
000626,远大控股,23.65,14.36,-14.467,2.127,,-207.746
300598,诚迈科技,62.02,9.056,-22.764,2.893,,-206.151
002069,獐子岛,32.13,4.468,-46.035,4.25,,-205.684
002246,北化股份,73.12,14.317,-14.364,6.123,,-205.649
600322,天房发展,27.14,10.39,-19.617,0.767,,-203.821
300717,华信新材,48.6,10.051,-20.165,10.98,,-202.678
600131,岷江水电,40.66,11.158,-18.104,1.063,,-202.004
002801,微光股份,34.88,9.4,-21.458,3.283,,-201.705
002806,华锋股份,104.73,9.02,-21.986,3.29,,-198.314
300386,飞天诚信,99.07,10.929,-18.121,5.447,,-198.044
300534,陇神戎发,158.99,8.822,-22.119,7.577,,-195.134
002382,蓝帆医疗,45.43,12.524,-15.552,2.2,,-194.773
002865,钧达股份,41.92,7.682,-25.28,7.92,,-194.201
601718,际华集团,36.64,10.294,-18.841,0.807,,-193.949
002753,永东股份,23.83,12.19,-15.856,5.213,,-193.285
300260,新莱应材,139.75,10.425,-18.19,0.727,,-189.631
300699,光威复材,69.01,8.065,-23.344,6.437,,-188.269
300143,星普医科,42.84,8.253,-22.776,1.613,,-187.97
002264,新 华 都,3621.92,11.466,-16.353,3.107,,-187.503
300468,四方精创,59.19,6.771,-27.172,6.467,,-183.982
600616,金枫酒业,64.48,8.235,-22.122,1.073,,-182.175
002090,金智科技,34.52,11.662,-15.599,0.567,,-181.916
000638,万方发展,89.3,6.197,-29.16,3.763,,-180.705
002883,中设股份,58.83,9.203,-19.409,18.167,,-178.621
002576,通达动力,3004.65,6.98,-25.483,3.153,,-177.871
300645,正元智慧,906.35,9.261,-19.163,10.023,,-177.469
002781,奇信股份,26.8,9.153,-19.277,1.68,,-176.442
002886,沃特股份,64.9,8.377,-20.873,11.193,,-174.853
300231,银信科技,27.42,9.975,-17.476,9.773,,-174.323
002318,久立特材,39.62,11.136,-15.515,0.97,,-172.775
600363,联创光电,22.07,11.668,-14.653,1.477,,-170.971
300466,赛摩电气,198.54,10.765,-15.863,5.483,,-170.765
002116,中国海诚,24.69,9.394,-17.945,2.11,,-168.575
300696,爱乐达,72.14,6.347,-26.438,5.793,,-167.802
300701,森霸股份,49.23,9.59,-17.387,9.417,,-166.741
300643,万通智控,62.25,10.94,-15.21,11.18,,-166.397
000712,锦龙股份,51.6,9.155,-17.973,0.757,,-164.543
002177,御银股份,236.36,10.355,-15.79,2.9,,-163.505
300706,阿石创,111.49,6.949,-23.444,14.643,,-162.912
