code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002321,华英农业,4.23,-39.072,0.212,-24.347,0.103,
002742,三圣股份,2.69,-38.592,0.219,-44.527,0.229,
002143,印纪传媒,9.74,-37.629,0.425,-75.769,0.62,
600179,安通控股,6.74,-33.788,0.206,-41.101,0.317,
000533,万 家 乐,6.85,-32.297,0.099,-53.58,0.212,
600634,*ST富控,5.76,-30.052,0.087,-63.22,0.582,
000585,*ST东电,6.09,-27.361,0.081,-25.767,0.11,
601619,嘉泽新能,5.04,-24.411,0.061,-53.928,0.283,
002629,仁智股份,3.45,-24.366,0.066,-33.024,0.15,
002694,顾地科技,4.99,-23.71,0.085,-52.791,0.237,
600740,山西焦化,6.57,-21.519,0.065,-15.81,0.097,
002048,宁波华翔,4.6,-20.924,0.093,-28.646,0.144,
600146,商赢环球,2.0,-20.915,0.066,-65.069,0.451,
002110,三钢闽光,9.91,-20.837,0.08,-17.02,0.105,
000796,凯撒旅游,8.03,-20.564,0.063,-46.891,0.283,
002635,安洁科技,3.66,-20.493,0.073,-41.426,0.186,
002799,环球印务,0.77,-20.213,0.102,-42.764,0.22,
600539,*ST狮头,2.3,-19.846,0.074,-48.859,0.16,
002427,*ST尤夫,3.85,-18.731,0.061,-49.666,0.38,
002061,浙江交科,5.79,-18.659,0.06,-7.724,0.129,
002759,天际股份,1.26,-18.544,0.069,-29.041,0.169,
002545,东方铁塔,6.18,-18.525,0.053,-24.44,0.126,
002497,雅化集团,8.15,-18.369,0.056,-36.887,0.217,
600295,鄂尔多斯,6.12,-17.615,0.068,-26.809,0.112,
000921,海信家电,9.02,-17.595,0.058,-31.569,0.176,
002606,大连电瓷,4.04,-17.482,0.067,-35.248,0.198,
600338,西藏珠峰,6.53,-17.464,0.069,-31.184,0.148,
002188,*ST巴士,2.15,-17.346,0.064,-43.09,0.223,
000995,*ST皇台,1.77,-17.288,0.05,-21.364,0.117,
600249,两面针,5.5,-17.148,0.067,-26.557,0.13,
000962,东方钽业,4.41,-16.975,0.056,2.86,0.091,
002543,万和电气,4.85,-16.851,0.06,-17.992,0.299,
600685,中船防务,8.21,-16.583,0.089,-52.376,0.276,
002496,ST辉丰,9.67,-16.541,0.06,-50.544,0.23,
002676,顺威股份,7.2,-16.429,0.07,-42.278,0.194,
600148,长春一东,1.42,-16.251,0.028,-35.646,0.19,
002136,安 纳 达,2.14,-16.208,0.048,-39.534,0.136,
600720,祁连山,7.76,-16.207,0.058,-29.502,0.114,
000055,方大集团,6.78,-16.166,0.047,-35.014,0.169,
002668,奥马电器,6.54,-16.105,0.043,-49.03,0.295,
002684,猛狮科技,3.9,-16.053,0.051,-50.57,0.29,
000791,甘肃电投,9.71,-16.008,0.041,-22.693,0.126,
002575,群兴玩具,5.89,-15.902,0.062,2.627,0.256,
600695,绿庭投资,3.66,-15.895,0.041,-43.711,0.381,
002160,常铝股份,6.02,-15.567,0.054,-30.842,0.158,
000957,中通客车,5.93,-15.499,0.073,-44.318,0.23,
002080,中材科技,6.4,-15.34,0.054,-34.727,0.377,
002645,华宏科技,2.53,-15.322,0.068,-27.515,0.406,
002213,特 尔 佳,1.97,-15.321,0.066,-37.165,0.177,
002073,软控股份,8.19,-15.225,0.053,-32.899,0.153,
002925,盈趣科技,0.75,-15.173,0.085,-40.807,0.233,
002327,富安娜,5.2,-15.033,0.049,-18.413,0.174,
