,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,600022.SH,600022,山东钢铁,普钢,1.32,True,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
1,601005.SH,601005,重庆钢铁,普钢,1.58,True,True,
2,600569.SH,600569,安阳钢铁,普钢,2.09,True,True,中央汇金资产管理有限责任公司
3,601000.SH,601000,唐山港,港口,2.23,True,True,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
4,000552.SZ,000552,靖远煤电,煤炭开采,2.26,True,True,"平安大华基金-平安银行-中融国际信托-财富骐骥定增5号集合资金信托计划
诺安基金-兴业证券-中国光大银行股份有限公司"
5,600231.SH,600231,凌钢股份,普钢,2.27,True,True,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金"
6,600397.SH,600397,安源煤业,煤炭开采,2.34,True,True,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
7,600808.SH,600808,马钢股份,普钢,2.64,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
福建滚雪球投资管理有限公司-嘉耀滚雪球1号证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
8,600275.SH,600275,ST昌鱼,农业综合,2.65,True,True,
9,600256.SH,600256,广汇能源,石油开采,2.71,True,True,"中央汇金资产管理有限责任公司
华龙证券-浦发银行-华龙证券金智汇31号集合资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
10,600322.SH,600322,天房发展,区域地产,2.76,True,False,"上海嘉恳资产管理有限公司-嘉恳水滴9号私募证券投资基金
上海理石投资管理有限公司-理石烜鼎赢新套利4号私募证券投资基金
重庆国际信托股份有限公司-重庆信托-渝信创新优势玖号集合资金信托
重庆国际信托股份有限公司-渝信创新优势拾叁号集合资金信托
重庆国际信托股份有限公司-兴国2号集合资金信托"
11,601588.SH,601588,北辰实业,区域地产,2.78,True,True,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
