,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,603880.SH,603880,南卫股份,医疗保健,True,19.29,True,True,0.08,,0.0
1,688085.SH,688085,三友医疗,医疗保健,True,81.34,True,True,0.11,,0.0
2,300452.SZ,300452,山河药辅,化学制药,True,26.9,True,True,0.11,"中国工商银行股份有限公司-诺安灵活配置混合型证券投资基金
中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金",2.0
3,300412.SZ,300412,迦南科技,医疗保健,True,9.72,True,True,0.12,"中央汇金资产管理有限责任公司
北信瑞丰基金-平安银行-北信瑞丰基金浙商汇融5号资产管理计划",2.0
4,300318.SZ,300318,博晖创新,医疗保健,True,7.16,True,True,0.16,中央汇金资产管理有限责任公司,1.0
5,603229.SH,603229,奥翔药业,化学制药,True,54.41,True,True,0.17,"国泰基金管理有限公司-社保基金四二一组合
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
中国银行股份有限公司-国泰融安多策略灵活配置混合型证券投资基金
平安资管-邮储银行-如意10号资产管理产品
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
诺安基金-建设银行-中国人寿-中国人寿委托诺安基金公司股票型组合
中国工商银行股份有限公司-诺安先锋混合型证券投资基金",7.0
6,002873.SZ,002873,新天药业,中成药,True,21.8,True,True,0.18,武汉惠人生物创业投资基金中心(有限合伙),1.0
7,002940.SZ,002940,昂利康,化学制药,True,62.98,True,True,0.19,"中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
深圳前海行健资本管理有限公司-前海行健玄策二号私募证券投资基金
中国银行股份有限公司-国泰鑫利一年持有期混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",5.0
8,002007.SZ,002007,华兰生物,生物制药,True,55.5,True,True,0.2,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达中小盘混合型证券投资基金
交通银行-易方达50指数证券投资基金",5.0
9,300813.SZ,300813,泰林生物,医疗保健,True,75.11,True,True,0.21,,0.0
10,300171.SZ,300171,东富龙,医疗保健,True,19.05,True,True,0.21,汇添富基金管理股份有限公司-社保基金一五零二组合,1.0
11,300358.SZ,300358,楚天科技,医疗保健,True,11.74,True,True,0.21,"湖南省资产管理有限公司
西藏德传投资管理有限公司-德传附子证券投资基金
中央汇金资产管理有限责任公司
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划",5.0
12,605199.SH,605199,葫芦娃,中成药,True,9.04,True,True,0.21,,0.0
13,688068.SH,688068,热景生物,医疗保健,True,79.99,True,True,0.22,,0.0
14,688139.SH,688139,海尔生物,医疗保健,True,63.8,True,True,0.24,"中国工商银行股份有限公司-中海医疗保健主题股票型证券投资基金
全国社保基金一一八组合
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
上海浦东发展银行股份有限公司-中海医药健康产业精选灵活配置混合型证券投资基金
寻常(上海)投资管理有限公司-琚玖1号私募证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金",6.0
15,300573.SZ,300573,兴齐眼药,化学制药,True,173.68,True,True,0.25,"中国建设银行股份有限公司-富国新动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金",7.0
16,600211.SH,600211,西藏药业,中成药,True,86.39,True,True,0.27,,0.0
17,300267.SZ,300267,尔康制药,化学制药,True,4.99,True,True,0.28,,0.0
18,688321.SH,688321,微芯生物,化学制药,True,76.6,True,True,0.28,,0.0
19,600833.SH,600833,第一医药,医药商业,True,13.66,True,True,0.29,,0.0
20,688310.SH,688310,迈得医疗,医疗保健,True,47.49,True,True,0.29,,0.0
21,300246.SZ,300246,宝莱特,医疗保健,True,43.52,True,True,0.29,"中国工商银行股份有限公司-金鹰稳健成长混合型证券投资基金
中信信托有限责任公司-中信价值管理型金融投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托·锐进31期清水源证券投资集合资金信托计划
中央汇金资产管理有限责任公司",4.0
22,300439.SZ,300439,美康生物,医疗保健,True,22.77,True,True,0.3,广东金百合财富管理有限公司-金百合八号证券投资基金,1.0
23,300723.SZ,300723,一品红,化学制药,True,54.65,True,True,0.3,"中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金",4.0
24,002382.SZ,002382,蓝帆医疗,医疗保健,True,37.88,True,True,0.31,"中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
共青城胜恒投资管理有限公司-胜恒普惠一期私募投资基金
富安达基金-南京银行-富安达-富享14号股票型资产管理计划
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
国信国投基金管理(北京)有限公司-北京华宇瑞泰股权投资合伙企业(有限合伙)
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中泰证券资管-证券行业支持民企发展中泰资管2号FOF集合资管计划-证券行业支持民企发展系列之中泰资管11号单一资产管理计划",7.0
25,002437.SZ,002437,誉衡药业,化学制药,True,4.28,True,True,0.31,,0.0
26,603579.SH,603579,荣泰健康,医疗保健,True,35.48,True,True,0.32,香港中央结算有限公司(陆股通),1.0
27,000153.SZ,000153,丰原药业,化学制药,True,10.16,True,True,0.32,,0.0
28,600380.SH,600380,健康元,化学制药,True,20.21,True,True,0.33,"全国社保基金五零二组合
香港中央结算有限公司(陆股通)
基本养老保险基金一六零一一组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
博时基金管理有限公司-社保基金四一九组合
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
全国社保基金一零八组合",7.0
29,002019.SZ,002019,亿帆医药,化学制药,True,29.89,True,True,0.34,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
江苏一带一路投资基金(有限合伙)
金元顺安基金-宁波银行-华润深国投信托-华润信托·韶夏增利32号单一资金信托
深圳国调招商并购股权投资基金合伙企业(有限合伙)",5.0
30,603590.SH,603590,康辰药业,化学制药,True,50.88,True,True,0.34,香港中央结算有限公司(陆股通),1.0
31,002020.SZ,002020,京新药业,化学制药,True,14.31,True,True,0.34,"香港中央结算有限公司(陆股通)
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-信保基石1号专项私募投资基金
建信基金-杭州银行-杭州玖擎投资管理合伙企业(有限合伙)
上海国际集团资产管理有限公司",4.0
32,600976.SH,600976,健民集团,中成药,True,23.38,True,True,0.35,"深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金",6.0
33,300677.SZ,300677,英科医疗,医疗保健,True,167.61,True,True,0.37,"中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
中国银行股份有限公司-广发医疗保健股票型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金",4.0
34,300086.SZ,300086,康芝药业,化学制药,True,6.73,True,True,0.38,云南国际信托有限公司-聚鑫2026号集合资金信托计划,1.0
35,002030.SZ,002030,达安基因,生物制药,True,36.21,True,True,0.38,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
36,300030.SZ,300030,阳普医疗,医疗保健,True,12.96,True,True,0.38,"长安基金-光大银行-长安睿享2号分级资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
中央汇金资产管理有限责任公司",3.0
37,002562.SZ,002562,兄弟科技,化学制药,True,7.48,True,True,0.38,"中国国际金融香港资产管理有限公司-客户资金
中国建设银行股份有限公司-华夏兴华混合型证券投资基金
中央汇金资产管理有限责任公司",3.0
38,300122.SZ,300122,智飞生物,生物制药,True,134.04,True,True,0.4,"尚信健投资产管理(上海)有限责任公司-尚投道私募证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
东莞信托有限公司-东莞信托·汇信-惠正稳健集合资金信托计划
云南国际信托有限公司-云南信托-智飞生物2019第二期员工持股集合资金信托计划
尚信健投资产管理(上海)有限责任公司-尚信健投-恒兴私募证券投资基金",6.0
39,300314.SZ,300314,戴维医疗,医疗保健,True,20.27,True,True,0.42,中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金,1.0
40,000566.SZ,000566,海南海药,化学制药,True,10.02,True,True,0.43,"国通信托有限责任公司-国通信托·方泰1号集合资金信托计划
金元顺安基金-农业银行-杭州通武投资管理合伙企业(有限合伙)
泰达宏利基金-浦发银行-粤财信托-粤财信托·浦发绚丽2号结构化集合资金信托计划
云南国际信托有限公司-聚利36号单一资金信托",4.0
41,688266.SH,688266,泽璟制药-U,化学制药,True,118.83,True,True,0.43,"上海乘安资产管理有限公司-乘安99传承1号私募证券投资基金
中信银行股份有限公司-农银汇理创新医疗混合型证券投资基金",2.0
42,688298.SH,688298,东方生物,医疗保健,True,213.0,True,True,0.43,,0.0
43,603392.SH,603392,万泰生物,医疗保健,True,233.13,True,True,0.46,,0.0
44,688098.SH,688098,申联生物,生物制药,True,32.93,True,True,0.48,,0.0
45,002932.SZ,002932,明德生物,医疗保健,True,101.55,True,True,0.54,"科华(宜都)科技创业投资基金(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
武汉光谷生物城华岭基金合伙企业(有限合伙)",3.0
46,603976.SH,603976,正川股份,医疗保健,True,59.33,True,True,0.55,,0.0
47,688399.SH,688399,硕世生物,医疗保健,True,422.1,True,True,0.56,,0.0
48,603301.SH,603301,振德医疗,医疗保健,True,83.15,True,True,0.57,,0.0
49,300238.SZ,300238,冠昊生物,医疗保健,True,27.26,True,True,0.57,"广东智硕资产管理有限公司-智硕莲花1号私募证券投资基金
云南国际信托有限公司-云信-弘瑞29号集合资金信托计划
浙商金汇信托股份有限公司-浙金·冠昊生物1号员工持股集合资金信托计划
华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托",4.0
50,688366.SH,688366,昊海生科,生物制药,True,138.8,True,True,0.58,"中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国建设银行股份有限公司-交银施罗德蓝筹混合型证券投资基金",3.0
51,000516.SZ,000516,国际医学,医疗保健,True,6.61,True,True,0.62,"泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划
广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划",2.0
52,688108.SH,688108,赛诺医疗,医疗保健,True,42.1,True,True,0.64,深圳前海汇富雪球基金管理有限公司-汇富雪球医药医疗大健康一号基金,1.0
53,688277.SH,688277,天智航-U,医疗保健,True,141.6,True,True,0.65,,0.0
54,603718.SH,603718,海利生物,生物制药,True,34.18,True,True,0.77,,0.0
55,603087.SH,603087,甘李药业,生物制药,True,260.16,True,True,1.36,,0.0
56,300841.SZ,300841,康华生物,生物制药,True,563.39,True,True,1.36,,0.0
