code,name,p_change_range0,p_change_range1,normalizing_std,mark,stop_mark
600180,瑞茂通,-1.384,14.158,0.029,-19.594672,
300673,佩蒂股份,-3.317,12.66,0.021,-41.99322,
300699,光威复材,-5.292,11.179,0.021,-59.159268,
300374,恒通科技,-6.617,10.962,0.023,-72.535554,
002492,恒基达鑫,-0.521,10.565,0.026,-5.504365,
300020,银江股份,-3.489,9.841,0.028,-34.335249,
300339,润和软件,-1.118,9.407,0.027,-10.517026000000001,
300297,蓝盾股份,-2.677,9.281,0.024,-24.845237,
300053,欧比特,-3.208,9.156,0.029,-29.372448000000002,
300474,景嘉微,-2.767,9.133,0.024,-25.271010999999998,
600667,太极实业,-2.737,8.527,0.021,-23.338399,
600149,*ST坊展,-0.216,8.48,0.012,-1.83168,
000960,锡业股份,-6.289,8.085,0.028,-50.846565000000005,
000860,顺鑫农业,-2.719,8.026,0.027,-21.822694,
002021,中捷资源,-7.226,7.797,0.028,-56.341122,
002206,海 利 得,-4.371,7.519,0.023,-32.865549,
600330,天通股份,-1.417,7.275,0.028,-10.308675000000001,
600740,山西焦化,-0.278,7.174,0.029,-1.9943720000000003,
600100,同方股份,-1.177,7.163,0.028,-8.430851,
002117,东港股份,-1.586,7.16,0.027,-11.35576,
002649,博彦科技,-0.811,7.142,0.025,-5.792162,
002429,兆驰股份,-1.49,7.024,0.025,-10.46576,
000403,ST生化,-1.828,6.845,0.015,-12.51266,
002526,山东矿机,-1.525,6.832,0.014,-10.4188,
600323,瀚蓝环境,-1.693,6.809,0.017,-11.527637,
300102,乾照光电,-3.116,6.796,0.022,-21.176336000000003,
300245,天玑科技,-4.392,6.771,0.021,-29.738232000000004,
300152,科融环境,-4.225,6.77,0.028,-28.603249999999996,
002875,安奈儿,-2.37,6.738,0.025,-15.969060000000002,
600185,格力地产,-1.917,6.702,0.022,-12.847734,
300231,银信科技,-3.12,6.65,0.026,-20.748,
300299,富春股份,-3.171,6.368,0.02,-20.192928,
002267,陕天然气,-1.628,6.337,0.022,-10.316635999999999,
000043,中航地产,-1.829,6.259,0.027,-11.447711,
002224,三 力 士,-3.842,6.258,0.022,-24.043236,
002152,广电运通,-3.798,6.177,0.023,-23.460245999999998,
300416,苏试试验,-1.428,6.166,0.02,-8.805048,
000821,京山轻机,-0.642,6.163,0.022,-3.956646,
300400,劲拓股份,-2.069,6.121,0.019,-12.664349000000001,
002383,合众思壮,-0.734,6.043,0.022,-4.435562,
600132,重庆啤酒,-2.635,6.009,0.017,-15.833715,
600376,首开股份,-0.791,5.95,0.017,-4.70645,
002835,同为股份,-3.052,5.902,0.029,-18.012904,
600229,城市传媒,-3.622,5.877,0.02,-21.286493999999998,
002093,国脉科技,-2.771,5.762,0.025,-15.966501999999998,
002391,长青股份,-3.127,5.741,0.024,-17.952106999999998,
600888,新疆众和,-4.333,5.625,0.025,-24.373125,
300277,海联讯,-3.013,5.57,0.022,-16.78241,
002139,拓邦股份,-4.342,5.555,0.02,-24.119809999999998,
000848,承德露露,-2.81,5.514,0.017,-15.494340000000001,
300125,易世达,-0.3,5.463,0.017,-1.6389,
600206,有研新材,-4.257,5.403,0.027,-23.000570999999997,
600781,辅仁药业,-2.039,5.319,0.027,-10.845441000000001,
002819,东方中科,-0.783,5.142,0.029,-4.026186,
300058,蓝色光标,-8.726,5.105,0.025,-44.54623000000001,
600808,马钢股份,-0.54,5.059,0.029,-2.73186,
600090,同济堂,-1.427,5.024,0.023,-7.1692480000000005,
300386,飞天诚信,-1.079,4.941,0.026,-5.331339,
002140,东华科技,-2.289,4.931,0.022,-11.287059000000001,
600146,商赢环球,-2.636,4.844,0.02,-12.768784000000002,
600841,上柴股份,-1.51,4.834,0.025,-7.299339999999999,
601225,陕西煤业,-0.25,4.739,0.026,-1.18475,
000858,五 粮 液,-4.595,4.676,0.028,-21.48622,
300512,中亚股份,-0.479,4.675,0.022,-2.239325,
002495,佳隆股份,-1.663,4.643,0.015,-7.721309,
600247,ST成城,-1.05,4.499,0.015,-4.723949999999999,
600826,兰生股份,-2.938,4.439,0.02,-13.041782000000001,
601908,京运通,-1.017,4.418,0.017,-4.493106,
002123,梦网集团,-1.771,4.373,0.021,-7.7445829999999996,
002630,华西能源,-2.297,4.367,0.01,-10.030999000000001,
300319,麦捷科技,-6.308,4.296,0.021,-27.099168000000002,
002017,东信和平,-2.422,4.289,0.029,-10.387958,
600879,航天电子,-0.73,4.282,0.026,-3.12586,
000898,鞍钢股份,-2.498,4.232,0.02,-10.571536000000002,
002304,洋河股份,-3.127,4.2,0.021,-13.1334,
000976,华铁股份,-1.835,4.164,0.016,-7.64094,
601226,华电重工,-6.357,4.153,0.027,-26.400620999999997,
002298,中电鑫龙,-0.692,4.124,0.028,-2.8538079999999995,
002519,银河电子,-2.031,4.089,0.018,-8.304759,
002698,博实股份,-2.173,4.062,0.029,-8.826726,
601021,春秋航空,-2.495,4.06,0.01,-10.1297,
002506,协鑫集成,-2.362,4.003,0.017,-9.455086000000001,
000611,天首发展,-0.006,4.001,0.02,-0.024006000000000003,
002798,帝王洁具,-4.769,3.999,0.022,-19.071231,
300273,和佳股份,-3.028,3.993,0.024,-12.090804,
300420,五洋停车,-1.321,3.992,0.019,-5.273432,
600461,洪城水业,-0.16,3.945,0.027,-0.6312,
601688,华泰证券,-3.474,3.887,0.022,-13.503438000000001,
600728,佳都科技,-7.073,3.846,0.023,-27.202758000000003,
600071,凤凰光学,-1.018,3.821,0.024,-3.889778,
002228,合兴包装,-0.23,3.785,0.015,-0.87055,
600077,宋都股份,-4.791,3.785,0.014,-18.133935,
000797,中国武夷,-4.908,3.765,0.025,-18.478620000000003,
300393,中来股份,-3.266,3.714,0.01,-12.129924,
000837,秦川机床,-1.216,3.624,0.021,-4.406784,
300448,浩云科技,-0.492,3.613,0.02,-1.777596,
000582,北部湾港,-1.066,3.406,0.027,-3.630796,
000042,中洲控股,-1.482,3.401,0.008,-5.0402819999999995,
300399,京天利,-0.336,3.332,0.024,-1.119552,
600325,华发股份,-1.923,3.325,0.015,-6.393975,
002734,利民股份,-0.475,3.296,0.028,-1.5655999999999999,
600062,华润双鹤,-0.937,3.278,0.028,-3.071486,
002399,海普瑞,-1.714,3.246,0.01,-5.563644,
000333,美的集团,-4.02,3.23,0.026,-12.984599999999999,
300426,唐德影视,-3.446,3.22,0.013,-11.09612,
600280,中央商场,-0.579,3.21,0.015,-1.8585899999999997,
