,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300952.SZ,300952,恒辉安防,纺织,True,456.741,0.0,inf,22.42,,0.0
1,600025.SH,600025,华能水电,水力发电,True,10.0427,21.176470588235308,0.4742386111111108,927.0,"摩根士丹利投资管理公司-摩根士丹利中国A股基金
上海宁泉资产管理有限公司-宁泉致远39号私募证券投资基金
香港中央结算有限公司(陆股通)",3.0
2,600968.SH,600968,海油发展,石油开采,True,5.7143,16.143497757847534,0.35396913888888887,48.31,"招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
3,600307.SH,600307,酒钢宏兴,普钢,True,10.0592,29.166666666666675,0.34488685714285705,116.5,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1.0
4,002130.SZ,002130,沃尔核材,电气设备,True,10.0,29.41176470588236,0.3399999999999999,82.29,"广州市玄元投资管理有限公司-玄元科新109号私募证券投资基金
新沃基金-广州农商银行-中国民生信托-中国民生信托·至信252号沃尔核材定向增发集合资金信托计划
香港中央结算有限公司(陆股通)",3.0
5,600919.SH,600919,江苏银行,银行,True,5.7047,17.31843575418994,0.32940041935483877,923.29,"香港中央结算有限公司(陆股通)
富安达基金-江苏银行-富安达-富享15号股票型资产管理计划
中国东方资产管理股份有限公司
江苏省国际信托有限责任公司",4.0
6,002111.SZ,002111,威海广泰,航空,True,5.9358,19.467213114754077,0.3049126736842109,59.14,"广发证券股份有限公司-中庚小盘价值股票型证券投资基金
中信期货-光大信托·浦汇集合资金信托计划-中信期货价值精粹1号单一资产管理计划",2.0
7,605208.SH,605208,永茂泰,汽车配件,True,10.0214,33.10880829015544,0.3026807824726135,12.07,,0.0
8,003039.SZ,003039,顺控发展,水务,True,9.9902,33.0568720379147,0.3022125017921146,6.96,,0.0
9,600581.SH,600581,八一钢铁,普钢,True,7.6517,25.92592592592593,0.2951369999999999,62.54,,0.0
10,601311.SH,601311,骆驼股份,电气设备,True,9.9718,34.21354764638345,0.2914576442953022,131.13,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
11,000657.SZ,000657,中钨高新,小金属,True,10.0515,36.4217252396166,0.27597539473684224,80.93,香港中央结算有限公司(陆股通),1.0
12,000612.SZ,000612,焦作万方,铝,True,10.0,36.8421052631579,0.2714285714285714,102.19,"上海迎水投资管理有限公司-迎水月异8号私募证券投资基金
中央汇金资产管理有限责任公司",2.0
13,600808.SH,600808,马钢股份,普钢,True,4.8951,18.577075098814234,0.26350219148936166,179.03,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",4.0
14,002408.SZ,002408,齐翔腾达,化工原料,True,10.0535,39.43089430894309,0.25496505154639176,184.83,"陕西省国际信托股份有限公司-陕国投·聚宝盆86号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣32号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)
长安国际信托股份有限公司-长安信托-齐翔腾达第一期员工持股集合资金信托计划
中央汇金资产管理有限责任公司",5.0
15,000825.SZ,000825,太钢不锈,特种钢,True,9.9548,39.255014326647576,0.25359308029197075,276.83,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海一村投资管理有限公司-一村启明星1号私募证券投资基金
香港中央结算有限公司(陆股通)",4.0
16,601996.SH,601996,丰林集团,家居用品,True,6.0127,24.535315985130126,0.2450630757575756,36.19,"锦绣中和(北京)资本管理有限公司-锦绣118号私募投资基金
长和(天津)投资管理有限公司-锦绣509号私募投资基金
上海富善投资有限公司-致远CTA十七期私募基金
深圳悟空投资管理有限公司-悟空蓝海源饶8号私募证券投资基金",4.0
17,000717.SZ,000717,韶钢松山,普钢,True,6.3559,26.130653266331638,0.24323540384615402,121.46,"招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)
香港中央结算有限公司(陆股通)",4.0
18,000966.SZ,000966,长源电力,火力发电,True,10.0233,41.74174174174172,0.24012653956834548,52.31,,0.0
19,600782.SH,600782,新钢股份,普钢,True,9.9222,42.67676767676769,0.2324965207100591,180.16,"全国社保基金一零六组合
香港中央结算有限公司(陆股通)
新钢集团-华泰联合证券-19新钢EB担保及信托财产专户
建信基金-工商银行-华润深国投信托-华润信托·兴晟3号集合资金信托计划
建信基金-工商银行-华润深国投信托-华润信托·兴晟2号集合资金信托计划",5.0
20,600231.SH,600231,凌钢股份,普钢,True,5.1383,23.720930232558146,0.21661460784313719,75.18,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金",3.0
