,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,603969.SH,银龙股份,其他建材,9.9502,4.42,"华泰证券资管-艾明政-华泰科创尊享7号单一资产管理计划
华泰证券资管-杨立强-华泰价值稳进天津8号单一资产管理计划
中国建设银行股份有限公司-万家精选混合型证券投资基金
华泰证券资管-艾明政-华泰科创尊享7号单一资产管理计划
华泰证券资管-杨立强-华泰价值稳进天津8号单一资产管理计划
中国建设银行股份有限公司-万家精选混合型证券投资基金
华泰证券资管-杨立强-华泰价值稳进天津8号单—资产管理计划
中国建设银行股份有限公司-万家精选混合型证券投资基金
中国建设银行股份有限公司-万家新利灵活配置混合型证券投资基金"
1,603178.SH,圣龙股份,汽车配件,9.9537,9.5,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
2,002618.SZ,丹邦科技,元器件,9.9576,10.38,"香港中央结算有限公司(陆股通)
香港中央结算有限公司(陆股通)"
3,002351.SZ,漫步者,IT设备,10.0,28.05,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-南方现代教育股票型证券投资基金
广州九逸资产管理有限公司-九逸九浦1号私募证券投资基金
上海润多资产管理有限公司-润多量化对冲1号私募证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-融通转型三动力灵活配置混合型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金"
4,002689.SZ,远大智能,运输设备,10.0,3.96,
5,300106.SZ,西部牧业,农业综合,10.0,7.81,"中海信托股份有限公司-中海-浦江之星165号集合资金信托
中海信托股份有限公司-中海-浦江之星177号集合资金信托"
6,300299.SZ,富春股份,互联网,10.0,6.16,
7,600599.SH,熊猫金控,多元金融,10.0,7.92,"湖南蠡源晟投资管理有限公司-蠡源晟成长优选一号私募投资基金
湖南蠡源晟投资管理有限公司-蠡源晟成长优选一号私募投资基金"
8,000567.SZ,海德股份,多元金融,10.0529,10.4,
9,300242.SZ,佳云科技,互联网,10.0592,5.58,"上银基金-浦发银行-上银基金财富43号资产管理计划
上银基金-浦发银行-上银基金财富43号资产管理计划"
10,688126.SH,沪硅产业-U,半导体,13.0686,31.32,
11,688365.SH,光云科技,软件服务,18.8468,66.78,
