,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
3162,603032.SH,德新交运,公路,6.0,6.0,10.004,10.0071,363734.712
2449,600375.SH,华菱星马,汽车整车,6.0,6.0,10.02,10.0149,409025.0794
1206,002750.SZ,龙津药业,中成药,6.0,20.0,4.486,10.0343,509720.9223
479,002017.SZ,东信和平,通信设备,6.0,5.0,9.995,9.9787,711279.4965
1922,300538.SZ,同益股份,批发业,6.0,6.0,9.999,9.9918,96154.1638
2637,600613.SH,神奇制药,中成药,6.0,6.0,10.001,10.0,479799.298
1060,002600.SZ,领益智造,元器件,6.0,6.0,10.041,10.0551,1188824.9266
3103,601890.SH,亚星锚链,船舶,5.0,7.0,8.856,10.0567,745453.8
1563,300175.SZ,朗源股份,食品,5.0,6.0,8.658,9.9415,347130.9306
3021,601319.SH,中国人保,保险,5.0,5.0,10.018,10.0343,1297420.92
1665,300278.SZ,华昌达,专用机械,5.0,10.0,6.032,9.9776,262966.9051
1473,300085.SZ,银之杰,软件服务,5.0,11.0,8.369,9.9896,878924.6649
3055,601608.SH,中信重工,专用机械,5.0,5.0,9.954,9.9476,2733834.1546
1666,300279.SZ,和晶科技,元器件,5.0,5.0,9.991,9.9612,265681.7885
637,002175.SZ,东方网络,电器仪表,5.0,5.0,10.069,10.0569,347659.3851
3133,603000.SH,人民网,互联网,5.0,5.0,10.0,10.0156,3109203.2495
2670,600651.SH,飞乐音响,电器仪表,5.0,10.0,6.458,10.0569,571427.6012
817,002356.SZ,赫美集团,其他商业,4.0,6.0,7.03,10.0585,451905.2773
881,002420.SZ,毅昌股份,塑料,4.0,10.0,4.725,9.9593,211919.1361
980,002519.SZ,银河电子,通信设备,4.0,4.0,9.999,10.0746,490613.2286
3040,601519.SH,大智慧,软件服务,4.0,14.0,8.813,9.972,2345486.0
949,002488.SZ,金固股份,汽车配件,4.0,4.0,9.991,9.9808,881054.3565
2376,600288.SH,大恒科技,软件服务,4.0,4.0,9.999,10.0,533332.8
3005,601212.SH,白银有色,铜,4.0,5.0,8.435,10.0,1037348.4449
2069,300691.SZ,联合光电,元器件,4.0,4.0,10.006,10.0059,223030.5377
1397,300008.SZ,天海防务,船舶,4.0,5.0,8.822,10.0,304819.6067
2629,600604.SH,市北高新,园区开发,4.0,5.0,8.549,9.9809,2308139.5448
1467,300079.SZ,数码科技,通信设备,4.0,4.0,10.003,10.0179,743589.8678
2842,600839.SH,四川长虹,家用电器,4.0,6.0,6.818,9.9217,1942616.3216
1558,300170.SZ,汉得信息,软件服务,4.0,5.0,8.348,10.006,1280563.6838
1636,300249.SZ,依米康,软件服务,4.0,4.0,10.017,10.0467,286821.102
2785,600776.SH,东方通信,通信设备,4.0,4.0,10.005,9.9973,3870844.2591
2767,600756.SH,浪潮软件,软件服务,4.0,5.0,8.02,9.9882,910069.2984
1406,300017.SZ,网宿科技,电信运营,4.0,5.0,9.303,10.007,3022857.0913
1756,300370.SZ,安控科技,电器仪表,4.0,10.0,4.916,9.9307,339844.8815
325,000810.SZ,创维数字,家用电器,4.0,4.0,9.997,10.0493,1083978.7534
