,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
41,000055.SZ,方大集团,其他建材,4.0,5.0,8.223,10.0855,436814.8342
1025,002565.SZ,顺灏股份,造纸,3.0,3.0,10.02,9.9206,379399.6775
2407,600331.SH,宏达股份,铅锌,3.0,4.0,7.632,9.8859,587248.0
2559,600532.SH,宏达矿业,普钢,2.0,2.0,10.083,10.0671,253904.3342
1701,300317.SZ,珈伟新能,半导体,2.0,2.0,9.943,9.9458,398973.5763
2068,300693.SZ,盛弘股份,电气设备,2.0,2.0,10.0,9.994,122191.9457
188,000612.SZ,焦作万方,铝,2.0,2.0,10.083,10.0671,585210.5085
632,002170.SZ,芭田股份,农药化肥,2.0,2.0,10.078,10.0592,243522.459
2763,600759.SH,洲际油气,石油开采,1.0,1.0,9.848,9.8485,654873.3652
2309,600218.SH,全柴动力,农用机械,1.0,1.0,9.934,9.9338,244853.32
1616,300232.SZ,洲明科技,半导体,1.0,1.0,9.977,9.9771,434101.3006
2971,601113.SH,华鼎股份,化纤,1.0,2.0,6.943,9.8039,699762.0
3229,603186.SH,华正新材,元器件,1.0,1.0,9.994,9.9939,133058.7572
1960,300582.SZ,英飞特,半导体,1.0,2.0,5.035,9.9701,131679.4964
1953,300575.SZ,中旗股份,农药化肥,1.0,2.0,7.653,10.0044,173571.5032
1892,300510.SZ,金冠股份,电气设备,1.0,3.0,4.14,9.9891,215943.0982
1853,300471.SZ,厚普股份,专用机械,1.0,1.0,10.033,10.0329,182819.3025
1676,300292.SZ,吴通控股,软件服务,1.0,1.0,9.976,9.9762,476712.6085
2192,600084.SH,中葡股份,红黄药酒,1.0,2.0,5.255,10.1695,365211.2198
1465,300080.SZ,易成新能,半导体,1.0,12.0,5.931,10.0551,401087.3094
1612,300228.SZ,富瑞特装,化工机械,1.0,1.0,10.056,10.0559,240006.691
1322,002876.SZ,三利谱,元器件,1.0,2.0,6.577,9.9871,186109.1172
1318,002871.SZ,伟隆股份,机械基件,1.0,2.0,5.173,9.9866,70978.4
1296,002848.SZ,高斯贝尔,通信设备,1.0,1.0,10.032,10.0316,122092.7586
1237,002783.SZ,凯龙股份,化工原料,1.0,2.0,5.301,10.0418,263431.32
1199,002742.SZ,三圣股份,其他建材,1.0,2.0,5.666,9.9757,242792.6073
1177,002719.SZ,麦趣尔,乳制品,1.0,2.0,5.022,10.0444,174373.3226
1134,002674.SZ,兴业科技,纺织,1.0,2.0,5.908,9.9788,249078.3057
999,002539.SZ,云图控股,农药化肥,1.0,3.0,3.501,10.0457,291874.9376
980,002519.SZ,银河电子,通信设备,1.0,2.0,5.039,10.0775,354239.382
920,002459.SZ,天业通联,工程机械,1.0,2.0,5.106,9.9765,362604.9028
915,002454.SZ,松芝股份,汽车配件,1.0,2.0,5.953,10.0457,301544.6302
879,002418.SZ,康盛股份,机械基件,1.0,1.0,9.943,9.9432,388396.4028
718,002256.SZ,兆新股份,染料涂料,1.0,3.0,3.694,10.0346,396552.1441
654,002192.SZ,融捷股份,专用机械,1.0,2.0,5.021,9.9895,495786.7284
3565,603986.SH,兆易创新,半导体,1.0,2.0,5.895,9.9967,1398893.9724
