,ts_code,symbol,name,industry,COL_CONTINUOUS_POSITIVE_COUNT,COL_ALL_POSITIVE,COL_CONTINUOUS_POSITIVE_AVERAGE_CHG,COL_MAX_RETRACEMENT,COL_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300910.SZ,300910,瑞丰新材,化工原料,1.0,True,246.96,4.64,240.9931463039947,25.79,,0.0
1,605358.SH,605358,立昂微,半导体,3.0,True,188.85,12.4,178.50885568371737,51.54,,0.0
2,605007.SH,605007,五洲特纸,造纸,1.0,True,167.59,4.63,162.96433476318225,12.64,,0.0
3,300891.SZ,300891,惠云钛业,化工原料,3.0,True,152.13,18.64,128.86132643903687,18.66,,0.0
4,605111.SH,605111,新洁能,半导体,3.0,True,132.98,7.32,126.95580037428435,53.39,,0.0
5,601995.SH,601995,中金公司,证券,1.0,True,126.51,5.86,120.64865041156234,156.19,,0.0
6,689009.SH,689009,九号公司-UWD,专用机械,2.0,True,100.61,19.28,85.74371008439375,40.68,,0.0
7,003004.SZ,003004,声迅股份,软件服务,1.0,True,74.23,0.0,74.23494570582425,7.67,,0.0
8,300890.SZ,300890,翔丰华,矿物制品,3.0,True,85.47,22.85,69.4826044449609,13.15,,0.0
9,605198.SH,605198,德利股份,软饮料,3.0,True,74.39,12.76,63.57740754249475,5.31,,0.0
10,300896.SZ,300896,爱美客,医疗保健,3.0,True,76.83,23.55,62.364209610724465,159.16,,0.0
11,605177.SH,605177,东亚药业,化学制药,1.0,True,67.01,9.19,57.821542846802465,11.75,,0.0
12,003006.SZ,003006,百亚股份,造纸,3.0,True,64.13,14.19,53.402102102752586,10.36,,0.0
13,605068.SH,605068,明新旭腾,汽车配件,1.0,True,68.84,17.78,51.05843589326328,13.51,,0.0
14,300999.SZ,300999,金龙鱼,食品,2.0,True,65.33,21.85,42.24118708718619,289.03,,0.0
15,003019.SZ,003019,宸展光电,元器件,1.0,True,58.61,17.27,41.334051497309986,10.73,,0.0
16,003018.SZ,003018,金富科技,塑料,1.0,True,63.72,29.44,34.27765071102136,8.53,,0.0
17,300722.SZ,300722,新余国科,专用机械,6.0,False,41.58,24.53,26.22047102525507,80.86,"中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金",2.0
