,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,603077.SH,603077,和邦生物,化工原料,1.48,2.0,1.0,130.7,"建信基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资75号集合资金信托计划
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资77号集合资金信托计划
香港中央结算有限公司(陆股通)
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资78号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",5.0
1,600157.SH,600157,永泰能源,火力发电,1.5,2.0,1.0,186.39,"陕西省国际信托股份有限公司-陕国投·唐兴8号证券投资集合资金信托计划
泰达宏利基金-工商银行-泰达宏利新毅3号资产管理计划",2.0
2,002031.SZ,002031,巨轮智能,汽车配件,2.11,2.0,1.0,39.85,中央汇金资产管理有限责任公司,1.0
3,300217.SZ,300217,东方电热,电器仪表,2.93,1.0,1.0,25.76,中央汇金资产管理有限责任公司,1.0
4,600166.SH,600166,福田汽车,汽车整车,2.93,1.0,1.0,192.65,中央汇金资产管理有限责任公司,1.0
5,000692.SZ,000692,惠天热电,供气供热,3.15,2.0,1.0,16.78,,0.0
6,300370.SZ,300370,安控科技,电器仪表,3.2,2.0,1.0,23.12,,0.0
7,000558.SZ,000558,莱茵体育,文教休闲,3.31,0.0,1.0,42.64,,0.0
8,600537.SH,600537,亿晶光电,半导体,3.74,1.0,1.0,44.0,中央汇金资产管理有限责任公司,1.0
9,002622.SZ,002622,融钰集团,综合类,3.76,0.0,1.0,31.58,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划
创隆资产管理有限公司",2.0
10,600108.SH,600108,亚盛集团,农业综合,3.93,2.0,1.0,76.51,中央汇金资产管理有限责任公司,1.0
11,000850.SZ,000850,华茂股份,纺织,4.07,2.0,1.0,38.4,"天津泰达股权投资基金管理有限公司
深圳抱朴容易资产管理有限公司-抱朴容易1号私募证券投资基金",2.0
12,600939.SH,600939,重庆建工,建筑工程,4.29,2.0,1.0,77.84,"中国华融资产管理股份有限公司
重庆鑫根股权投资基金管理中心(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
重庆市江北嘴中央商务区投资集团有限公司
上海浦东发展银行股份有限公司-景顺长城中证500行业中性低波动指数型证券投资基金",5.0
13,300444.SZ,300444,双杰电气,电气设备,4.43,2.0,1.0,14.12,,0.0
14,600237.SH,600237,铜峰电子,元器件,4.64,0.0,1.0,26.19,,0.0
15,600722.SH,600722,金牛化工,化工原料,4.82,1.0,1.0,32.79,,0.0
16,300157.SZ,300157,恒泰艾普,石油开采,4.95,0.0,2.0,35.0,,0.0
17,300350.SZ,300350,华鹏飞,仓储物流,5.25,0.0,2.0,16.16,"珠海安赐互联捌号股权投资基金企业(有限合伙)
珠海安赐互联柒号股权投资基金企业(有限合伙)",2.0
18,600078.SH,600078,澄星股份,化工原料,5.26,2.0,1.0,34.85,,0.0
19,600313.SH,600313,农发种业,种植业,5.31,0.0,1.0,54.13,现代种业发展基金有限公司,1.0
20,300189.SZ,300189,神农科技,种植业,5.43,1.0,1.0,52.29,湖南省财信产业基金管理有限公司,1.0
21,002108.SZ,002108,沧州明珠,塑料,5.54,0.0,3.0,78.55,"深圳福星资本管理有限公司-福星高照1号私募投资基金
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中央汇金资产管理有限责任公司",3.0
22,002506.SZ,002506,协鑫集成,电气设备,5.68,2.0,2.0,288.2,"天津融境股权投资基金中心(有限合伙)
长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)",3.0
23,002177.SZ,002177,御银股份,IT设备,5.82,0.0,1.0,44.3,中央汇金资产管理有限责任公司,1.0
24,300312.SZ,300312,邦讯技术,通信设备,5.85,1.0,1.0,11.79,基本养老保险基金一三零一组合,1.0
25,000523.SZ,000523,广州浪奇,日用化工,6.33,2.0,1.0,39.69,,0.0
26,002488.SZ,002488,金固股份,汽车配件,6.47,0.0,1.0,53.33,"上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
天弘基金-宁波银行-天津信托-天津信托-弘盈3号集合资金信托计划
金元顺安基金-宁波银行-杭州乾瞳投资管理合伙企业(有限合伙)
杭州东方嘉富资产管理有限公司-东方嘉富-兴瑞1号专项私募基金",4.0
27,601086.SH,601086,国芳集团,百货,6.49,2.0,1.0,10.77,,0.0
28,000886.SZ,000886,海南高速,路桥,6.57,2.0,1.0,63.86,华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划,1.0
29,002027.SZ,002027,分众传媒,影视音像,6.73,0.0,1.0,987.82,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金",2.0
30,600496.SH,600496,精工钢构,钢加工,6.73,0.0,1.0,101.65,"中国银行股份有限公司-华泰紫金泰盈混合型证券投资基金
中央汇金资产管理有限责任公司
中国建设银行-上投摩根阿尔法股票型证券投资基金
长安国际信托股份有限公司-银帆3期(长安投资78号)集合资金信托计划
交通银行-中海优质成长证券投资基金
全国社保基金六零三组合",6.0
