,ts_code,name,industry,average_turnover_rate,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,circ_mv
2574,600556.SH,ST慧球,软件服务,0.199,12.0,3.835,56.686,3.303,212793.8086
1053,002592.SZ,八菱科技,汽车配件,2.695,11.0,4.954,68.83,11.23,441303.6554
2177,600073.SH,上海梅林,食品,1.105,8.0,1.44,12.032,-6.959,646095.6062
37,000045.SZ,深纺织A,纺织,2.546,8.0,2.806,24.306,-7.097,327223.8849
876,002414.SZ,高德红外,电器仪表,2.37,8.0,2.614,22.733,-3.388,966480.8563
141,000550.SZ,江铃汽车,汽车整车,0.541,8.0,1.989,16.944,-2.576,619002.029
510,002047.SZ,宝鹰股份,装修装饰,1.165,6.0,1.112,6.782,2.515,934666.7014
944,002482.SZ,广田集团,装修装饰,0.937,6.0,1.88,11.712,8.398,948163.4245
378,000893.SZ,*ST东凌,食品,0.439,5.0,0.292,1.432,-4.119,170315.3288
3251,603268.SH,松发股份,陶瓷,1.219,5.0,1.61,8.159,-0.378,212328.648
3163,603063.SH,禾望电气,电气设备,4.831,5.0,1.524,7.681,0.894,186113.7
444,000979.SZ,中弘退,,1.081,5.0,0.8,3.846,-10.345,226500.8724
3435,603717.SH,天域生态,环境保护,4.85,5.0,2.041,10.167,1.474,120370.3278
3275,603320.SH,迪贝电气,机械基件,3.405,5.0,0.808,4.053,0.223,60905.0
3449,603758.SH,秦安股份,汽车配件,0.857,5.0,0.197,0.952,-1.562,84905.2877
15,000019.SZ,深深宝A,软饮料,3.328,5.0,1.586,8.069,0.0,339834.9376
2727,600725.SH,ST云维,焦炭加工,0.429,5.0,1.16,5.858,0.844,311814.91
1241,002787.SZ,华源控股,广告包装,3.07,5.0,1.518,7.785,-0.931,82165.8452
3488,603848.SH,好太太,家居用品,2.533,5.0,1.115,5.525,2.517,109999.435
27,000032.SZ,深桑达A,元器件,1.907,5.0,1.056,5.221,-0.134,219637.6266
1077,002616.SZ,长青集团,环境保护,0.745,4.0,1.486,5.979,3.56,325719.5942
1337,002890.SZ,弘宇股份,农用机械,3.921,4.0,1.369,5.4,0.26,96649.3658
780,002318.SZ,久立特材,特种钢,0.512,4.0,0.162,0.629,-2.304,525293.9392
3053,601677.SH,明泰铝业,铝,0.191,4.0,0.16,0.64,-0.741,542442.6158
2878,600890.SH,中房股份,区域地产,0.427,4.0,1.329,5.408,-2.16,553131.1534
556,002093.SZ,国脉科技,电信运营,2.042,4.0,2.025,7.982,0.0,698243.2657
401,000922.SZ,佳电股份,电气设备,0.523,4.0,0.564,2.219,-0.734,335344.317
758,002296.SZ,辉煌科技,通信设备,1.829,4.0,0.575,2.174,0.914,182069.2646
1037,002576.SZ,通达动力,电气设备,3.342,4.0,2.807,11.616,0.0,159779.1458
953,002491.SZ,通鼎互联,通信设备,1.885,4.0,1.046,4.099,1.641,985316.0072
554,002091.SZ,江苏国泰,商贸代理,1.049,4.0,1.682,6.767,-4.144,552227.0296
3277,603322.SH,超讯通信,通信设备,3.425,4.0,0.893,3.478,-4.224,110675.8038
1219,002763.SZ,汇洁股份,服饰,1.295,4.0,1.079,4.322,2.392,162272.4416
3280,603328.SH,依顿电子,元器件,0.409,4.0,1.166,4.706,4.12,971527.2519
2914,600977.SH,中国电影,影视音像,2.041,4.0,2.171,8.914,-3.331,821510.0
3413,603679.SH,华体科技,电气设备,2.51,4.0,1.956,7.941,-2.245,97183.4065
3294,603357.SH,设计总院,建筑施工,2.932,4.0,1.184,4.771,-5.139,334483.4344
2625,600611.SH,大众交通,公共交通,0.247,4.0,0.064,0.25,-0.744,626889.862
1281,002830.SZ,名雕股份,装修装饰,2.675,4.0,0.481,1.93,-1.31,67329.6
3296,603359.SH,东珠生态,建筑施工,1.134,4.0,1.139,4.517,4.115,254815.1665
2936,601002.SH,晋亿实业,机械基件,2.636,4.0,1.524,6.133,2.622,493845.87
2380,600305.SH,恒顺醋业,食品,1.22,4.0,0.77,3.074,1.455,788260.7564
1350,002905.SZ,金逸影视,影视音像,3.233,4.0,0.917,3.706,0.223,94012.8
1266,002815.SZ,崇达技术,元器件,1.0,4.0,0.46,1.803,-0.757,319611.5771
2774,600775.SH,南京熊猫,通信设备,3.987,4.0,3.616,14.495,-0.547,419227.2421
2520,600491.SH,龙元建设,建筑施工,0.674,4.0,1.683,6.868,0.552,737232.8
1151,002690.SZ,美亚光电,专用机械,1.137,4.0,1.618,6.582,-1.162,742205.4443
449,000985.SZ,大庆华科,化工原料,1.702,4.0,0.837,3.093,1.495,181495.3
3141,603028.SH,赛福天,钢加工,1.123,4.0,0.773,3.112,-0.538,88063.3212
3509,603887.SH,城地股份,建筑施工,0.626,4.0,0.442,1.676,-0.067,125860.2108
502,002039.SZ,黔源电力,水力发电,0.235,4.0,0.288,1.154,1.01,401562.2575
2211,600110.SH,诺德股份,电气设备,1.051,4.0,1.043,4.157,-2.915,518790.7557
2783,600784.SH,鲁银投资,普钢,0.778,4.0,1.758,7.156,1.53,323293.1944
3169,603078.SH,江化微,化工原料,2.519,4.0,2.199,8.815,-0.789,144205.0722
74,000400.SZ,许继电气,电气设备,1.132,4.0,1.881,7.675,-2.458,947672.97
2180,600076.SH,康欣新材,其他建材,2.492,4.0,1.473,5.896,0.456,483001.3482
1104,002643.SZ,万润股份,化工原料,0.775,4.0,1.578,6.367,3.792,909079.5121
2191,600088.SH,中视传媒,影视音像,0.318,4.0,0.467,1.865,-1.492,347595.3936
2502,600468.SH,百利电气,电气设备,0.598,4.0,1.142,4.52,-1.667,443129.1856
3190,603113.SH,金能科技,化工原料,1.444,4.0,0.536,2.142,1.127,395583.384
3059,601717.SH,郑煤机,工程机械,0.407,4.0,0.3,1.197,-0.0,878010.248
3197,603128.SH,华贸物流,仓储物流,0.898,4.0,0.68,2.74,2.098,572882.7018
553,002090.SZ,金智科技,软件服务,0.4,4.0,0.722,2.839,1.149,419186.8239
3497,603869.SH,新智认知,旅游服务,0.546,4.0,0.747,2.949,2.631,430577.2917
2224,600123.SH,兰花科创,煤炭开采,0.44,4.0,0.295,1.159,0.877,797395.2
296,000766.SZ,通化金马,中成药,0.896,3.0,0.386,1.121,-3.486,465672.9454
489,002026.SZ,山东威达,机械基件,1.022,3.0,-0.617,-1.849,-2.459,215799.0154
2618,600603.SH,广汇物流,仓储物流,1.216,3.0,1.437,4.348,-5.819,229851.4462
3287,603337.SH,杰克股份,纺织机械,1.147,3.0,1.239,3.75,-3.513,309485.5528
3204,603156.SH,养元饮品,软饮料,1.393,3.0,0.719,2.167,-2.189,261390.99
3148,603036.SH,如通股份,专用机械,1.912,3.0,0.328,0.985,-4.396,62533.2
1230,002775.SZ,文科园林,建筑施工,0.6,3.0,-0.104,-0.313,-0.467,276567.3524
3143,603030.SH,全筑股份,装修装饰,0.899,3.0,1.503,4.553,-2.726,318785.8409
283,000739.SZ,普洛药业,化学制药,0.744,3.0,-0.296,-0.885,-10.924,899110.067
2385,600310.SH,桂东电力,水力发电,0.353,3.0,-0.803,-2.404,-4.368,336076.65
2381,600306.SH,商业城,百货,0.419,3.0,0.162,0.421,-3.523,126845.0941
2641,600629.SH,华建集团,建筑施工,0.278,3.0,0.516,1.552,-0.939,439245.2268
994,002533.SZ,金杯电工,电气设备,1.002,3.0,0.29,0.847,-1.667,246498.1208
1123,002662.SZ,京威股份,汽车配件,1.231,3.0,3.465,10.417,-4.478,618603.7464
2607,600592.SH,龙溪股份,机械基件,1.676,3.0,0.575,1.715,-3.477,236935.2676
655,002192.SZ,融捷股份,专用机械,1.465,3.0,0.438,1.275,-1.211,489387.9514
2556,600532.SH,宏达矿业,普钢,2.636,3.0,0.585,1.667,-6.977,251840.0714
505,002042.SZ,华孚时尚,纺织,0.635,3.0,-0.117,-0.351,-1.384,862062.1512
3220,603183.SH,建研院,建筑施工,3.05,3.0,0.755,2.246,-1.682,140947.6019
389,000908.SZ,景峰医药,化学制药,1.208,3.0,0.224,0.638,-7.48,334418.9719
1184,002726.SZ,龙大肉食,食品,0.778,3.0,1.655,4.824,-3.079,669385.1438
382,000899.SZ,赣能股份,火力发电,0.481,3.0,0.692,2.055,-2.013,289063.2807
1094,002633.SZ,申科股份,机械基件,0.321,3.0,-0.187,-0.562,-3.159,131850.147
3246,603239.SH,浙江仙通,汽车配件,2.961,3.0,1.126,3.407,-3.849,110134.08
2465,600405.SH,动力源,电气设备,4.817,3.0,2.547,7.517,0.919,261146.0115
3250,603266.SH,天龙股份,塑料,2.079,3.0,0.522,1.564,-0.706,50015.0
3179,603096.SH,新经典,出版业,0.775,3.0,1.479,4.425,-0.353,318116.2
534,002071.SZ,长城影视,影视音像,1.371,3.0,0.846,2.518,-3.972,295502.9636
360,000863.SZ,三湘印象,区域地产,0.119,3.0,0.084,0.248,-1.707,370365.9492
2449,600386.SH,北巴传媒,公共交通,0.901,3.0,0.762,2.299,-7.2,287078.4
