,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,300573.SZ,300573,兴齐眼药,化学制药,8.0,9.9938,53.6,"医药, 化学药, 眼科, "
1,300768.SZ,300768,迪普科技,软件服务,8.0,9.9905,34.68,
2,603068.SH,603068,博通集成,半导体,7.0,9.9937,52.28,
3,300769.SZ,300769,德方纳米,化工原料,7.0,10.0009,117.25,
4,603317.SH,603317,天味食品,食品,6.0,9.9936,34.34,
5,600175.SH,600175,美都能源,综合类,4.0,10.1205,4.57,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
6,600213.SH,600213,亚星客车,汽车整车,4.0,10.0422,13.04,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
7,002274.SZ,002274,华昌化工,农药化肥,3.0,10.02,16.47,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
8,000702.SZ,000702,正虹科技,饲料,3.0,9.952,9.17,"饲料, 业绩预增, 湖南国企改革, 农垦, "
9,300770.SZ,300770,新媒股份,影视音像,3.0,9.9968,69.32,
10,002054.SZ,002054,德美化工,化工原料,3.0,10.0571,9.63,"半导体, 国资入股, 壳公司, 创投, "
11,002600.SZ,002600,领益智造,元器件,3.0,9.9424,7.63,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
12,600393.SH,600393,粤泰股份,全国地产,2.0,10.0515,4.27,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
13,300771.SZ,300771,智莱科技,电脑设备,2.0,9.9979,52.7,
14,002666.SZ,002666,德联集团,化工原料,2.0,10.0826,6.66,"蔚来汽车概念股, "
15,600073.SH,600073,上海梅林,食品,2.0,10.0379,11.62,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
16,001896.SZ,001896,豫能控股,火力发电,2.0,10.0629,5.25,"火电, 电改, 破净股, 风电, 定增破发, "
17,300152.SZ,300152,科融环境,环境保护,2.0,10.0467,4.71,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
18,300510.SZ,300510,金冠股份,电气设备,1.0,10.0259,12.73,"智能仪表, 锂电池, 新能源汽车, 股权转让, 国资入股, 资产重组, 充电桩, "
19,300342.SZ,300342,天银机电,元器件,1.0,10.0,11.11,"军工, 军民融合, 太赫兹, 白色家电, 家电, 股权转让, 国资入股, "
20,300325.SZ,300325,德威新材,塑料,1.0,9.9541,7.18,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
21,300283.SZ,300283,温州宏丰,电气设备,1.0,9.9476,6.3,"股权转让, "
22,300362.SZ,300362,天翔环境,环境保护,1.0,10.0901,6.11,"固废处理, 环保, 污水处理, 股权转让, 资产重组, "
23,000050.SZ,000050,深天马A,元器件,1.0,10.0,17.38,"OLED, MSCI, 央企改革, 华为产业链, 军工研究所, 军工, 汽车零部件, 小米概念股, VR&AR, "
24,600110.SH,600110,诺德股份,电气设备,1.0,9.9251,5.87,"中科院系, 宁德时代概念股, "
25,300238.SZ,300238,冠昊生物,医疗保健,1.0,10.0,21.89,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
26,600248.SH,600248,延长化建,建筑施工,1.0,10.0379,5.81,"中科院系, 大基建, 资产重组, "
27,600261.SH,600261,阳光照明,家用电器,1.0,10.0,4.62,"LED, "
28,600478.SH,600478,科力远,元器件,1.0,10.0457,7.23,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, "
29,600617.SH,600617,国新能源,供气供热,1.0,9.9834,6.61,"油气改革, 天然气, 山西国企改革, 雄安-公共服务, 雄安新区, "
30,600664.SH,600664,哈药股份,化学制药,1.0,9.9812,5.84,"保健品, 食品, 医药, 中药, 化学药, 流感, 工业大麻, "
31,600686.SH,600686,金龙汽车,汽车整车,1.0,9.9802,11.13,"新能源整车, 汽车整车, 百度概念股, 无人驾驶, 燃料电池, 数字中国, 新能源汽车, "
32,600691.SH,600691,阳煤化工,农药化肥,1.0,10.0,3.63,"甲醇, 煤化工, 化肥, 山西国企改革, "
33,600829.SH,600829,人民同泰,医药商业,1.0,10.0496,8.87,"医药商业, 民营医院, 医药, 举牌股, "
34,600853.SH,600853,龙建股份,建筑施工,1.0,9.9437,5.86,"振兴东北, 大基建, PPP, "
35,603177.SH,603177,德创环保,环境保护,1.0,10.0,12.54,"大气治理, 环保, "
36,603488.SH,603488,展鹏科技,电气设备,1.0,9.9589,10.71,
