,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,002445.SZ,002445,*ST中南,影视音像,1.73,True,False,北京中融鼎新投资管理有限公司-中融鼎新-鼎融嘉盈6号投资基金
1,600275.SH,600275,ST昌鱼,农业综合,2.45,True,False,
2,600824.SH,600824,益民集团,百货,3.88,True,False,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金"
3,600811.SH,600811,东方集团,综合类,4.22,True,False,"昆仑信托有限责任公司-昆仑信托·东方集团定增一号集合资金信托计划
深圳市大华信安资产管理企业(有限合伙)-大华承运私募证券投资基金
中央汇金资产管理有限责任公司
中融金谷投资(北京)有限公司-中融金谷价值精选二号私募证券投资基金"
4,002228.SZ,002228,合兴包装,广告包装,4.25,True,False,兴证证券资管-浦发银行-兴证资管鑫众15号集合资产管理计划
5,600807.SH,600807,ST天业,区域地产,4.4,True,False,国通信托有限责任公司
6,600858.SH,600858,银座股份,百货,5.59,True,False,中国东方资产管理股份有限公司
7,300165.SZ,300165,天瑞仪器,电器仪表,5.64,True,False,
8,002226.SZ,002226,江南化工,化工原料,5.74,True,False,"香港中央结算有限公司(陆股通)
兴业全球基金-上海银行-浙江中升港通贸易有限公司"
9,000417.SZ,000417,合肥百货,百货,5.77,True,False,"上海喜世润投资管理有限公司-盈升金衍同丰6号私募投资基金
中央汇金资产管理有限责任公司"
10,000006.SZ,000006,深振业A,区域地产,5.83,True,False,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
11,601801.SH,601801,皖新传媒,出版业,6.14,True,False,"新华集团-国泰君安-16皖新EB担保及信托财产专户
安徽安元投资基金有限公司
中央汇金资产管理有限责任公司
鹏华资产-平安银行-华宝信托-华宝-银河15号集合资金信托计划
海南首泰融信股权投资基金合伙企业(有限合伙)"
12,600594.SH,600594,益佰制药,中成药,6.53,True,False,"中央汇金资产管理有限责任公司
金元顺安基金-海通证券-渤海国际信托-渤海信托·恒利丰123号·益佰艾康一号集合资金信托计划"
13,300591.SZ,300591,万里马,服饰,7.08,True,False,
14,603055.SH,603055,台华新材,纺织,7.69,True,False,
15,002726.SZ,002726,龙大肉食,食品,8.83,True,False,中央汇金资产管理有限责任公司
16,002066.SZ,002066,瑞泰科技,其他建材,9.97,True,False,中央汇金资产管理有限责任公司
17,000014.SZ,000014,沙河股份,全国地产,10.11,True,False,
18,002163.SZ,002163,中航三鑫,装修装饰,10.25,True,False,"中国对外经济贸易信托有限公司-鸿道3期
中航基金-浙商银行-中航基金同达1号资产管理计划
华润深国投信托有限公司-华润信托·鸿道聚利集合资金信托计划"
19,002827.SZ,002827,高争民爆,化工原料,10.55,True,False,全国社会保障基金理事会转持一户
20,300277.SZ,300277,海联讯,软件服务,11.17,True,False,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
