,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
3240,603220.SH,贝通信,通信设备,4.0,4.0,10.01,9.9893,260328.52
1190,002733.SZ,雄韬股份,电气设备,3.0,11.0,4.988,9.9867,540597.6683
3047,601619.SH,嘉泽新能,新型电力,3.0,3.0,10.044,10.0935,296711.5112
1463,300080.SZ,易成新能,半导体,3.0,7.0,5.384,10.0569,291152.2396
1402,300018.SZ,中元股份,电气设备,3.0,4.0,7.557,9.9502,241837.1039
14,000018.SZ,神州长城,装修装饰,2.0,4.0,5.101,9.9206,275776.9655
711,002249.SZ,大洋电机,电气设备,2.0,8.0,3.995,9.901,606277.9023
2067,300694.SZ,蠡湖股份,汽车配件,2.0,2.0,10.014,10.0184,128869.02
423,000957.SZ,中通客车,汽车整车,2.0,2.0,9.968,10.0,339134.6267
1099,002639.SZ,雪人股份,专用机械,2.0,3.0,7.819,10.0619,367021.7443
2611,600595.SH,中孚实业,铝,2.0,2.0,10.07,10.0437,438868.1816
2810,600815.SH,厦工股份,工程机械,1.0,3.0,3.561,10.0324,326049.7963
2790,600792.SH,云煤能源,焦炭加工,1.0,4.0,2.79,10.1045,312815.8576
2749,600746.SH,江苏索普,化工原料,1.0,1.0,10.0,10.0,207778.744
1846,300466.SZ,赛摩电气,电器仪表,1.0,1.0,10.069,10.0694,186114.7291
2307,600218.SH,全柴动力,农用机械,1.0,8.0,2.757,9.9206,204290.27
2995,601212.SH,白银有色,铜,1.0,3.0,3.647,9.9678,671918.8791
167,000587.SZ,金洲慈航,批发业,1.0,1.0,10.036,10.0358,372394.638
2264,600169.SH,太原重工,工程机械,1.0,2.0,5.656,10.0418,674320.165
2220,600117.SH,西宁特钢,特种钢,1.0,2.0,5.659,10.1449,281663.3158
2075,300702.SZ,天宇股份,化学制药,1.0,1.0,9.985,9.9851,117220.4669
3151,603036.SH,如通股份,专用机械,1.0,2.0,5.674,10.0429,65176.88
2011,300637.SZ,扬帆新材,化工原料,1.0,1.0,10.004,10.0037,191235.5452
474,002012.SZ,凯恩股份,造纸,1.0,7.0,2.943,10.0939,219011.3899
1707,300325.SZ,德威新材,塑料,1.0,2.0,5.897,10.049,356851.4004
479,002017.SZ,东信和平,通信设备,1.0,1.0,9.981,9.981,399296.6411
1526,300143.SZ,星普医科,医疗保健,1.0,3.0,3.525,10.022,263408.9044
269,000723.SZ,美锦能源,焦炭加工,1.0,4.0,3.764,9.8837,408709.267
81,000410.SZ,沈阳机床,机床制造,1.0,2.0,6.312,10.0471,518984.9182
1296,002848.SZ,高斯贝尔,通信设备,1.0,1.0,10.008,10.0081,118499.2172
1085,002625.SZ,光启技术,汽车配件,1.0,2.0,5.579,9.9606,476128.7183
912,002451.SZ,摩恩电气,电气设备,1.0,2.0,7.31,10.0142,645003.1353
879,002418.SZ,康盛股份,机械基件,1.0,1.0,10.149,10.1493,370331.4538
731,002270.SZ,华明装备,电气设备,1.0,1.0,10.063,10.0629,359403.7818
705,002243.SZ,通产丽星,塑料,1.0,6.0,6.296,9.9196,748145.3598
643,002181.SZ,粤传媒,出版业,1.0,1.0,9.978,9.9778,562678.5582
560,002098.SZ,浔兴股份,服饰,1.0,1.0,10.032,10.032,369098.0
496,002034.SZ,旺能环境,环境保护,1.0,2.0,5.729,10.0084,285197.8164
1694,300312.SZ,邦讯技术,通信设备,1.0,1.0,9.954,9.9542,177174.765
