,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002610.SZ,002610,爱康科技,电气设备,2.3,1.0,2.0,2.0,100.89,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,1.0
1,600331.SH,600331,宏达股份,铅锌,2.5,0.0,1.0,1.0,50.8,,0.0
2,300185.SZ,300185,通裕重工,工程机械,2.55,1.0,2.0,2.0,74.41,中央汇金资产管理有限责任公司,1.0
3,000659.SZ,000659,珠海中富,广告包装,2.75,4.0,1.0,1.0,35.36,,0.0
4,000506.SZ,000506,中润资源,黄金,2.93,1.0,1.0,1.0,27.21,共青城蕴沣资产管理有限公司-蕴沣创世3号证券投资私募基金,1.0
5,300108.SZ,300108,吉药控股,中成药,3.03,4.0,1.0,2.0,13.44,"汇安基金-浦发银行-江海证券有限公司
上海国药股权投资基金合伙企业(有限合伙)
吉林省现代农业和新兴产业投资基金有限公司",3.0
6,002622.SZ,002622,融钰集团,综合类,3.15,4.0,1.0,2.0,26.46,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划
创隆资产管理有限公司",2.0
7,600567.SH,600567,山鹰纸业,造纸,3.18,6.0,0.0,1.0,146.14,"香港中央结算有限公司(陆股通)
新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划
山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划",3.0
8,002141.SZ,002141,贤丰控股,元器件,3.28,6.0,0.0,2.0,20.88,"中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划
深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金",2.0
9,600537.SH,600537,亿晶光电,半导体,3.36,1.0,1.0,1.0,39.53,中央汇金资产管理有限责任公司,1.0
10,000521.SZ,000521,长虹美菱,家用电器,3.38,1.0,1.0,1.0,29.49,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金
财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙)",3.0
11,000718.SZ,000718,苏宁环球,区域地产,3.39,5.0,0.0,1.0,77.6,"安徽省铁路发展基金股份有限公司
香港中央结算有限公司(陆股通)",2.0
12,000428.SZ,000428,华天酒店,酒店餐饮,3.39,7.0,0.0,1.0,34.54,深圳昭阳投资管理有限公司-昭阳1号私募证券投资基金,1.0
13,601599.SH,601599,鹿港文化,影视音像,3.41,9.0,0.0,1.0,30.44,,0.0
