,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,002210.SZ,002210,*ST飞马,仓储物流,1.14,True,"光大兴陇信托有限责任公司-光大信托-励上2号集合资金信托计划
深圳市前海宏亿资产管理有限公司"
1,600010.SH,600010,包钢股份,普钢,1.19,True,"香港中央结算有限公司(陆股通)
华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
华安资产管理(香港)有限公司-客户资金专户1号(交易所)"
2,600157.SH,600157,永泰能源,火力发电,1.39,True,"陕西省国际信托股份有限公司-陕国投·唐兴8号证券投资集合资金信托计划
泰达宏利基金-工商银行-泰达宏利新毅3号资产管理计划"
3,600022.SH,600022,山东钢铁,普钢,1.42,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
4,002610.SZ,002610,爱康科技,电气设备,1.67,True,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
5,601388.SH,601388,怡球资源,铝,1.97,True,
6,000683.SZ,000683,远兴能源,化工原料,2.03,True,"北京中稷弘立资产管理有限公司
中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
上海塔彧毅股权投资基金(上海)中心(有限合伙)
中国信达资产管理股份有限公司
香港中央结算有限公司(陆股通)
中国信达资产管理股份有限公司
北京中稷弘立资产管理有限公司
中信建投基金-广州农商银行-华鑫国际信托-华鑫信托·153号证券投资集合资金信托计划
香港中央结算有限公司(陆股通)
上海塔彧毅股权投资基金(上海)中心(有限合伙)"
7,000882.SZ,000882,华联股份,其他商业,2.05,True,香港中央结算有限公司(陆股通)
8,300185.SZ,300185,通裕重工,工程机械,2.07,True,中央汇金资产管理有限责任公司
9,600121.SH,600121,郑州煤电,煤炭开采,2.15,True,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
10,601866.SH,601866,中远海发,水运,2.16,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
兴业全球基金-上海银行-中国海运(集团)总公司"
11,000630.SZ,000630,铜陵有色,铜,2.24,True,香港中央结算有限公司(陆股通)
12,600569.SH,600569,安阳钢铁,普钢,2.27,True,中央汇金资产管理有限责任公司
13,000709.SZ,000709,河钢股份,普钢,2.3,True,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金"
14,000629.SZ,000629,攀钢钒钛,小金属,2.31,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
15,600743.SH,600743,华远地产,区域地产,2.33,True,中央汇金资产管理有限责任公司
16,000809.SZ,000809,铁岭新城,区域地产,2.33,True,
