,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,300766.SZ,300766,每日互动,互联网,9.0,10.005,44.42
1,603681.SH,603681,永冠新材,化工原料,8.0,10.0143,30.87
2,300099.SZ,300099,精准信息,电器仪表,7.0,10.0307,10.75
3,300194.SZ,300194,福安药业,化学制药,6.0,9.9338,6.64
4,002952.SZ,002952,亚世光电,元器件,6.0,9.9972,79.44
5,002210.SZ,002210,飞马国际,仓储物流,5.0,10.0592,5.58
6,300174.SZ,300174,元力股份,化工原料,5.0,10.012,27.58
7,300767.SZ,300767,震安科技,橡胶,5.0,10.0124,44.5
8,600517.SH,600517,置信电气,电气设备,5.0,9.9432,7.74
9,000503.SZ,000503,国新健康,医疗保健,4.0,10.0179,30.75
10,300378.SZ,300378,鼎捷软件,软件服务,4.0,10.0204,21.52
11,000927.SZ,000927,一汽夏利,汽车整车,4.0,9.9404,5.53
12,603128.SH,603128,华贸物流,仓储物流,3.0,9.98,11.02
13,603009.SH,603009,北特科技,汽车配件,3.0,9.9802,11.13
14,603823.SH,603823,百合花,染料涂料,3.0,10.0039,28.48
15,000723.SZ,000723,美锦能源,焦炭加工,3.0,10.0,14.19
16,603379.SH,603379,三美股份,化工原料,3.0,9.9982,62.16
17,300416.SZ,300416,苏试试验,电器仪表,3.0,10.0196,28.0
18,002648.SZ,002648,卫星石化,化工原料,2.0,9.9833,19.72
19,600844.SH,600844,丹化科技,化工原料,2.0,10.084,5.24
20,002703.SZ,002703,浙江世宝,汽车配件,2.0,10.0478,6.9
21,600614.SH,600614,鹏起科技,综合类,2.0,10.0139,7.91
22,002597.SZ,002597,金禾实业,化工原料,2.0,9.9853,22.47
23,600389.SH,600389,江山股份,农药化肥,2.0,10.0,23.1
24,002496.SZ,002496,辉丰股份,农药化肥,2.0,10.119,3.7
25,002442.SZ,002442,龙星化工,化工原料,2.0,9.9558,9.94
26,002748.SZ,002748,世龙实业,化工原料,2.0,10.0101,10.88
27,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
28,600422.SH,600422,昆药集团,中成药,2.0,9.9917,13.21
29,600163.SH,600163,中闽能源,新型电力,2.0,9.9099,4.88
30,603002.SH,603002,宏昌电子,化工原料,2.0,10.0379,5.81
31,603079.SH,603079,圣达生物,食品,2.0,10.0144,30.54
32,603639.SH,603639,海利尔,农药化肥,2.0,9.9896,42.5
33,603599.SH,603599,广信股份,农药化肥,2.0,10.0109,20.11
