,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688616.SH,688616,西力科技,电器仪表,18.38,1.0,15.0,115.0,6.27,,0.0
1,003039.SZ,003039,顺控发展,水务,18.1,3.0,12.0,112.0,11.22,,0.0
2,002996.SZ,002996,顺博合金,铝,22.37,3.0,6.0,106.0,11.86,,0.0
3,000966.SZ,000966,长源电力,火力发电,5.74,2.0,5.0,105.0,63.62,,0.0
4,600526.SH,600526,菲达环保,环境保护,6.48,3.0,4.0,104.0,35.47,,0.0
5,002665.SZ,002665,首航高科,电气设备,3.06,3.0,4.0,104.0,71.37,,0.0
6,002900.SZ,002900,哈三联,化学制药,10.78,3.0,3.0,103.0,18.41,,0.0
7,003035.SZ,003035,南网能源,环境保护,10.84,2.0,3.0,103.0,82.12,,0.0
8,002485.SZ,002485,希努尔,服饰,5.23,2.0,2.0,102.0,28.45,,0.0
9,000502.SZ,000502,绿景控股,综合类,7.23,2.0,2.0,102.0,13.26,,0.0
10,600507.SH,600507,方大特钢,特种钢,9.54,2.0,2.0,102.0,205.68,,0.0
11,600212.SH,600212,江泉实业,综合类,4.49,2.0,2.0,102.0,22.98,,0.0
12,603098.SH,603098,森特股份,装修装饰,15.98,2.0,2.0,102.0,76.71,,0.0
13,600773.SH,600773,西藏城投,区域地产,11.28,2.0,2.0,102.0,84.16,,0.0
14,688456.SH,688456,N有研,铜,39.05,1.0,29.0,29.0,10.66,,0.0
15,002366.SZ,002366,台海核电,专用机械,5.1,2.0,7.0,7.0,30.76,,0.0
16,002269.SZ,002269,美邦服饰,服饰,2.02,2.0,3.0,3.0,50.75,,0.0
17,000613.SZ,000613,大东海A,旅游服务,5.2,1.0,3.0,3.0,13.88,,0.0
18,000011.SZ,000011,深物业A,区域地产,16.25,2.0,3.0,3.0,85.55,,0.0
19,605005.SH,605005,合兴股份,汽车配件,17.73,2.0,3.0,3.0,7.11,,0.0
20,002235.SZ,002235,安妮股份,互联网,4.45,2.0,2.0,2.0,23.6,,0.0
21,603090.SH,603090,宏盛股份,专用机械,14.34,2.0,2.0,2.0,14.34,,0.0
22,603069.SH,603069,海汽集团,公路,19.65,1.0,2.0,2.0,62.09,,0.0
23,002309.SZ,002309,中利集团,电气设备,5.47,2.0,2.0,2.0,38.2,,0.0
24,000993.SZ,000993,闽东电力,水力发电,8.43,2.0,2.0,2.0,37.07,,0.0
25,600707.SH,600707,彩虹股份,元器件,11.4,1.0,2.0,2.0,282.14,,0.0
26,002554.SZ,002554,惠博普,石油开采,3.03,2.0,2.0,2.0,25.64,,0.0
27,600255.SH,600255,鑫科材料,铜,2.77,1.0,1.0,1.0,49.02,财通基金-李绍君-财通基金玉泉916号单一资产管理计划,1.0
28,600315.SH,600315,上海家化,日用化工,50.05,1.0,1.0,1.0,335.96,"上海太富祥尔股权投资基金合伙企业(有限合伙)
国泰君安证券资管-建设银行-国泰君安君得鑫两年持有期混合型集合资产管理计划
香港中央结算有限公司(陆股通)
上海重阳战略投资有限公司-重阳战略同智基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
全国社保基金一一七组合
上海重阳战略投资有限公司-重阳战略聚智基金",7.0
29,000007.SZ,000007,全新好,酒店餐饮,4.45,1.0,1.0,1.0,13.75,,0.0
30,600187.SH,600187,国中水务,水务,2.59,1.0,1.0,1.0,42.84,,0.0
31,600137.SH,600137,浪莎股份,服饰,14.67,1.0,1.0,1.0,14.26,,0.0
32,003038.SZ,003038,鑫铂股份,铝,31.34,1.0,1.0,1.0,8.34,,0.0
33,600499.SH,600499,科达制造,专用机械,9.35,1.0,1.0,1.0,147.47,,0.0
34,003016.SZ,003016,欣贺股份,服饰,9.69,1.0,1.0,1.0,10.34,,0.0
35,002993.SZ,002993,奥海科技,元器件,57.35,1.0,1.0,1.0,25.92,,0.0
36,002988.SZ,002988,豪美新材,铝,15.7,1.0,1.0,1.0,9.14,,0.0
37,002980.SZ,002980,华盛昌,电器仪表,49.0,1.0,1.0,1.0,16.33,,0.0
38,002955.SZ,002955,鸿合科技,IT设备,20.94,1.0,1.0,1.0,20.36,,0.0
39,002893.SZ,002893,华通热力,供气供热,7.87,1.0,1.0,1.0,9.83,,0.0
40,002848.SZ,002848,高斯贝尔,通信设备,10.01,1.0,1.0,1.0,9.88,,0.0
41,003026.SZ,003026,中晶科技,半导体,62.85,1.0,1.0,1.0,15.68,,0.0
