,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
358,000862.SZ,银星能源,新型电力,7.0,7.0,10.06,10.0379,291286.0291
2782,600776.SH,东方通信,通信设备,4.0,4.0,9.998,9.976,1749480.1171
1060,002600.SZ,领益智造,元器件,4.0,6.0,7.141,10.0287,571350.1524
113,000518.SZ,四环生物,生物制药,4.0,5.0,8.492,10.0287,395341.7061
1865,300481.SZ,濮阳惠成,化工原料,3.0,5.0,6.979,9.9734,420686.7954
2579,600552.SH,凯盛科技,玻璃,3.0,5.0,7.107,10.0,386525.3055
1515,300128.SZ,锦富技术,元器件,3.0,5.0,8.214,10.0796,442272.423
2717,600707.SH,彩虹股份,元器件,3.0,5.0,6.884,9.9812,752172.4185
1484,300097.SZ,智云股份,电器仪表,3.0,5.0,7.441,10.0152,292673.8609
1317,002870.SZ,香山股份,电器仪表,3.0,5.0,6.911,9.9777,79156.76
1293,002845.SZ,同兴达,元器件,3.0,5.0,6.946,10.0,145329.9052
1927,300545.SZ,联得装备,专用机械,3.0,6.0,6.512,10.0201,126674.072
848,002387.SZ,维信诺,元器件,3.0,7.0,5.42,10.0444,580629.1284
355,000859.SZ,国风塑业,塑料,3.0,6.0,6.002,9.893,303857.4293
2999,601208.SH,东材科技,化工原料,3.0,5.0,6.938,10.0858,321446.313
3200,603110.SH,东方材料,染料涂料,2.0,5.0,5.372,10.017,70373.4998
1973,300593.SZ,新雷能,电气设备,2.0,6.0,5.586,10.0052,140511.6594
128,000536.SZ,华映科技,元器件,2.0,5.0,7.597,10.0,484809.1422
1129,002669.SZ,康达新材,化工原料,2.0,5.0,5.71,10.0349,288184.1696
1607,300221.SZ,银禧科技,塑料,2.0,5.0,5.696,10.0,279425.8513
749,002288.SZ,超华科技,元器件,2.0,5.0,6.259,10.0213,412949.5791
1649,300263.SZ,隆华科技,专用机械,2.0,5.0,6.655,10.1031,301841.5749
3175,603063.SH,禾望电气,电气设备,1.0,5.0,7.357,10.0248,226961.7
3068,601700.SH,风范股份,电气设备,1.0,5.0,4.09,9.9808,649341.936
2700,600689.SH,上海三毛,纺织,1.0,6.0,3.489,10.0559,149921.0809
3316,603366.SH,日出东方,家用电器,1.0,5.0,4.293,9.949,344800.0
1959,300579.SZ,数字认证,软件服务,1.0,5.0,4.108,9.9959,128421.3021
2550,600518.SH,康美药业,中成药,1.0,5.0,7.507,9.9869,3685471.6755
2313,600218.SH,全柴动力,农用机械,1.0,1.0,9.951,9.9509,330035.725
2303,600207.SH,安彩高科,元器件,1.0,5.0,4.606,10.0917,331200.0
2789,600783.SH,鲁信创投,矿物制品,1.0,5.0,3.747,9.8901,1339846.7292
2919,600975.SH,新五丰,农业综合,1.0,5.0,5.549,10.0418,343307.3572
51,000068.SZ,华控赛格,元器件,1.0,5.0,5.748,10.0,476155.6025
1896,300512.SZ,中亚股份,专用机械,1.0,5.0,4.34,10.0,113001.7853
1863,300479.SZ,神思电子,软件服务,1.0,6.0,3.353,9.9775,234560.0
1773,300389.SZ,艾比森,半导体,1.0,6.0,2.751,10.0257,281084.5385
1742,300356.SZ,光一科技,电气设备,1.0,6.0,4.844,10.0313,258878.1349
1724,300338.SZ,开元股份,电器仪表,1.0,5.0,3.766,10.0,148989.2287
1636,300250.SZ,初灵信息,软件服务,1.0,1.0,9.986,9.9859,217387.1384
1505,300118.SZ,东方日升,半导体,1.0,1.0,10.06,10.0599,627254.8068
1221,002767.SZ,先锋电子,电器仪表,1.0,7.0,2.374,10.0372,182982.39
1211,002756.SZ,永兴特钢,特种钢,1.0,5.0,3.251,10.0152,268171.8291
1149,002689.SZ,远大智能,运输设备,1.0,5.0,3.527,10.0865,397593.4344
786,002325.SZ,洪涛股份,装修装饰,1.0,5.0,3.715,9.8413,318504.5464
714,002252.SZ,上海莱士,生物制药,1.0,5.0,4.548,10.0152,3605127.0968
626,002164.SZ,宁波东力,电气设备,1.0,5.0,4.734,10.1307,148260.9282
536,002074.SZ,国轩高科,电气设备,1.0,5.0,3.879,10.0299,1482125.5684
502,002040.SZ,南京港,港口,1.0,5.0,3.21,10.0613,275153.6252
3560,603959.SH,百利科技,建筑施工,1.0,2.0,5.036,10.0065,252189.28
