,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605208.SH,605208,N永茂泰,汽车配件,True,44.0299,0.0,inf,9.07,,0.0
1,003039.SZ,003039,N顺控,水务,True,44.0273,0.0,inf,5.23,,0.0
2,300146.SZ,300146,汤臣倍健,医疗保健,True,20.0,29.999999999999982,0.6666666666666671,250.64,"国泰基金管理有限公司-社保基金四二一组合
全国社保基金四零三组合
香港中央结算有限公司(陆股通)
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
中国建设银行股份有限公司-前海开源再融资主题精选股票型证券投资基金
中央汇金资产管理有限责任公司",6.0
3,000825.SZ,000825,太钢不锈,特种钢,True,9.9744,23.209169054441258,0.4297611851851852,244.94,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海一村投资管理有限公司-一村启明星1号私募证券投资基金
中央汇金资产管理有限责任公司",4.0
4,000911.SZ,000911,南宁糖业,食品,True,10.035,32.258064516129025,0.31108500000000006,30.56,"中国农业银行股份有限公司-工银瑞信消费行业股票型证券投资基金
中国农业银行股份有限公司-工银瑞信农业产业股票型证券投资基金",2.0
5,300740.SZ,300740,御家汇,日用化工,True,20.0,76.84210526315789,0.26027397260273977,101.4,"中国工商银行-中海能源策略混合型证券投资基金
前海股权投资基金(有限合伙)
上海于翼资产管理合伙企业(有限合伙)-东方点赞6号证券私募基金",3.0
6,000875.SZ,000875,吉电股份,火力发电,True,7.1111,29.2225201072386,0.24334314678899088,103.45,"香港中央结算有限公司(陆股通)
平安基金-包商银行-上海国际集团资产管理有限公司
华安基金-兴业银行-广西铁路发展投资基金(有限合伙)",3.0
7,600328.SH,600328,中盐化工,化工原料,True,10.0125,41.774193548387075,0.2396814671814673,49.19,财通基金-宁波银行-财通基金-至尊宝2号资产管理计划,1.0
8,000550.SZ,000550,江铃汽车,汽车整车,True,10.0,42.38888888888888,0.23591087811271302,132.88,中央汇金资产管理有限责任公司,1.0
9,601985.SH,601985,中国核电,新型电力,True,4.023,17.278617710583145,0.23283112500000008,845.2,"大成基金-农业银行-大成中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
香港中央结算有限公司(陆股通)
嘉实基金-农业银行-嘉实中证金融资产管理计划",6.0
10,600163.SH,600163,中闽能源,新型电力,True,10.1124,44.54277286135693,0.22702672847682118,48.97,海峡产业投资基金(福建)有限合伙企业,1.0
11,000027.SZ,000027,深圳能源,火力发电,True,9.9432,43.86617100371748,0.22667125423728807,368.22,"中央汇金资产管理有限责任公司
中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
建信中证500指数增强型证券投资基金",4.0
12,600169.SH,600169,太原重工,工程机械,True,9.9617,44.2211055276382,0.22527026136363631,73.59,"广发基金-农业银行-广发中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中央汇金资产管理有限责任公司
银华基金-农业银行-银华中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",5.0
13,603098.SH,603098,森特股份,装修装饰,True,9.981,45.9016393442623,0.21744321428571425,55.54,北京匀丰资产管理有限公司-匀丰灵活配置-定制4号私募投资基金,1.0
14,600674.SH,600674,川投能源,水力发电,True,3.4545,16.83778234086244,0.2051635975609754,500.96,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
15,002514.SZ,002514,宝馨科技,机械基件,True,9.9778,50.30303030303032,0.19835385542168668,20.11,,0.0
16,601857.SH,601857,中国石油,石油开采,True,2.0362,10.539215686274495,0.19320223255813979,7302.69,"香港中央结算有限公司(陆股通)
中石油集团-中信建投证券-17中油E2担保及信托财产专户
中央汇金资产管理有限责任公司
中石油集团-中信建投证券-17中油EB担保及信托财产专户",4.0
17,600516.SH,600516,方大炭素,矿物制品,True,10.0116,52.17391304347825,0.19188900000000003,359.66,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
18,002534.SZ,002534,杭锅股份,专用机械,True,10.0176,53.61963190184047,0.18682709382151036,92.25,中央汇金资产管理有限责任公司,1.0
19,601011.SH,601011,宝泰隆,焦炭加工,True,5.9735,35.31073446327684,0.16916952,76.87,,0.0
20,002554.SZ,002554,惠博普,石油开采,True,10.1695,60.891089108910904,0.16701130081300808,27.5,,0.0
21,300492.SZ,300492,华图山鼎,建筑工程,True,5.7246,43.85964912280702,0.13052087999999998,67.42,上海申九资产管理有限公司-申九全天候7号私募证券投资基金,1.0
22,002109.SZ,002109,兴化股份,化工原料,True,10.0386,79.81072555205049,0.12578008695652174,60.02,,0.0
23,002876.SZ,002876,三利谱,元器件,True,6.4353,55.91885441527447,0.11508282970550575,62.51,"中国建设银行股份有限公司-国泰大制造两年持有期混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",3.0
24,603126.SH,603126,中材节能,环境保护,True,10.041,100.74766355140187,0.09966484230055658,65.57,,0.0
25,601028.SH,601028,玉龙股份,商贸代理,True,3.3887,35.18679409209384,0.09630601728395059,121.84,,0.0
26,002378.SZ,002378,章源钨业,小金属,True,10.0,113.88888888888889,0.0878048780487805,91.6,,0.0
27,603177.SH,603177,德创环保,环境保护,True,4.1176,49.09747292418771,0.0838658235294118,25.03,中阅资本管理股份公司-中阅聚焦3号私募证券投资基金,1.0
