,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,20.0,-4.085,-58.629,94673.143
3307,603345.SH,安井食品,食品,4.0,-0.729,-3.658,433535.5326
1126,002666.SZ,德联集团,化工原料,4.0,-0.753,-3.814,200998.5683
2147,600021.SH,上海电力,火力发电,4.0,-0.421,-2.121,750577.6129
2508,600466.SH,蓝光发展,区域地产,4.0,-0.524,-2.712,1712878.0121
2882,600886.SH,国投电力,水力发电,4.0,-0.467,-2.334,5679901.5414
1834,300450.SZ,先导智能,专用机械,3.0,-1.58,-6.283,1484512.0172
2895,600900.SH,长江电力,水力发电,3.0,-0.122,-0.49,18685648.9635
1460,300073.SZ,当升科技,矿物制品,3.0,-1.057,-4.266,1040242.2248
1425,300037.SZ,新宙邦,化工原料,3.0,-1.453,-5.927,644539.1213
3281,603305.SH,旭升股份,汽车配件,3.0,-1.13,-4.561,178719.3762
944,002483.SZ,润邦股份,工程机械,3.0,-0.739,-2.934,266478.368
2929,600984.SH,建设机械,工程机械,3.0,-0.586,-2.345,458305.3155
494,002032.SZ,苏泊尔,家用电器,3.0,-1.119,-4.437,2932799.8846
3420,603659.SH,璞泰来,化工原料,3.0,-1.138,-4.584,932572.4574
3289,603318.SH,派思股份,专用机械,3.0,-0.721,-2.902,497876.8989
378,000895.SZ,双汇发展,食品,3.0,-0.991,-3.958,8165083.3853
252,000703.SZ,恒逸石化,化纤,3.0,-0.416,-1.684,3053438.8989
1593,300207.SZ,欣旺达,元器件,3.0,-1.283,-5.105,1185855.2885
1841,300457.SZ,赢合科技,专用机械,3.0,-1.304,-5.197,515736.7981
3336,603421.SH,鼎信通讯,通信设备,3.0,-2.889,-11.165,132911.3896
1263,002812.SZ,恩捷股份,广告包装,3.0,-1.518,-6.025,638111.2649
2629,600606.SH,绿地控股,全国地产,3.0,0.009,-0.0,8116158.9748
2634,600612.SH,老凤祥,服饰,3.0,-0.81,-3.274,1358497.6549
3322,603377.SH,东方时尚,汽车服务,3.0,-0.832,-3.322,855540.0
74,000401.SZ,冀东水泥,水泥,3.0,-0.637,-2.613,1857812.0031
1666,300280.SZ,紫天科技,专用机械,2.0,-0.147,-0.446,428800.0
3574,603985.SH,恒润股份,机械基件,2.0,-0.76,-2.344,166400.0
2922,600977.SH,中国电影,影视音像,2.0,-0.8,-2.407,870665.0
1556,300169.SZ,天晟新材,塑料,2.0,-0.865,-2.607,134686.53
3202,603110.SH,东方材料,染料涂料,2.0,-1.326,-3.955,69884.795
3055,601616.SH,广电电气,电气设备,2.0,0.18,0.506,371423.275
1287,002838.SZ,道恩股份,塑料,2.0,-0.223,-0.696,150388.7899
1029,002569.SZ,步森股份,服饰,2.0,-3.64,-10.575,163107.5639
1081,002621.SZ,三垒股份,专用机械,2.0,-0.78,-2.33,567325.6153
1221,002767.SZ,先锋电子,电器仪表,2.0,0.868,2.604,180262.3815
1182,002725.SZ,跃岭股份,汽车配件,2.0,0.358,0.882,161565.9878
2305,600208.SH,新湖中宝,全国地产,2.0,0.327,0.971,2682629.6394
1211,002756.SZ,永兴特钢,特种钢,2.0,-0.21,-0.666,275754.6187
2304,600207.SH,安彩高科,元器件,2.0,-1.198,-3.586,333960.0
296,000767.SZ,漳泽电力,火力发电,2.0,0.397,1.177,751372.1278
320,000802.SZ,北京文化,影视音像,2.0,-2.228,-6.541,518113.7675
136,000545.SZ,金浦钛业,化工原料,2.0,1.166,3.498,340588.0991
3503,603828.SH,柯利达,装修装饰,2.0,-0.641,-1.945,360968.4
2008,300630.SZ,普利制药,化学制药,1.0,-1.305,-2.602,544568.6755
2591,600566.SH,济川药业,中成药,1.0,-5.601,-10.912,2627785.9667
2598,600573.SH,惠泉啤酒,啤酒,1.0,-1.103,-2.195,178250.0
2082,300706.SZ,阿石创,元器件,1.0,-1.268,-2.524,149940.5246
2606,600582.SH,天地科技,工程机械,1.0,-1.229,-2.452,1481614.8233
2079,300702.SZ,天宇股份,化学制药,1.0,-0.559,-1.132,141508.3679
2070,300693.SZ,盛弘股份,电气设备,1.0,-0.626,-1.283,117671.2426
2062,300685.SZ,艾德生物,生物制药,1.0,-1.085,-2.17,427084.3008
2056,300679.SZ,电连技术,元器件,1.0,-1.321,-2.632,287803.4074
2042,300665.SZ,飞鹿股份,染料涂料,1.0,-0.282,-0.562,76748.0546
2623,600600.SH,青岛啤酒,啤酒,1.0,-1.48,-2.944,2638208.522
2582,600556.SH,ST慧球,软件服务,1.0,-0.532,-1.079,253457.5605
2007,300629.SZ,新劲刚,矿物制品,1.0,-0.534,-1.072,79826.818
2637,600615.SH,丰华股份,小金属,1.0,-0.84,-1.676,198131.4804
2670,600653.SH,申华控股,汽车服务,1.0,-0.218,-0.448,387696.4304
2675,600660.SH,福耀玻璃,汽车配件,1.0,-0.749,-1.492,4891292.6227
2685,600673.SH,东阳光科,铝,1.0,-0.889,-1.77,2183526.5162
1995,300617.SZ,安靠智电,电气设备,1.0,-0.973,-1.944,87027.555
1975,300596.SZ,利安隆,化工原料,1.0,-1.535,-3.048,354578.0657
1970,300590.SZ,移为通信,通信设备,1.0,-1.881,-3.733,280136.0
1956,300576.SZ,容大感光,染料涂料,1.0,-1.206,-2.422,61108.1732
2686,600674.SH,川投能源,水力发电,1.0,-0.547,-1.093,3983937.1344
2585,600559.SH,老白干酒,白酒,1.0,-1.129,-2.245,881289.4558
2573,600545.SH,卓郎智能,纺织机械,1.0,-1.363,-2.717,508190.9051
2298,600199.SH,金种子酒,白酒,1.0,-0.575,-1.147,287335.676
2568,600537.SH,亿晶光电,半导体,1.0,-1.894,-3.759,451721.9589
2246,600138.SH,中青旅,旅游服务,1.0,-0.782,-1.567,1045948.8
2340,600247.SH,*ST成城,商贸代理,1.0,-1.982,-4.021,184706.4384
2241,600132.SH,重庆啤酒,啤酒,1.0,-0.968,-1.939,1615011.8877
2226,600116.SH,三峡水利,水力发电,1.0,-1.033,-2.056,804334.4566
2361,600273.SH,嘉化能源,化工原料,1.0,-0.486,-0.975,1292151.6247
2363,600276.SH,恒瑞医药,化学制药,1.0,-1.417,-2.813,23836189.9527
2708,600696.SH,ST岩石,区域地产,1.0,-0.334,-0.725,186629.9214
2382,600298.SH,安琪酵母,食品,1.0,-0.973,-1.937,2168981.042
2388,600305.SH,恒顺醋业,食品,1.0,-1.002,-2.002,920682.295
2211,600100.SH,同方股份,电脑设备,1.0,-0.91,-1.813,2889801.4772
2198,600085.SH,同仁堂,中成药,1.0,-1.686,-3.346,3882632.3117
2186,600073.SH,上海梅林,食品,1.0,-1.335,-2.657,755809.9544
2410,600329.SH,中新药业,中成药,1.0,-1.096,-2.18,787122.4937
2417,600337.SH,美克家居,家居用品,1.0,-1.455,-2.895,753543.6823
2182,600069.SH,银鸽投资,造纸,1.0,-0.486,-0.984,490397.8209
