,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,600758.SH,600758,红阳能源,煤炭开采,6.0,10.0275,8.01,"煤炭, 电改, 风电, 股权转让, "
1,300573.SZ,300573,兴齐眼药,化学制药,6.0,10.0074,44.3,"医药, 化学药, 眼科, "
2,300768.SZ,300768,迪普科技,软件服务,6.0,10.0192,28.66,
3,002547.SZ,002547,春兴精工,通信设备,6.0,9.9844,14.1,"5G, 特斯拉, 华为产业链, 3D玻璃, "
4,300769.SZ,300769,德方纳米,化工原料,5.0,10.0011,96.9,
5,603068.SH,603068,博通集成,半导体,5.0,10.0051,43.21,
6,002215.SZ,002215,诺普信,农药化肥,4.0,9.9704,11.14,"农药, 回购, 供应链金融, "
7,603317.SH,603317,天味食品,食品,4.0,10.0,28.38,
8,002166.SZ,002166,莱茵生物,中成药,4.0,10.0173,12.74,"广西, "
9,300492.SZ,300492,山鼎设计,建筑施工,3.0,10.0143,38.34,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
10,603681.SH,603681,永冠新材,化工原料,2.0,9.9885,38.21,"次新股, "
11,300265.SZ,300265,通光线缆,电气设备,2.0,9.9735,12.46,"5G, 特高压, 光通信, 军工, 军民融合, "
12,300238.SZ,300238,冠昊生物,医疗保健,2.0,10.0277,19.86,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
13,300116.SZ,300116,坚瑞沃能,电气设备,2.0,10.0478,2.3,"锂电池, 新能源汽车, 低价股, "
14,300023.SZ,300023,宝德股份,专用机械,2.0,10.0,8.69,"油服, 页岩气, 工业自动化, 智能制造, 强势人气股, "
15,002631.SZ,002631,德尔未来,家居用品,2.0,9.99,11.01,"石墨烯, 家具家居, "
16,600213.SH,600213,亚星客车,汽车整车,2.0,10.0102,10.77,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
17,603363.SH,603363,傲农生物,饲料,2.0,9.9885,28.74,"饲料, 养猪, 动物保健, "
18,600175.SH,600175,美都能源,综合类,2.0,9.9125,3.77,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
19,300770.SZ,300770,新媒股份,影视音像,1.0,10.0038,57.29,
20,603609.SH,603609,禾丰牧业,饲料,1.0,10.0437,12.6,"饲料, 养猪, "
21,603533.SH,603533,掌阅科技,互联网,1.0,9.9954,23.99,"独角兽, "
22,600975.SH,600975,新五丰,农业综合,1.0,9.986,15.75,"养猪, 湖南国企改革, "
23,600868.SH,600868,梅雁吉祥,水力发电,1.0,10.041,5.37,"有色-锑, 有色金属, 粤港澳大湾区, 恒大概念股, 举牌股, 股权争夺, "
24,600353.SH,600353,旭光股份,元器件,1.0,10.0486,6.79,"业绩预增, "
25,600604.SH,600604,市北高新,园区开发,1.0,9.9794,15.98,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, "
26,300540.SZ,300540,深冷股份,专用机械,1.0,10.0208,26.46,"天然气, "
27,600759.SH,600759,洲际油气,石油开采,1.0,9.9119,4.99,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
28,601865.SH,601865,福莱特,玻璃,1.0,9.9921,13.98,"次新股, 光伏, "
29,600860.SH,600860,京城股份,专用机械,1.0,10.0546,10.07,"天然气, 燃料电池, "
30,600192.SH,600192,长城电工,电气设备,1.0,10.011,10.0,"燃料电池, 苹果期货, "
31,000070.SZ,000070,特发信息,通信设备,1.0,10.0,18.48,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
32,300157.SZ,300157,恒泰艾普,石油开采,1.0,9.965,6.29,"油服, 油气改革, 可燃冰, 回购, 页岩气, 天然气, 雄安-公共服务, 雄安新区, 大数据, 地热, 创投, "
33,002385.SZ,002385,大北农,饲料,1.0,10.0583,7.55,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
34,000610.SZ,000610,西安旅游,旅游服务,1.0,9.9817,18.07,"旅游, 特色小镇, 强势人气股, 创投, "
35,000702.SZ,000702,正虹科技,饲料,1.0,10.0145,7.58,"饲料, 业绩预增, 湖南国企改革, 农垦, "
36,000890.SZ,000890,法尔胜,钢加工,1.0,10.0551,7.99,"5G, 供应链金融, 京东金融概念股, 独角兽, "
37,000900.SZ,000900,现代投资,路桥,1.0,9.9237,5.76,"高速公路, 破净股, 湖南国企改革, 期货概念, 资产重组, "
38,002054.SZ,002054,德美化工,化工原料,1.0,9.9585,7.95,"半导体, 国资入股, 壳公司, 创投, "
39,002100.SZ,002100,天康生物,饲料,1.0,9.9903,11.34,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
40,002211.SZ,002211,宏达新材,橡胶,1.0,9.9518,6.85,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, "
41,002274.SZ,002274,华昌化工,农药化肥,1.0,10.0162,13.62,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
42,002548.SZ,002548,金新农,饲料,1.0,10.0279,15.8,"回购, 饲料, 养猪, 股权转让, 动物保健, "
43,000551.SZ,000551,创元科技,专用机械,1.0,10.0621,8.86,"大气治理, 北斗导航, 环保, "
44,002554.SZ,002554,惠博普,石油开采,1.0,10.0817,4.04,"油服, 油气改革, 可燃冰, 页岩气, 天然气, "
45,002567.SZ,002567,唐人神,饲料,1.0,10.0315,17.44,"回购, 饲料, 养猪, 股权转让, 国资入股, "
46,002600.SZ,002600,领益智造,元器件,1.0,9.9303,6.31,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
47,002726.SZ,002726,龙大肉食,食品,1.0,9.9624,11.7,"养猪, 股权转让, "
48,002758.SZ,002758,华通医药,医药商业,1.0,10.0316,13.93,"医药商业, 医药, 中药, "
49,002783.SZ,002783,凯龙股份,化工原料,1.0,10.0,23.1,"军工, 军民融合, 化肥, 燃料电池, 民爆, "
50,002828.SZ,002828,贝肯能源,石油开采,1.0,10.0145,15.16,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 新疆, "
51,300022.SZ,300022,吉峰科技,农用机械,1.0,10.0569,5.8,"乡村振兴, 农机, "
52,300138.SZ,300138,晨光生物,食品,1.0,10.0629,8.75,"海底捞概念股, 回购, 独角兽, "
