,ts_code,symbol,name,industry,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300836.SZ,300836,佰奥智能,专用机械,0.0,4.33,,0.0
1,300845.SZ,300845,捷安高科,软件服务,0.0,5.15,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
2,300839.SZ,300839,博汇股份,石油加工,0.0,5.54,"上海明汯投资管理有限公司--明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司--明汯价值成长1期私募投资基金
上海明汯投资管理有限公司--明汯多策略对冲1号基金
中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
中国国际金融香港资产管理有限公司--客户资金2",8.0
3,300838.SZ,300838,浙江力诺,电器仪表,0.0,5.75,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
4,300849.SZ,300849,锦盛新材,塑料,0.0,5.79,"上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
新湖期货-国金证券盈享1号单一资产管理计划-新湖期货致义单一资产管理计划
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司-明汯信仪中证500指数增强1号私募证券投资基金",5.0
5,300929.SZ,300929,华骐环保,环境保护,0.0,5.89,,0.0
6,300897.SZ,300897,山科智能,电器仪表,0.0,5.92,,0.0
7,300927.SZ,300927,江天化学,化工原料,0.0,5.92,,0.0
8,300930.SZ,300930,屹通新材,小金属,0.0,5.98,,0.0
9,300923.SZ,300923,研奥股份,运输设备,0.0,6.12,,0.0
10,300899.SZ,300899,上海凯鑫,环境保护,0.0,6.22,,0.0
11,300960.SZ,300960,通业科技,电气设备,0.0,6.7,,0.0
12,300808.SZ,300808,久量股份,家用电器,0.0,6.73,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
13,300943.SZ,300943,春晖智控,机械基件,0.0,6.79,,0.0
14,300907.SZ,300907,康平科技,电气设备,0.0,6.89,,0.0
15,300972.SZ,300972,万辰生物,种植业,0.0,6.9,,0.0
16,300886.SZ,300886,华业香料,化工原料,0.0,6.96,,0.0
17,300668.SZ,300668,杰恩设计,装修装饰,0.0,6.96,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
18,300807.SZ,300807,天迈科技,软件服务,0.0,7.02,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金",2.0
19,300865.SZ,300865,大宏立,专用机械,0.0,7.11,"中国国际金融香港资产管理有限公司-客户资金2
北京汐合精英投资有限公司-汐合量化1号私募证券投资基金",2.0
20,300913.SZ,300913,兆龙互连,电气设备,0.0,7.11,,0.0
21,300813.SZ,300813,泰林生物,医疗保健,0.0,7.15,,0.0
22,300851.SZ,300851,交大思诺,软件服务,0.0,7.16,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
23,300947.SZ,300947,德必集团,综合类,0.0,7.29,,0.0
24,300564.SZ,300564,筑博设计,建筑工程,0.0,7.36,"上海明汯投资管理有限公司-明汯多策略对冲1号基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金
上海明汯投资管理有限公司-明汯信仪中证500指数增强1号私募证券投资基金",5.0
25,300876.SZ,300876,蒙泰高新,化纤,0.0,7.5,,0.0
26,300902.SZ,300902,国安达,专用机械,0.0,7.56,,0.0
27,300881.SZ,300881,盛德鑫泰,钢加工,0.0,7.6,"中国国际金融香港资产管理有限公司-客户资金2
北京源晖投资管理有限公司-源晖量化一号私募证券投资基金",2.0
28,300971.SZ,300971,博亚精工,机械基件,0.0,7.62,,0.0
29,300906.SZ,300906,日月明,专用机械,0.0,7.63,,0.0
30,300781.SZ,300781,因赛集团,广告包装,0.0,7.69,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海景商投资管理有限公司-景商金牛6号私募证券投资基金
安徽科讯创业投资基金合伙企业(有限合伙)",3.0
31,300938.SZ,300938,信测标准,综合类,0.0,7.71,,0.0
32,300980.SZ,300980,祥源新材,塑料,0.0,7.74,,0.0
33,300749.SZ,300749,顶固集创,家居用品,0.0,7.77,,0.0
34,300988.SZ,300988,津荣天宇,机械基件,0.0,7.78,,0.0
35,300640.SZ,300640,德艺文创,文教休闲,0.0,7.87,,0.0
36,300989.SZ,300989,蕾奥规划,建筑工程,0.0,7.93,,0.0
37,300789.SZ,300789,唐源电气,软件服务,0.0,7.94,,0.0
38,300921.SZ,300921,南凌科技,互联网,0.0,7.99,,0.0
39,300978.SZ,300978,东箭科技,汽车配件,0.0,8.09,,0.0
40,300949.SZ,300949,奥雅设计,建筑工程,0.0,8.16,,0.0
41,300926.SZ,300926,博俊科技,汽车配件,0.0,8.19,,0.0
42,300882.SZ,300882,万胜智能,电器仪表,0.0,8.23,,0.0
43,300752.SZ,300752,隆利科技,元器件,0.0,8.29,,0.0
44,300969.SZ,300969,恒帅股份,汽车配件,0.0,8.33,,0.0
45,300967.SZ,300967,晓鸣股份,农业综合,0.0,8.33,,0.0
46,300936.SZ,300936,中英科技,元器件,0.0,8.37,,0.0
47,300885.SZ,300885,海昌新材,机械基件,0.0,8.55,,0.0
48,300977.SZ,300977,深圳瑞捷,建筑工程,0.0,8.55,,0.0
49,300553.SZ,300553,集智股份,电器仪表,0.0,8.59,,0.0
50,300975.SZ,300975,商络电子,元器件,0.0,8.63,,0.0
51,300840.SZ,300840,酷特智能,服饰,0.0,8.66,中国农业银行股份有限公司-大成产业升级股票型证券投资基金(LOF),1.0
52,300928.SZ,300928,华安鑫创,汽车服务,0.0,8.77,,0.0
53,300889.SZ,300889,爱克股份,电气设备,0.0,8.78,,0.0
54,300956.SZ,300956,英力股份,IT设备,0.0,8.8,,0.0
55,300893.SZ,300893,松原股份,汽车配件,0.0,8.81,"上海明汯投资管理有限公司-明汯中性添利13号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",2.0
56,300931.SZ,300931,通用电梯,运输设备,0.0,8.83,,0.0
57,300920.SZ,300920,润阳科技,塑料,0.0,8.87,,0.0
58,300539.SZ,300539,横河精密,塑料,0.0,8.87,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
59,300823.SZ,300823,建科机械,专用机械,0.0,8.9,"交通银行股份有限公司-同泰慧利混合型证券投资基金
无锡汇蠡投资管理中心(有限合伙)-汇蠡水晶稳健私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
大成基金-“农银私行·安心快线天天利”开放式人民币理财产品-大成基金定增主题168号单一资产管理计划
全国社保基金一一三组合",5.0
60,300780.SZ,300780,德恩精工,机械基件,0.0,9.02,上海昀沣资产管理有限公司-昀沣价值2号私募投资基金,1.0
61,300948.SZ,300948,冠中生态,环境保护,0.0,9.04,,0.0
62,300819.SZ,300819,聚杰微纤,化纤,0.0,9.04,"广东润行投资管理有限公司-润行新周期1号私募证券投资基金
广东润行投资管理有限公司-润行新周期8号私募证券投资基金",2.0
63,300817.SZ,300817,双飞股份,机械基件,0.0,9.1,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海天倚道投资管理有限公司-天倚道-幻方星辰3号私募基金",2.0
64,300843.SZ,300843,胜蓝股份,元器件,0.0,9.14,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
65,300818.SZ,300818,耐普矿机,专用机械,0.0,9.15,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
66,300880.SZ,300880,迦南智能,电器仪表,0.0,9.18,北京源晖投资管理有限公司-源晖量化一号私募证券投资基金,1.0
67,300895.SZ,300895,铜牛信息,软件服务,0.0,9.19,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,1.0
68,300970.SZ,300970,华绿生物,种植业,0.0,9.21,,0.0
69,300700.SZ,300700,岱勒新材,矿物制品,0.0,9.41,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海天倚道投资管理有限公司-天倚道-幻方星辰7号私募基金",2.0
70,300963.SZ,300963,中洲特材,小金属,0.0,9.46,,0.0
71,300922.SZ,300922,天秦装备,机械基件,0.0,9.49,,0.0
72,300354.SZ,300354,东华测试,电器仪表,0.0,9.54,"中央汇金资产管理有限责任公司
宁波乾弘久盛资产管理合伙企业(有限合伙)-乾弘锐享成长一期私募证券投资基金",2.0
73,300846.SZ,300846,首都在线,软件服务,0.0,9.54,"上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
华安财保资管-浦发银行-华安财保资管安源11号定向资产管理产品",2.0
74,300809.SZ,300809,华辰装备,机床制造,0.0,9.58,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
75,300868.SZ,300868,杰美特,通信设备,0.0,9.63,,0.0
