code,name,past_p_change,past_positive,pe,past_average_turnover
002694,顾地科技,-47.095,,293.34,0.17
300110,华仁药业,-43.054,,247.33,8.82
000820,神雾节能,-42.727,,21.05,7.55
300064,豫金刚石,-41.604,,44.58,5.853
002729,好利来,-41.556,,81.0,15.217
603988,中电电机,-38.972,,113.35,1.13
002012,凯恩股份,-37.467,,103.64,8.867
000506,中润资源,-37.076,,0.0,6.91
600112,*ST天成,-36.888,,111.88,4.253
002112,三变科技,-35.835,,0.0,2.793
601600,中国铝业,-34.427,,44.03,6.07
603088,宁波精达,-33.98,,72.72,0.98
000663,永安林业,-32.842,,127.66,5.303
002321,华英农业,-32.045,,69.28,1.413
002188,ST巴士,-31.537,,15.79,7.443
002297,博云新材,-31.397,,0.0,3.367
300566,激智科技,-31.084,,57.22,3.363
300156,神雾环保,-31.069,,14.99,6.853
002650,加加食品,-30.304,★,31.48,5.22
300225,金力泰,-30.068,,105.79,1.627
000806,银河生物,-28.998,,2149.65,3.833
600804,鹏博士,-28.687,,22.2,2.08
300312,邦讯技术,-28.604,,0.0,3.56
300167,迪威迅,-28.184,,0.0,3.64
002278,神开股份,-27.161,★,0.0,2.883
600212,江泉实业,-26.897,,107.71,3.537
002085,万丰奥威,-23.294,,28.7,0.593
002760,凤形股份,-22.865,★,0.0,17.017
300492,山鼎设计,-22.669,,345.09,7.097
002606,大连电瓷,-22.56,,44.13,8.207
002161,远 望 谷,-22.238,,0.0,3.0
603603,博天环境,-21.789,,57.27,7.06
002213,特 尔 佳,-21.648,,171.23,1.157
000662,天夏智慧,-21.485,,35.43,1.663
603499,翔港科技,-21.292,★,55.47,34.323
002684,猛狮科技,-21.216,★,63.58,2.167
600227,赤天化,-20.334,★,0.0,2.473
603637,镇海股份,-20.304,★,57.16,3.44
600401,*ST海润,-20.192,,0.0,0.46
002212,南洋股份,-20.101,,399.12,0.75
002508,老板电器,-20.035,,29.5,3.107
300266,兴源环境,-19.906,,35.1,0.303
603398,邦宝益智,-19.67,,46.08,2.02
603778,乾景园林,-19.641,,65.19,1.693
002168,深圳惠程,-19.635,,0.0,1.04
000693,*ST华泽,-19.41,,0.0,11.907
601360,三六零,-19.223,,5262.91,9.757
000979,中弘股份,-19.061,,120.25,0.623
300143,星普医科,-18.752,,39.58,1.627
603936,博敏电子,-18.654,,45.77,5.44
300238,冠昊生物,-18.587,,74.87,2.983
600241,时代万恒,-18.4,,102.68,0.527
603222,济民制药,-18.349,,72.99,3.18
300680,隆盛科技,-18.238,,99.49,6.17
002366,台海核电,-18.104,,26.28,2.213
603659,璞泰来,-17.971,,39.75,4.53
300278,华昌达,-17.891,,110.09,4.17
603699,纽威股份,-17.775,★,61.07,0.977
002517,恺英网络,-17.665,,21.73,4.533
603079,圣达生物,-17.652,,44.57,4.237
002661,克明面业,-17.301,,34.52,1.337
002437,誉衡药业,-17.297,,32.68,1.323
002113,天润数娱,-17.104,,329.37,2.117
600735,新华锦,-17.016,,52.9,2.37
603998,方盛制药,-16.47,,40.4,0.763
002596,海南瑞泽,-16.456,,79.2,2.797
002143,印纪传媒,-16.169,,38.33,0.55
002538,司尔特,-15.949,,30.94,2.653
300290,荣科科技,-15.76,,139.68,1.99
603011,合锻智能,-15.524,★,77.94,2.007
002427,ST尤夫,-15.353,,38.96,2.117
002122,天马股份,-15.266,,202.19,0.59
300317,珈伟股份,-14.95,,28.03,3.59
603538,美诺华,-14.898,,56.48,1.367
300444,双杰电气,-14.79,,135.38,2.237
300090,盛运环保,-14.677,,2458.88,2.033
600512,腾达建设,-14.656,,33.23,1.117
300042,朗科科技,-14.587,,66.63,0.74
601369,陕鼓动力,-14.543,,33.8,1.0
000606,神州易桥,-13.791,,0.0,0.773
002384,东山精密,-13.757,,56.33,1.817
002178,延华智能,-13.753,,0.0,5.087
600485,信威集团,-13.567,,74.33,2.637
002721,金一文化,-13.262,,106.89,6.503
000793,华闻传媒,-13.042,,29.15,1.833
002509,天广中茂,-13.002,,36.59,0.583
002662,京威股份,-12.997,,28.79,0.723
600148,长春一东,-12.819,,111.45,0.833
600069,银鸽投资,-12.41,,427.78,1.133
600682,南京新百,-12.408,,74.06,1.047
002413,雷科防务,-12.317,,92.83,1.613
300383,光环新网,-12.314,,44.01,1.623
600179,安通控股,-12.3,,50.66,0.75
002451,摩恩电气,-12.263,,214.14,0.317
000503,海虹控股,-12.195,★,0.0,2.623
002198,嘉应制药,-12.142,,288.56,0.28
000156,华数传媒,-12.101,,25.94,0.457
600664,哈药股份,-12.003,★,33.02,1.437
000564,供销大集,-11.967,,20.84,0.88
600829,人民同泰,-11.873,,25.57,0.54
300086,康芝药业,-11.834,,88.42,0.47
603843,正平股份,-11.761,,145.43,1.647
603058,永吉股份,-11.722,★,96.01,8.067
