,ts_code,symbol,name,industry,COL_HISTORY_BREAK,COL_LAST_CHG,COL_MIN_MAX_GAP,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,601857.SH,601857,中国石油,石油开采,True,3.0093,9.876543209876543,7205.53,"中石油集团-中信建投证券-17中油E2担保及信托财产专户
中石油集团-中信建投证券-17中油EB担保及信托财产专户
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",4.0
1,000825.SZ,000825,太钢不锈,特种钢,True,5.2632,15.27377521613833,227.85,"香港中央结算有限公司(陆股通)
上海一村投资管理有限公司-一村启明星1号私募证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",4.0
2,600674.SH,600674,川投能源,水力发电,True,-3.2947,15.5349794238683,478.07,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
3,600282.SH,600282,南钢股份,普钢,True,3.8806,16.778523489932894,154.79,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
基本养老保险基金一零零三组合
财通基金-广发证券-四川三新创业投资有限责任公司",4.0
4,600010.SH,600010,包钢股份,普钢,True,10.0,16.814159292035423,418.14,"香港中央结算有限公司(陆股通)
华安资产管理(香港)有限公司-客户资金专户1号(交易所)
上海嘉恳资产管理有限公司-嘉恳水滴3号私募投资基金
博时基金-农业银行-博时中证金融资产管理计划",4.0
5,600210.SH,600210,紫江企业,广告包装,True,-3.2653,17.50599520383693,71.89,香港中央结算有限公司(陆股通),1.0
6,600025.SH,600025,华能水电,水力发电,True,0.2141,17.587939698492463,842.4,"香港中央结算有限公司(陆股通)
摩根士丹利投资管理公司-摩根士丹利中国A股基金
上海宁泉资产管理有限公司-宁泉致远39号私募证券投资基金",3.0
7,600000.SH,600000,浦发银行,银行,True,-2.3701,18.594594594594604,3143.61,"上海上国投资产管理有限公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",3.0
8,600688.SH,600688,上海石化,石油加工,True,5.3763,19.512195121951216,287.29,"大成基金-农业银行-大成中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
香港中央结算有限公司(陆股通)
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划",12.0
9,600028.SH,600028,中国石化,石油加工,True,6.4073,21.708632152018016,4443.44,"香港中央结算有限公司(陆股通)
中国工商银行-上证50交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
10,601298.SH,601298,青岛港,港口,True,-0.4348,22.123893805309724,128.46,香港中央结算有限公司(陆股通),1.0
11,600583.SH,600583,海油工程,石油开采,True,0.994,22.409638554216848,224.6,"大成基金-农业银行-大成中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
香港中央结算有限公司(陆股通)
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划",12.0
12,002860.SZ,002860,星帅尔,电气设备,True,7.4,23.35375191424196,21.68,"兴证全球基金-兴业银行-兴全兴盛集合资产管理计划
兴业银行股份有限公司-兴全汇享一年持有期混合型证券投资基金",2.0
13,601577.SH,601577,长沙银行,银行,True,-4.6918,23.522727272727263,103.12,湖南发展资产管理集团有限公司,1.0
14,600058.SH,600058,五矿发展,商贸代理,True,6.4384,23.529411764705866,83.29,"华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
广发基金-农业银行-广发中证金融资产管理计划
华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划",5.0
