,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,300111.SZ,300111,向日葵,半导体,2.56,True,
1,000571.SZ,000571,*ST大洲,综合类,2.8,True,富立财富投资管理有限公司-富立澜沧江十四号私募投资基金
2,002496.SZ,002496,*ST辉丰,农药化肥,2.87,True,
3,601588.SH,601588,北辰实业,区域地产,2.93,True,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
4,002305.SZ,002305,南国置业,区域地产,2.99,True,"东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划
东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划"
5,002133.SZ,002133,广宇集团,全国地产,3.14,True,
6,600481.SH,600481,双良节能,环境保护,3.16,True,中央汇金资产管理有限责任公司
7,300459.SZ,300459,金科文化,互联网,3.28,True,"中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金"
8,002652.SZ,002652,扬子新材,其他建材,3.56,True,
9,002681.SZ,002681,*ST奋达,家用电器,3.57,True,"金元顺安基金-浙商银行-华润信托-华润信托·增利42号单一资金信托
建信基金-杭州银行-华润深国投信托-华润信托·增利33号单一资金信托
中央汇金资产管理有限责任公司
广州市玄元投资管理有限公司-玄元六度元宝5号私募投资基金
香港中央结算有限公司(陆股通)"
10,601018.SH,601018,宁波港,港口,3.59,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划"
11,600684.SH,600684,珠江实业,全国地产,3.69,True,香港中央结算有限公司(陆股通)
12,000563.SZ,000563,陕国投A,多元金融,3.72,True,"华宝信托有限责任公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
13,603993.SH,603993,洛阳钼业,小金属,3.75,True,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
全国社保基金一零八组合"
14,600025.SH,600025,华能水电,水力发电,3.78,True,"香港中央结算有限公司(陆股通)
摩根士丹利投资管理公司-摩根士丹利中国A股基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金"
15,600586.SH,600586,金晶科技,玻璃,3.83,True,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金
香港中央结算有限公司(陆股通)"
