,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,601777.SH,601777,力帆股份,摩托车,5.0,9.9515,9.06,"阿里巴巴概念股, 新能源整车, 汽车整车, 破净股, 无人驾驶, 锂电池, 新能源汽车, 共享经济, 独角兽, "
1,600758.SH,600758,红阳能源,煤炭开采,5.0,9.9698,7.28,"煤炭, 电改, 风电, 股权转让, "
2,002547.SZ,002547,春兴精工,通信设备,5.0,10.0429,12.82,"5G, 特斯拉, 华为产业链, 3D玻璃, "
3,300768.SZ,300768,迪普科技,软件服务,5.0,10.0084,26.05,
4,300573.SZ,300573,兴齐眼药,化学制药,5.0,9.9973,40.27,"医药, 化学药, 眼科, "
5,603068.SH,603068,博通集成,半导体,4.0,9.9972,39.28,
6,600963.SH,600963,岳阳林纸,造纸,4.0,9.9853,7.49,"人民币升值受益, 央企改革, 回购, 破净股, 雄安-园林环保, 特色小镇, 定增破发, 雄安新区, 造纸, "
7,002057.SZ,002057,中钢天源,元器件,4.0,10.0,11.66,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
8,300769.SZ,300769,德方纳米,化工原料,4.0,10.0025,88.09,
9,002215.SZ,002215,诺普信,农药化肥,3.0,9.9891,10.13,"农药, 回购, 供应链金融, "
10,603317.SH,603317,天味食品,食品,3.0,10.0213,25.8,
11,002166.SZ,002166,莱茵生物,中成药,3.0,9.9715,11.58,"广西, "
12,300492.SZ,300492,山鼎设计,建筑施工,2.0,10.0063,34.85,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
13,300427.SZ,300427,红相股份,电气设备,2.0,9.9767,18.85,"电改, 业绩预增, 军工, 军民融合, 股权转让, "
14,300471.SZ,300471,厚普股份,专用机械,2.0,10.0119,18.46,"油服, 油气改革, 页岩气, 天然气, 燃料电池, 股权转让, 强势人气股, "
15,000038.SZ,000038,深大通,广告包装,2.0,9.9729,16.21,"高质押率, 国资入股, "
16,300528.SZ,300528,幸福蓝海,影视音像,2.0,9.9598,10.93,"影视, "
17,002668.SZ,002668,奥马电器,家用电器,2.0,10.0,7.81,"供应链金融, 白色家电, 家电, 互联网金融, 区块链, 股权转让, 国资入股, "
18,600078.SH,600078,澄星股份,化工原料,2.0,9.98,5.51,"水电, 磷化工, "
19,000159.SZ,000159,国际实业,石油贸易,2.0,9.9681,13.79,"油气改革, 一带一路, 回购, 石油化工, 新疆, 壳公司, 强势人气股, "
20,300325.SZ,300325,德威新材,塑料,2.0,10.0629,7.0,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
21,000680.SZ,000680,山推股份,工程机械,2.0,10.0209,5.27,"一带一路, 机械, 山东国企改革, "
22,000836.SZ,000836,富通鑫茂,通信设备,2.0,10.0,5.72,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
23,002665.SZ,002665,首航节能,电气设备,1.0,10.0,5.94,"回购, 储能, 定增破发, 雄安-公共服务, 雄安新区, 股权转让, 资产重组, "
24,601001.SH,601001,大同煤业,煤炭开采,1.0,10.0386,5.7,"煤炭, 山西国企改革, "
25,002249.SZ,002249,大洋电机,电气设备,1.0,10.0629,7.0,"北汽新能源, 燃料电池, 新能源汽车, 共享经济, "
26,002210.SZ,002210,飞马国际,仓储物流,1.0,9.9455,8.07,"粤港澳大湾区, 高质押率, 快递物流, 国资入股, 资产重组, "
27,600136.SH,600136,当代明诚,影视音像,1.0,10.0,14.74,"社保重仓, 高质押率, 足球, 体育产业, 影视, "
28,600175.SH,600175,美都能源,综合类,1.0,9.9359,3.43,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
29,600213.SH,600213,亚星客车,汽车整车,1.0,10.0,9.79,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
30,600218.SH,600218,全柴动力,农用机械,1.0,10.0,22.66,"燃料电池, 强势人气股, "
31,600503.SH,600503,华丽家族,区域地产,1.0,10.0823,5.35,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
32,000996.SZ,000996,中国中期,汽车服务,1.0,9.9768,18.96,"汽车销售, 期货概念, "
33,600773.SH,600773,西藏城投,区域地产,1.0,10.0621,8.86,"定增破发, 房地产, 锂电池, 上海国企改革, 新能源汽车, 石墨烯, 西藏, "
