,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,000509.SZ,000509,*ST华塑,医疗保健,True,1.57,
1,000806.SZ,000806,*ST银河,生物制药,True,1.7,
2,002219.SZ,002219,*ST恒康,中成药,True,1.84,"四川产业振兴发展投资基金有限公司
长安基金-工商银行-华鑫信托-鑫康财富3号单一资金信托
新余恒道资产管理中心(有限合伙)
盛世金泉(天津)股权投资基金管理有限公司
上海朴沃资产管理有限公司"
3,002102.SZ,002102,ST冠福,化学制药,True,1.84,
4,300247.SZ,300247,融捷健康,医疗保健,True,2.45,安徽高新毅达皖江产业发展创业投资基金(有限合伙)
5,600518.SH,600518,ST康美,中成药,True,2.55,"五矿国际信托有限公司-五矿信托-优质精选上市公司投资单一资金信托
华夏基金-农业银行-华夏中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划"
6,600227.SH,600227,圣济堂,化学制药,True,2.69,"中国长城资产管理股份有限公司
云南国际信托有限公司-云南信托·大西部丝绸之路2号集合资金信托计划
东海基金-浦发银行-云南国际信托-云南信托锦瑟年华2号集合资金信托计划"
7,300108.SZ,300108,吉药控股,中成药,True,2.71,"吉林省现代农业和新兴产业投资基金有限公司
汇安基金-浦发银行-江海证券有限公司
上海国药股权投资基金合伙企业(有限合伙)"
8,600530.SH,600530,*ST交昂,医疗保健,True,2.81,
9,600090.SH,600090,*ST济堂,医药商业,True,2.9,"北京东方国润投资基金管理中心(有限合伙)
北京京粮鑫牛润瀛股权投资基金(有限合伙)
广州汇垠健康产业投资基金企业(有限合伙)"
10,002162.SZ,002162,悦心健康,医疗保健,True,2.99,中央汇金资产管理有限责任公司
11,600664.SH,600664,哈药股份,化学制药,True,3.08,"中国证券投资者保护基金有限责任公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
12,600252.SH,600252,中恒集团,中成药,True,3.21,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
13,002437.SZ,002437,誉衡药业,化学制药,True,3.23,
14,600767.SH,600767,ST运盛,医疗保健,True,3.48,四川蓝润资产管理有限公司
15,000150.SZ,000150,宜华健康,医疗保健,True,3.56,广发证券资管-浦发银行-广发原驰·宜华健康1号集合资产管理计划
16,002435.SZ,002435,长江健康,化学制药,True,3.69,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划"
17,600781.SH,600781,*ST辅仁,中成药,True,3.92,
18,300267.SZ,300267,尔康制药,化学制药,True,3.97,
19,000908.SZ,000908,景峰医药,化学制药,True,4.0,"中国长城资产管理股份有限公司
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
平江县国有资产管理局"
20,000516.SZ,000516,国际医学,医疗保健,True,4.05,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划"
21,300110.SZ,300110,华仁药业,化学制药,True,4.1,"鹏华资产-浦发银行-鹏华资产方圆5号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划"
22,000518.SZ,000518,四环生物,生物制药,True,4.16,
23,000078.SZ,000078,海王生物,医药商业,True,4.19,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
交通银行股份有限公司-国联安中证医药100指数证券投资基金"
24,002550.SZ,002550,千红制药,生物制药,True,4.32,香港中央结算有限公司(陆股通)
25,600713.SH,600713,南京医药,医药商业,True,4.35,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
26,002433.SZ,002433,太安堂,中成药,True,4.38,"中央汇金资产管理有限责任公司
中国长城资产管理股份有限公司
陕西省国际信托股份有限公司-陕国投·招商昆吾一期结构化证券投资集合资金信托计划
宁波梅山保税港区凌顶投资管理有限公司-凌顶五号私募证券投资基金"
27,600896.SH,600896,览海医疗,医疗保健,True,4.38,
28,002118.SZ,002118,紫鑫药业,中成药,True,4.44,上海红樱资产管理有限公司
29,300239.SZ,300239,东宝生物,生物制药,True,4.47,"中科先行(北京)资产管理有限公司
中央汇金资产管理有限责任公司
内蒙古金融资产管理有限公司
中国华融资产管理股份有限公司"
30,002390.SZ,002390,信邦制药,中成药,True,4.56,
31,002370.SZ,002370,亚太药业,化学制药,True,4.76,上海华富利得资产-民生银行-富鼎6号专项资产管理计划
32,000766.SZ,000766,通化金马,化学制药,True,4.82,
33,000790.SZ,000790,华神科技,中成药,True,4.85,
34,300086.SZ,300086,康芝药业,化学制药,True,4.92,云南国际信托有限公司-聚鑫2026号集合资金信托计划
35,002198.SZ,002198,嘉应制药,中成药,True,5.03,深圳市老虎汇资产管理有限公司
36,000950.SZ,000950,重药控股,医药商业,True,5.04,"重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托
重庆渝富资本股权投资基金管理有限公司-重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙)"
