,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,concept
0,603508.SH,603508,思维列控,软件服务,46.12,46.13,0.02,46.12,45.83,0.63,"回购, 无人机, 高铁轨交, 资产重组, "
1,000858.SZ,000858,五粮液,白酒,102.22,102.27,0.05,102.22,101.2,1.01,"高价股, 白马股, MSCI, 大消费, 白酒, "
2,603010.SH,603010,万盛股份,化工原料,17.01,17.02,0.06,17.01,17.0,0.06,"国产芯片, 资产重组, "
3,601888.SH,601888,中国国旅,旅游服务,77.15,77.3,0.19,77.15,74.36,3.75,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, "
4,603718.SH,603718,海利生物,生物制药,13.96,13.99,0.21,13.96,13.69,1.97,"医药, 疫苗, 基因测序, 医疗器械, 举牌股, 动物保健, 体外诊断, "
5,300561.SZ,300561,汇金科技,软件服务,17.48,17.52,0.23,17.48,16.4,6.59,"物联网, 互联网金融, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, "
6,000893.SZ,000893,*ST东凌,食品,8.33,8.35,0.24,8.33,7.59,9.75,"化肥, 股权转让, ST股, "
7,000922.SZ,000922,佳电股份,电气设备,11.75,11.78,0.26,11.75,11.22,4.72,"电改, 央企改革, 核电, 业绩预增, 工业自动化, 智能制造, ST摘帽, "
8,300299.SZ,300299,富春股份,通信设备,6.98,7.0,0.29,6.98,6.48,7.72,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, "
9,600691.SH,600691,阳煤化工,农药化肥,3.27,3.28,0.31,3.27,3.24,0.93,"甲醇, 煤化工, 化肥, 山西国企改革, "
10,603505.SH,603505,金石资源,矿物制品,19.35,19.42,0.36,19.35,18.75,3.2,"业绩预增, "
11,601628.SH,601628,中国人寿,保险,29.96,30.08,0.4,29.96,29.49,1.59,"保险, MSCI, 中字头, 金改, 混改, 滴滴出行概念股, 独角兽, 蚂蚁金服概念股, "
12,603096.SH,603096,新经典,出版业,60.03,60.3,0.45,60.03,59.98,0.08,
13,603380.SH,603380,易德龙,元器件,17.97,18.05,0.45,17.97,17.93,0.22,"独角兽, "
14,002124.SZ,002124,天邦股份,饲料,20.87,20.97,0.48,20.87,19.78,5.51,"饲料, 养猪, 动物保健, 强势人气股, "
15,300483.SZ,300483,沃施股份,专用机械,37.66,37.84,0.48,37.66,36.66,2.73,"天然气, 资产重组, "
16,000637.SZ,000637,茂化实华,石油加工,6.1,6.13,0.49,6.1,5.7,7.02,"油气改革, 石油化工, 燃料电池, "
17,300493.SZ,300493,润欣科技,通信设备,11.45,11.51,0.52,11.45,11.37,0.7,"5G, 移动支付, 高送转, 半导体, 智慧城市, 共享经济, 智慧安防, "
18,603811.SH,603811,诚意药业,化学制药,20.68,20.8,0.58,20.68,20.34,1.67,"医药, 化学药, "
19,300338.SZ,300338,开元股份,文教休闲,11.43,11.5,0.61,11.43,11.17,2.33,"教育, 社保重仓, 智能仪表, "
20,000566.SZ,000566,海南海药,化学制药,8.07,8.12,0.62,8.07,7.97,1.25,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
21,002870.SZ,002870,香山股份,电器仪表,23.74,23.9,0.67,23.74,23.66,0.34,"OLED, 物联网, 强势人气股, "
22,002100.SZ,002100,天康生物,饲料,10.67,10.75,0.75,10.67,10.13,5.33,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
23,002057.SZ,002057,中钢天源,元器件,10.34,10.42,0.77,10.34,9.24,11.9,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
24,002808.SZ,002808,恒久科技,元器件,18.78,18.93,0.8,18.78,17.78,5.62,"燃料电池, 3D打印, 智能制造, "
25,300593.SZ,300593,新雷能,电气设备,20.8,20.97,0.82,20.8,20.3,2.46,"5G, 高送转-预期, 军工, 军民融合, "
26,600009.SH,600009,上海机场,机场,65.54,66.08,0.82,65.54,63.69,2.9,"机场, 白马股, MSCI, 大消费, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, "
27,002385.SZ,002385,大北农,饲料,6.99,7.05,0.86,6.99,6.38,9.56,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
