,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,002004.SZ,002004,华邦健康,化学制药,True,5.26,True,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
1,600594.SH,600594,益佰制药,中成药,True,6.62,True,False,"中央汇金资产管理有限责任公司
金元顺安基金-海通证券-渤海国际信托-渤海信托·恒利丰123号·益佰艾康一号集合资金信托计划"
2,300289.SZ,300289,利德曼,生物制药,True,6.81,True,False,"成都力鼎银科股权投资基金中心(有限合伙)
上海赛领并购投资基金合伙企业(有限合伙)
湖南蠡源晟投资管理有限公司-蠡源晟价值平衡二号私募基金"
3,300412.SZ,300412,迦南科技,医疗保健,True,8.36,True,True,"北信瑞丰基金-平安银行-北信瑞丰基金浙商汇融5号资产管理计划
中央汇金资产管理有限责任公司"
4,600624.SH,600624,复旦复华,化学制药,True,9.94,True,True,
5,002524.SZ,002524,光正集团,医疗保健,True,10.71,True,True,稷定资产管理(嘉兴)有限公司-稷定健康私募证券投资基金
6,000931.SZ,000931,中关村,生物制药,True,12.36,True,True,"北京天鑫财富投资管理有限公司-天鑫医药价值成长1号私募证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
7,300314.SZ,300314,戴维医疗,医疗保健,True,12.75,True,False,中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金
8,002044.SZ,002044,美年健康,医疗保健,True,13.45,True,True,"上海天亿资产管理有限公司
云南国际信托有限公司-云南信托-云起3号集合资金信托计划
香港中央结算有限公司(陆股通)
全国社保基金一一七组合
上海国盛资本管理有限公司-上海国盛海通股权投资基金合伙企业(有限合伙)"
9,600129.SH,600129,太极集团,中成药,True,14.06,True,True,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
财通基金-招商银行-深圳市招商国协壹号股权投资基金管理有限公司
重庆市供销合作发展股权投资基金有限公司"
10,300171.SZ,300171,东富龙,医疗保健,True,15.54,True,True,汇添富基金管理股份有限公司-社保基金一五零二组合
11,603880.SH,603880,南卫股份,医疗保健,True,15.67,True,True,
12,300143.SZ,300143,盈康生命,医疗保健,True,16.57,True,True,"浙商金汇信托股份有限公司-浙金·天府1号证券投资集合资金信托计划
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合"
13,300009.SZ,300009,安科生物,生物制药,True,16.63,True,False,"中国工商银行股份有限公司-博时精选混合型证券投资基金
上海固信资产管理有限公司-长三角(上海)产业创新股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)"
