,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_CURRENT_PRICE,circ_mv
2243,600131.SH,岷江水电,水力发电,16.12,22.76,927831.727
3041,601519.SH,大智慧,软件服务,13.74,11.63,2311695.1
3134,603000.SH,人民网,互联网,12.2,30.84,3409951.2167
3073,601700.SH,风范股份,电气设备,11.63,8.86,1004043.552
2583,600552.SH,凯盛科技,玻璃,10.85,5.83,445344.3737
817,002356.SZ,赫美集团,其他商业,10.62,13.78,661769.896
1898,300512.SZ,中亚股份,专用机械,10.55,16.0,124519.8736
1206,002750.SZ,龙津药业,中成药,9.91,18.41,731407.8082
3004,601208.SH,东材科技,化工原料,9.73,5.27,330218.727
479,002017.SZ,东信和平,通信设备,9.69,19.48,869754.8916
355,000859.SZ,国风塑业,塑料,9.34,7.12,526390.4858
1317,002870.SZ,香山股份,电器仪表,8.97,23.41,93920.92
2967,601066.SH,中信建投,证券,8.82,27.75,1110000.0
919,002458.SZ,益生股份,农业综合,8.76,48.28,1008150.5593
3022,601319.SH,中国人保,保险,8.71,10.09,1020341.16
1669,300281.SZ,金明精机,专用机械,8.68,6.79,177983.078
2630,600604.SH,市北高新,园区开发,8.65,20.26,2703058.2184
18,000023.SZ,深天地A,其他建材,8.63,16.07,222981.2777
2786,600776.SH,东方通信,通信设备,8.56,30.96,2959776.1981
637,002175.SZ,东方网络,电器仪表,8.4,8.49,508901.4103
3056,601608.SH,中信重工,专用机械,8.25,5.5,2386680.6112
1757,300370.SZ,安控科技,电器仪表,8.1,6.97,497630.005
1474,300085.SZ,银之杰,软件服务,8.1,19.02,786689.2765
1060,002600.SZ,领益智造,元器件,7.88,6.25,929931.8888
619,002157.SZ,正邦科技,饲料,7.87,17.04,3694956.8206
696,002234.SZ,民和股份,农业综合,7.44,35.52,678979.928
1939,300555.SZ,路通视信,通信设备,7.43,11.49,106874.3637
1239,002786.SZ,银宝山新,专用机械,7.42,10.19,388483.56
3229,603165.SH,荣晟环保,造纸,7.29,20.44,90655.488
3092,601860.SH,紫金银行,银行,7.19,9.37,343025.289
124,000531.SZ,穗恒运A,火力发电,7.18,7.39,506274.6506
2625,600599.SH,熊猫金控,多元金融,7.17,13.4,222440.0
705,002243.SZ,通产丽星,塑料,7.04,21.24,775151.5825
325,000810.SZ,创维数字,家用电器,7.02,10.57,1025752.4999
1783,300397.SZ,天和防务,通信设备,6.95,22.59,350297.539
128,000536.SZ,华映科技,元器件,6.9,3.59,719200.3391
1993,300612.SZ,宣亚国际,广告包装,6.88,24.7,111983.4892
151,000563.SZ,陕国投A,多元金融,6.86,5.15,2041466.6157
1666,300278.SZ,华昌达,专用机械,6.85,9.43,252780.6234
2821,600816.SH,安信信托,多元金融,6.85,7.53,3518399.3877
884,002423.SZ,中原特钢,特种钢,6.81,11.85,596039.0937
2088,300710.SZ,万隆光电,通信设备,6.59,32.39,108584.236
1969,300587.SZ,天铁股份,橡胶,6.58,22.93,96681.7677
1027,002567.SZ,唐人神,饲料,6.57,14.06,1064629.0222
2635,600610.SH,*ST毅达,建筑施工,6.57,3.73,140089.3221
272,000727.SZ,华东科技,元器件,6.52,3.08,902641.7268
3329,603383.SH,顶点软件,软件服务,6.44,77.65,450502.9368
2132,300759.SZ,康龙化成,化学制药,6.35,39.59,259829.17
2018,300638.SZ,广和通,通信设备,6.27,57.15,228028.5
2924,600975.SH,新五丰,农业综合,6.27,10.0,652675.584
1843,300457.SZ,赢合科技,专用机械,6.21,29.13,552737.7825
2499,600446.SH,金证股份,软件服务,6.16,22.3,1902659.3793
1407,300017.SZ,网宿科技,电信运营,6.13,14.02,2696185.6126
2570,600536.SH,中国软件,软件服务,6.06,48.82,2414455.5017
586,002124.SZ,天邦股份,饲料,5.97,18.22,1928571.3818
2246,600135.SH,乐凯胶片,化工原料,5.87,8.26,308091.1731
2843,600839.SH,四川长虹,家用电器,5.86,3.75,1730358.9563
2021,300641.SZ,正丹股份,化工原料,5.83,6.0,134028.0
3104,601890.SH,亚星锚链,船舶,5.76,6.71,643757.4
2202,600086.SH,东方金钰,服饰,5.76,6.5,686949.2604
1923,300538.SZ,同益股份,批发业,5.68,36.5,87587.3966
30,000037.SZ,深南电A,火力发电,5.67,10.73,363633.2749
1398,300008.SZ,天海防务,船舶,5.66,4.33,260843.6556
1599,300211.SZ,亿通科技,通信设备,5.64,6.96,129250.0397
1413,300023.SZ,宝德股份,专用机械,5.62,7.58,109461.9038
1025,002565.SZ,顺灏股份,造纸,5.55,13.83,947129.5198
2671,600651.SH,飞乐音响,电器仪表,5.55,6.08,599013.7612
654,002192.SZ,融捷股份,专用机械,5.54,30.11,713582.1412
2638,600613.SH,神奇制药,中成药,5.53,10.43,499930.7371
1878,300492.SZ,山鼎设计,建筑施工,5.44,25.67,75334.7116
2536,600498.SH,烽火通信,通信设备,5.38,31.8,3505551.2026
3346,603477.SH,振静股份,纺织,5.38,8.71,98858.5
1564,300175.SZ,朗源股份,食品,5.38,7.37,340206.7764
436,000971.SZ,高升控股,互联网,5.36,5.65,334239.9016
1149,002689.SZ,远大智能,运输设备,5.3,5.4,562043.0749
1433,300043.SZ,星辉娱乐,文教休闲,5.28,7.3,658974.9989
1519,300130.SZ,新国都,电脑设备,5.26,16.2,542664.7358
1128,002668.SZ,奥马电器,家用电器,5.23,6.72,439690.5052
1710,300322.SZ,硕贝德,通信设备,5.21,14.27,524442.3296
2639,600614.SH,鹏起科技,综合类,5.17,6.19,935610.8603
2415,600331.SH,宏达股份,铅锌,5.16,3.56,723392.0
375,000890.SZ,法尔胜,钢加工,5.14,6.7,254347.9808
2699,600684.SH,珠江实业,全国地产,5.14,5.03,429290.7437
3077,601766.SH,中国中车,运输设备,5.1,9.3,21313453.8325
3163,603032.SH,德新交运,公路,5.09,35.96,281955.168
1514,300125.SZ,易世达,电气设备,5.05,15.92,419933.4489
1667,300279.SZ,和晶科技,元器件,5.01,6.87,214733.3985
1528,300139.SZ,晓程科技,元器件,5.01,14.39,305658.8548
3467,603729.SH,龙韵股份,广告包装,5.01,29.84,278520.592
986,002526.SZ,山东矿机,工程机械,5.01,3.02,490735.7242
2208,600094.SH,大名城,区域地产,5.0,6.43,1463856.9906
328,000813.SZ,德展健康,化学制药,4.95,11.44,1236172.5239
2973,601099.SH,太平洋,证券,4.94,4.07,2636878.2626
2700,600685.SH,中船防务,船舶,4.93,16.28,1337296.4747
226,000670.SZ,盈方微,元器件,4.88,6.89,413135.7933
2664,600643.SH,爱建集团,多元金融,4.86,11.82,1695057.2368
2450,600375.SH,华菱星马,汽车整车,4.82,7.07,392908.6021
2317,600218.SH,全柴动力,农用机械,4.79,12.67,467212.585
898,002437.SZ,誉衡药业,化学制药,4.75,6.07,1315415.4325
2203,600088.SH,中视传媒,影视音像,4.75,16.3,648261.432
1749,300362.SZ,天翔环境,环境保护,4.72,5.98,187682.6403
2710,600695.SH,绿庭投资,多元金融,4.7,6.61,242234.7875
2600,600572.SH,康恩贝,中成药,4.69,9.9,2633972.5635
1744,300356.SZ,光一科技,电气设备,4.65,11.95,440682.865
3320,603363.SH,傲农生物,饲料,4.61,14.45,265869.8041
1832,300446.SZ,乐凯新材,化工原料,4.61,27.49,325457.9778
1468,300079.SZ,数码科技,通信设备,4.6,6.96,841526.0943
1449,300059.SZ,东方财富,证券,4.59,19.43,8070278.6152
3020,601311.SH,骆驼股份,电气设备,4.52,15.91,1349800.8553
2070,300691.SZ,联合光电,元器件,4.51,33.28,199153.6435
1309,002862.SZ,实丰文化,文教休闲,4.5,32.1,100023.6
938,002477.SZ,雏鹰农牧,农业综合,4.46,3.07,604997.7168
1190,002733.SZ,雄韬股份,电气设备,4.44,24.83,812532.6939
2864,600864.SH,哈投股份,证券,4.43,7.85,1238979.1221
1765,300379.SZ,东方通,软件服务,4.42,24.69,474691.256
557,002095.SZ,生意宝,互联网,4.42,29.78,749378.235
911,002450.SZ,ST康得新,化工原料,4.41,6.7,2166623.4223
53,000070.SZ,特发信息,通信设备,4.4,16.29,977899.4986
358,000862.SZ,银星能源,新型电力,4.39,7.34,367993.0213
794,002333.SZ,罗普斯金,铝,4.39,7.56,366637.1083
2338,600240.SH,华业资本,全国地产,4.39,3.34,475700.7024
949,002488.SZ,金固股份,汽车配件,4.38,12.13,932564.5152
3050,601598.SH,中国外运,仓储物流,4.37,6.34,856938.0045
2768,600756.SH,浪潮软件,软件服务,4.33,28.31,917523.5697
539,002077.SZ,大港股份,区域地产,4.32,7.73,411016.4116
161,000576.SZ,广东甘化,造纸,4.32,9.39,389837.9894
1752,300365.SZ,恒华科技,软件服务,4.3,29.59,646764.94
1755,300368.SZ,汇金股份,专用机械,4.3,8.9,413778.169
1517,300128.SZ,锦富技术,元器件,4.26,5.26,560566.9747
1035,002575.SZ,群兴玩具,文教休闲,4.25,9.71,571647.12
1559,300170.SZ,汉得信息,软件服务,4.25,18.71,1309832.6352
2599,600571.SH,信雅达,软件服务,4.25,10.88,469048.8855
832,002371.SZ,北方华创,专用机械,4.23,72.0,2587220.8632
3070,601688.SH,华泰证券,证券,4.23,22.15,12057846.7108
40,000050.SZ,深天马A,元器件,4.23,16.88,3071919.644
907,002446.SZ,盛路通信,通信设备,4.22,9.98,539488.7313
2546,600509.SH,天富能源,火力发电,4.21,4.8,434734.3613
2978,601108.SH,财通证券,证券,4.2,13.06,3143140.5957
714,002252.SZ,上海莱士,生物制药,4.19,10.33,5136684.5393
3278,603289.SH,泰瑞机器,专用机械,4.17,11.95,162249.4305
1924,300539.SZ,横河模具,塑料,4.16,15.61,95008.8851
3127,601990.SH,南京证券,证券,4.16,13.86,381177.72
1716,300328.SZ,宜安科技,铝,4.15,9.91,406589.8584
2207,600093.SH,易见股份,仓储物流,4.14,13.95,1565814.2625
85,000416.SZ,民生控股,多元金融,4.12,5.29,281238.1408
478,002016.SZ,世荣兆业,区域地产,4.11,10.42,715693.1485
1423,300033.SZ,同花顺,软件服务,4.11,88.0,2325860.7152
348,000839.SZ,中信国安,综合类,4.1,6.77,2653167.8758
2063,300684.SZ,中石科技,化工原料,4.09,39.47,242053.7615
270,000725.SZ,京东方A,元器件,4.07,3.93,13306881.0167
222,000666.SZ,经纬纺机,纺织机械,4.04,13.86,406817.0097
322,000806.SZ,银河生物,生物制药,4.04,6.69,467261.9134
881,002420.SZ,毅昌股份,塑料,4.04,4.47,175097.6966
593,002131.SZ,利欧股份,互联网,4.03,2.51,1000709.2715
400,000922.SZ,佳电股份,电气设备,4.03,9.08,440655.0505
980,002519.SZ,银河电子,通信设备,4.0,5.29,439888.81
2684,600666.SH,奥瑞德,元器件,3.98,4.1,329498.7681
580,002118.SZ,紫鑫药业,中成药,3.97,8.13,833513.1022
2349,600255.SH,梦舟股份,铜,3.96,2.67,472481.4792
3190,603081.SH,大丰实业,专用机械,3.96,17.9,139129.9875
1130,002670.SZ,国盛金控,证券,3.96,13.35,837947.3906
464,002002.SZ,鸿达兴业,化工原料,3.94,4.89,1246537.4229
1112,002652.SZ,扬子新材,其他建材,3.94,4.98,253744.2468
1385,002945.SZ,华林证券,证券,3.93,14.9,402300.0
3452,603707.SH,健友股份,化学制药,3.93,35.3,1004652.3318
2566,600531.SH,豫光金铅,铅锌,3.91,5.6,610535.875
1675,300287.SZ,飞利信,软件服务,3.9,5.63,629941.6014
585,002123.SZ,梦网集团,互联网,3.9,12.01,775171.1437
2884,600885.SH,宏发股份,电气设备,3.88,28.42,2116612.3308
1670,300282.SZ,三盛教育,文教休闲,3.87,13.88,315673.1634
990,002530.SZ,金财互联,专用机械,3.87,11.42,426761.1815
3507,603828.SH,柯利达,装修装饰,3.86,10.49,434467.6134
1541,300152.SZ,科融环境,环境保护,3.86,2.9,206689.9673
804,002343.SZ,慈文传媒,影视音像,3.85,11.71,470951.9591
3256,603222.SH,济民制药,化学制药,3.85,23.02,736640.0
258,000711.SZ,京蓝科技,软件服务,3.84,8.05,327054.7117
646,002184.SZ,海得控制,软件服务,3.83,12.96,176083.9301
1117,002657.SZ,中科金财,软件服务,3.83,21.04,594318.3381
1406,300016.SZ,北陆药业,中成药,3.83,10.6,423670.7121
2764,600751.SH,海航科技,水运,3.82,4.02,1034421.9989
583,002121.SZ,科陆电子,电器仪表,3.82,7.41,671062.4652
423,000957.SZ,中通客车,汽车整车,3.82,7.82,463642.0945
1810,300424.SZ,航新科技,航空,3.81,19.9,313899.3066
2489,600425.SH,青松建化,水泥,3.81,4.82,664576.8215
2992,601162.SH,天风证券,证券,3.81,11.51,596218.0
1116,002656.SZ,摩登大道,服饰,3.8,6.71,316517.8576
672,002210.SZ,飞马国际,仓储物流,3.79,4.17,679726.2013
11,000014.SZ,沙河股份,全国地产,3.79,11.11,224094.4628
2150,600021.SH,上海电力,火力发电,3.78,9.19,786523.177
1785,300399.SZ,京天利,互联网,3.78,13.88,186068.705
605,002143.SZ,印纪传媒,影视音像,3.77,4.35,423743.8926
848,002387.SZ,维信诺,元器件,3.77,13.08,1396698.2909
1643,300255.SZ,常山药业,生物制药,3.77,6.4,413557.0534
2692,600677.SH,航天通信,通信设备,3.76,15.66,652126.3827
3006,601212.SH,白银有色,铜,3.74,4.97,976443.5172
3017,601258.SH,庞大集团,汽车服务,3.74,1.92,1255387.8532
1900,300514.SZ,友讯达,通信设备,3.73,20.42,184433.44
2840,600836.SH,界龙实业,广告包装,3.73,6.26,414883.4231
2038,300659.SZ,中孚信息,软件服务,3.73,32.09,208460.3271
2656,600635.SH,大众公用,供气供热,3.73,7.72,1867307.1731
574,002112.SZ,三变科技,电气设备,3.73,8.27,152004.7179
2697,600682.SH,南京新百,百货,3.73,14.08,1410952.2254
3340,603421.SH,鼎信通讯,通信设备,3.7,27.98,155276.0201
2507,600460.SH,士兰微,半导体,3.7,16.93,2221320.3125
1357,002913.SZ,奥士康,元器件,3.7,55.9,201312.67
1741,300353.SZ,东土科技,通信设备,3.7,13.32,467656.3355
1560,300171.SZ,东富龙,医疗保健,3.69,10.2,340299.5104
1387,002947.SZ,恒铭达,元器件,3.69,51.45,156294.8254
1975,300593.SZ,新雷能,电气设备,3.69,20.3,135827.9374
2377,600288.SH,大恒科技,软件服务,3.69,10.4,454272.0
1321,002875.SZ,安奈儿,服饰,3.68,21.98,85450.547
2477,600406.SH,国电南瑞,软件服务,3.67,23.4,5974500.4816
2046,300667.SZ,必创科技,电器仪表,3.67,36.18,248397.2922
1380,002939.SZ,长城证券,证券,3.64,14.77,458372.9717
1123,002663.SZ,普邦股份,建筑施工,3.63,3.31,413700.6512
391,000911.SZ,南宁糖业,食品,3.63,9.43,305608.3236
1858,300472.SZ,新元科技,专用机械,3.6,20.6,168778.3997
2254,600146.SH,商赢环球,服饰,3.6,8.89,177800.0
2945,600999.SH,招商证券,证券,3.6,18.03,8841370.2111
3080,601789.SH,宁波建工,建筑施工,3.6,4.82,470470.56
2247,600136.SH,当代明诚,影视音像,3.59,14.4,645950.1226
1225,002771.SZ,真视通,软件服务,3.59,16.12,147515.3774
1698,300310.SZ,宜通世纪,通信设备,3.58,6.86,467248.6753
2785,600775.SH,南京熊猫,通信设备,3.58,11.17,750443.6369
973,002512.SZ,达华智能,元器件,3.57,6.8,600613.4027
2061,300682.SZ,朗新科技,软件服务,3.57,24.59,403798.8326
993,002533.SZ,金杯电工,电气设备,3.56,7.0,362497.2365
782,002321.SZ,华英农业,农业综合,3.56,9.03,479537.8466
3436,603679.SH,华体科技,电气设备,3.55,39.69,159494.8961
2968,601068.SH,中铝国际,建筑施工,3.55,7.38,218379.1202
2178,600061.SH,国投资本,证券,3.54,13.55,5655542.2597
416,000948.SZ,南天信息,软件服务,3.53,17.51,431625.7864
1008,002548.SZ,金新农,饲料,3.53,10.94,341943.3914
494,002032.SZ,苏泊尔,家用电器,3.53,62.4,3398453.3482
3062,601628.SH,中国人寿,保险,3.52,28.74,59846825.22
1806,300420.SZ,五洋停车,机械基件,3.51,6.23,292308.9466
3066,601668.SH,中国建筑,建筑施工,3.51,6.08,25013773.6268
363,000876.SZ,新希望,饲料,3.51,12.8,5344543.6173
106,000507.SZ,珠海港,港口,3.51,7.66,591462.1339
412,000936.SZ,华西股份,化纤,3.5,10.83,958860.734
1817,300431.SZ,暴风集团,互联网,3.49,11.31,283461.796
1219,002765.SZ,蓝黛传动,汽车配件,3.47,10.74,273755.8875
1512,300123.SZ,亚光科技,船舶,3.47,13.23,406383.7337
218,000661.SZ,长春高新,生物制药,3.47,271.92,4622853.3484
3352,603501.SH,韦尔股份,半导体,3.47,49.03,689045.0368
3567,603959.SH,百利科技,建筑施工,3.46,19.43,289429.28
1006,002546.SZ,新联电子,电气设备,3.46,6.67,520338.4699
2561,600526.SH,菲达环保,环境保护,3.45,5.83,319136.9238
2646,600621.SH,华鑫股份,证券,3.45,12.99,695289.7838
1193,002736.SZ,国信证券,证券,3.45,13.87,11373400.0
166,000586.SZ,汇源通信,通信设备,3.44,11.1,214718.4
3535,603888.SH,新华网,互联网,3.44,24.75,436763.2005
656,002194.SZ,*ST凡谷,通信设备,3.44,11.46,607796.0427
1067,002607.SZ,中公教育,汽车服务,3.44,11.65,955691.3934
1961,300579.SZ,数字认证,软件服务,3.44,41.64,199979.9184
1943,300559.SZ,佳发教育,软件服务,3.43,42.82,330352.6646
2616,600589.SH,广东榕泰,塑料,3.43,5.98,395622.5162
1479,300090.SZ,盛运环保,环境保护,3.42,2.64,301492.6013
1264,002813.SZ,路畅科技,汽车配件,3.42,37.04,111120.0
1505,300116.SZ,坚瑞沃能,电气设备,3.41,2.24,289883.5513
54,000078.SZ,海王生物,生物制药,3.41,4.52,839207.919
3033,601375.SH,中原证券,证券,3.4,6.11,1101475.7763
123,000530.SZ,大冷股份,机械基件,3.39,5.71,341314.0949
820,002359.SZ,北讯集团,通信设备,3.39,11.54,817109.565
552,002090.SZ,金智科技,软件服务,3.38,25.4,587926.3019
700,002238.SZ,天威视讯,影视音像,3.38,10.39,641429.9748
1081,002621.SZ,三垒股份,专用机械,3.38,22.68,613880.9616
1392,300002.SZ,神州泰岳,软件服务,3.38,5.07,713125.0008
12,000016.SZ,深康佳A,家用电器,3.38,4.58,731231.0294
562,002100.SZ,天康生物,饲料,3.37,9.46,911381.1385
2554,600518.SH,康美药业,中成药,3.37,10.4,4579319.6446
2894,600895.SH,张江高科,园区开发,3.36,25.53,3953804.4212
1972,300590.SZ,移为通信,通信设备,3.36,41.08,398476.0
846,002385.SZ,大北农,饲料,3.35,5.42,1450075.5907
94,000426.SZ,兴业矿业,铅锌,3.35,6.78,902049.0955
525,002063.SZ,远光软件,软件服务,3.35,11.62,884794.6035
636,002174.SZ,游族网络,互联网,3.35,24.46,1570972.0179
1763,300377.SZ,赢时胜,软件服务,3.35,14.86,761853.0336
1523,300134.SZ,大富科技,通信设备,3.34,16.06,1144140.9086
1727,300339.SZ,润和软件,软件服务,3.34,13.87,989811.6382
2942,600996.SH,贵广网络,影视音像,3.33,10.4,309906.7993
2240,600128.SH,弘业股份,商贸代理,3.33,10.69,263794.4575
351,000851.SZ,高鸿股份,软件服务,3.33,6.82,584359.6463
60,000100.SZ,TCL集团,家用电器,3.32,3.7,4731478.6178
2478,600408.SH,*ST安泰,焦炭加工,3.32,4.07,409767.6
1851,300465.SZ,高伟达,软件服务,3.31,8.65,369085.12
2235,600122.SH,宏图高科,其他商业,3.31,4.85,561755.2998
1447,300057.SZ,万顺股份,广告包装,3.29,8.1,294499.5821
1855,300469.SZ,信息发展,软件服务,3.29,25.43,246950.8673
51,000068.SZ,华控赛格,元器件,3.29,7.58,763056.9697
1637,300249.SZ,依米康,软件服务,3.29,8.44,256981.964
1979,300598.SZ,诚迈科技,软件服务,3.29,28.75,139053.515
1012,002552.SZ,宝鼎科技,机械基件,3.28,7.43,148710.6654
3100,601881.SH,中国银河,证券,3.28,11.1,1363669.2812
2672,600652.SH,游久游戏,互联网,3.28,5.3,441332.8539
1507,300118.SZ,东方日升,半导体,3.27,10.17,694143.7851
2955,601010.SH,文峰股份,超市连锁,3.26,4.6,850080.0
1786,300400.SZ,劲拓股份,专用机械,3.26,19.89,316892.8324
1626,300238.SZ,冠昊生物,医疗保健,3.26,13.8,339469.8046
1865,300479.SZ,神思电子,软件服务,3.25,19.12,305920.0
1719,300331.SZ,苏大维格,元器件,3.24,18.84,250722.0154
1929,300545.SZ,联得装备,专用机械,3.23,31.34,150828.1125
364,000877.SZ,天山股份,水泥,3.23,9.99,879214.3046
631,002169.SZ,智光电气,电气设备,3.22,6.22,467040.5454
626,002164.SZ,宁波东力,电气设备,3.22,4.3,189175.665
2188,600072.SH,中船科技,船舶,3.21,11.85,711922.8425
347,000838.SZ,财信发展,区域地产,3.2,4.13,261086.8997
3353,603505.SH,金石资源,矿物制品,3.2,16.77,187881.9907
2177,600060.SH,海信电器,家用电器,3.19,11.18,1462882.0062
1207,002751.SZ,易尚展示,家居用品,3.19,29.05,254038.6188
3299,603326.SH,我乐家居,家居用品,3.19,11.28,72605.2992
1289,002840.SZ,华统股份,食品,3.18,21.39,313868.4708
2868,600868.SH,梅雁吉祥,水力发电,3.18,4.22,801018.7425
587,002125.SZ,湘潭电化,化工原料,3.17,11.67,403315.1825
1968,300586.SZ,美联新材,化工原料,3.16,15.12,92421.0
2731,600718.SH,东软集团,软件服务,3.16,14.8,1838708.0366
2649,600624.SH,复旦复华,综合类,3.15,9.08,621718.5051
