,ts_code,name,industry,continuously_up,average_p_change,last_p_change,circ_mv
3059,601700.SH,风范股份,电气设备,10.0,10.047,10.0443,844257.84
1190,002733.SZ,雄韬股份,电气设备,9.0,3.872,9.9919,446680.2768
173,000595.SZ,宝塔实业,机械基件,8.0,6.274,9.9448,300206.6837
1382,002941.SZ,新疆交建,建筑施工,8.0,7.352,9.9911,239720.0
2283,600190.SH,锦州港,港口,7.0,4.908,10.089,660188.7606
2625,600610.SH,*ST毅达,建筑施工,7.0,4.999,5.2174,90889.0508
565,002103.SZ,广博股份,文教休闲,7.0,2.882,10.1099,187533.4207
1140,002680.SZ,*ST长生,生物制药,7.0,5.0,5.0667,159020.5438
2309,600220.SH,江苏阳光,纺织,6.0,2.469,10.0917,428001.6782
1686,300304.SZ,云意电气,汽车配件,6.0,2.917,10.0817,341771.7725
1494,300111.SZ,向日葵,半导体,6.0,3.082,10.1852,265903.0236
2735,600732.SH,ST新梅,区域地产,6.0,4.377,5.0186,252206.4402
80,000409.SZ,*ST地矿,综合类,6.0,2.351,5.0251,254330.79
735,002274.SZ,华昌化工,农药化肥,6.0,2.001,5.2142,353313.0054
580,002118.SZ,紫鑫药业,中成药,6.0,2.775,9.9558,509539.9899
3217,603169.SH,兰石重装,专用机械,5.0,5.856,5.2427,562844.804
1463,300080.SZ,易成新能,半导体,5.0,3.523,10.1149,240451.591
2303,600213.SH,亚星客车,汽车整车,5.0,2.263,5.3042,148500.0
3373,603598.SH,引力传媒,影视音像,5.0,2.328,6.9397,251791.126
1710,300328.SZ,宜安科技,铝,5.0,6.94,5.7441,332328.744
1699,300317.SZ,珈伟新能,半导体,5.0,3.264,10.0823,351070.4989
424,000958.SZ,东方能源,火力发电,5.0,2.763,7.6696,401234.7275
2677,600671.SH,天目药业,中成药,5.0,3.999,10.0283,236381.2751
1517,300134.SZ,大富科技,通信设备,5.0,2.865,5.9123,740200.7497
2713,600710.SH,苏美达,工程机械,5.0,2.951,10.0,274681.836
560,002098.SZ,浔兴股份,服饰,5.0,4.158,9.9558,355852.0
2738,600735.SH,新华锦,商贸代理,5.0,2.854,6.6667,222587.4392
1141,002681.SZ,奋达科技,家用电器,5.0,6.97,10.0437,556853.5637
2741,600738.SH,兰州民百,百货,5.0,4.415,9.1062,272554.1544
934,002473.SZ,*ST圣莱,家用电器,4.0,2.204,5.0074,114080.0
166,000586.SZ,汇源通信,通信设备,4.0,5.878,10.0437,243734.4
2121,300753.SZ,爱朋医疗,医疗保健,4.0,3.989,10.0077,86819.6
2024,300651.SZ,金陵体育,文教休闲,3.0,3.08,7.8657,116642.176
3273,603311.SH,金海环境,专用机械,2.0,4.756,8.0827,241500.0
2737,600734.SH,实达集团,电脑设备,2.0,10.021,9.9878,320279.6872
3360,603577.SH,汇金通,钢加工,2.0,3.139,5.2232,85887.0975
3239,603220.SH,贝通信,通信设备,2.0,10.021,10.0173,215153.12
2379,600302.SH,标准股份,纺织机械,2.0,10.05,10.101,188575.3432
2751,600748.SH,上实发展,全国地产,2.0,2.913,5.8252,767568.2636
1623,300241.SZ,瑞丰光电,半导体,2.0,4.573,6.3918,197256.1162
2052,300679.SZ,电连技术,元器件,2.0,2.939,5.4215,304471.5584
1318,002871.SZ,伟隆股份,机械基件,2.0,5.725,10.0,60083.1
226,000670.SZ,盈方微,元器件,2.0,9.981,10.0817,242245.0805
358,000862.SZ,银星能源,新型电力,2.0,6.08,9.9379,177478.9231
448,000987.SZ,越秀金控,多元金融,2.0,5.913,10.0376,472136.0984
689,002227.SZ,奥特迅,电气设备,2.0,3.158,5.3931,253547.5687
945,002484.SZ,江海股份,元器件,2.0,4.173,6.3123,488734.1626
979,002518.SZ,科士达,电器仪表,2.0,3.003,5.7441,451940.3311
1120,002660.SZ,茂硕电源,电气设备,2.0,5.273,10.0494,141139.0794
1364,002921.SZ,联诚精密,汽车配件,2.0,3.918,7.2289,136704.0
1966,300590.SZ,移为通信,通信设备,2.0,3.688,6.1991,265877.0
1371,002929.SZ,润建通信,通信设备,2.0,3.697,6.3091,185978.842
1402,300018.SZ,中元股份,电气设备,2.0,5.121,10.0402,199889.4916
1512,300129.SZ,泰胜风能,电气设备,2.0,9.924,9.9125,188330.6893
1524,300141.SZ,和顺电气,电气设备,2.0,10.047,10.0251,143969.7594
1694,300312.SZ,邦讯技术,通信设备,2.0,5.196,10.0244,165928.5
1808,300428.SZ,四通新材,铝,2.0,4.922,7.8431,167039.532
1882,300502.SZ,新易盛,通信设备,2.0,6.453,9.9901,285204.5465
3426,603693.SH,江苏新能,新型电力,2.0,3.115,5.6481,172162.0
