,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
1140,002680.SZ,*ST长生,生物制药,3.0,-60.69,1.51,87703.341
3072,601700.SH,风范股份,电气设备,0.0,-23.58,7.98,904319.136
1968,300587.SZ,天铁股份,橡胶,0.0,-19.77,22.93,96492.5952
819,002358.SZ,森源电气,电气设备,0.0,-18.96,16.28,1482172.3558
358,000862.SZ,银星能源,新型电力,0.0,-17.54,6.4,320865.8496
2316,600218.SH,全柴动力,农用机械,0.0,-17.23,11.2,413005.6
94,000426.SZ,兴业矿业,铅锌,1.0,-15.56,6.54,870118.154
1928,300545.SZ,联得装备,专用机械,1.0,-15.26,31.29,150587.4806
2124,300751.SZ,迈为股份,专用机械,0.0,-15.22,169.66,220558.0
2638,600614.SH,鹏起科技,综合类,0.0,-15.0,5.71,863059.4527
817,002356.SZ,赫美集团,其他商业,5.0,-14.85,6.42,308313.6961
3228,603165.SH,荣晟环保,造纸,4.0,-13.93,20.09,89103.168
1025,002565.SZ,顺灏股份,造纸,1.0,-13.7,9.14,625940.9842
1382,002941.SZ,新疆交建,建筑施工,0.0,-13.27,32.42,210730.0
1309,002862.SZ,实丰文化,文教休闲,0.0,-12.76,23.5,73226.0
3254,603220.SH,贝通信,通信设备,1.0,-12.49,35.2,297228.8
2923,600975.SH,新五丰,农业综合,0.0,-12.33,6.65,434029.2634
1506,300118.SZ,东方日升,半导体,0.0,-12.31,9.48,647048.4841
40,000050.SZ,深天马A,元器件,1.0,-12.28,15.73,2862636.019
2495,600438.SH,通威股份,饲料,0.0,-12.24,11.9,3521770.0033
1669,300282.SZ,三盛教育,文教休闲,0.0,-12.21,14.82,330476.364
3197,603098.SH,森特股份,装修装饰,1.0,-12.09,15.05,112893.06
1062,002602.SZ,世纪华通,汽车配件,0.0,-11.89,20.41,3347408.6213
1149,002689.SZ,远大智能,运输设备,0.0,-11.78,4.99,519369.434
1454,300066.SZ,三川智慧,电器仪表,4.0,-11.68,4.48,446230.4511
848,002387.SZ,维信诺,元器件,1.0,-11.68,13.2,619087.6006
3547,603909.SH,合诚股份,建筑施工,4.0,-11.64,26.44,66100.0
3345,603477.SH,振静股份,纺织,4.0,-11.44,8.42,95567.0
2100,300724.SZ,捷佳伟创,专用机械,1.0,-11.13,38.08,304640.0
802,002341.SZ,新纶科技,化工原料,0.0,-10.98,11.48,717748.8474
3465,603728.SH,鸣志电器,电气设备,0.0,-10.89,13.76,241845.76
912,002451.SZ,摩恩电气,电气设备,1.0,-10.81,14.27,594202.3719
2020,300641.SZ,正丹股份,化工原料,4.0,-10.5,5.77,128890.26
1120,002660.SZ,茂硕电源,电气设备,5.0,-10.46,6.73,142195.5096
2126,300753.SZ,爱朋医疗,医疗保健,4.0,-10.4,44.38,89647.6
1052,002592.SZ,八菱科技,汽车配件,0.0,-10.33,20.09,493667.562
2245,600135.SH,乐凯胶片,化工原料,1.0,-10.22,8.29,309210.1483
1465,300077.SZ,国民技术,半导体,0.0,-10.14,8.27,447358.7859
1661,300274.SZ,阳光电源,电气设备,0.0,-9.6,11.36,1210894.3795
11,000014.SZ,沙河股份,全国地产,4.0,-9.51,11.18,225506.3991
1485,300097.SZ,智云股份,电器仪表,1.0,-9.49,14.45,291664.6407
3367,603538.SH,美诺华,化学制药,4.0,-9.43,19.39,173462.94
1516,300128.SZ,锦富技术,元器件,0.0,-9.25,4.62,492361.1071
478,002016.SZ,世荣兆业,区域地产,4.0,-9.23,10.78,740419.5913
1060,002600.SZ,领益智造,元器件,4.0,-9.21,4.95,736506.0559
808,002347.SZ,泰尔股份,机械基件,4.0,-9.17,4.41,140725.6953
1650,300263.SZ,隆华科技,专用机械,1.0,-9.15,5.45,308059.2853
467,002005.SZ,德豪润达,家用电器,4.0,-9.12,2.82,453714.0864
3471,603739.SH,蔚蓝生物,农业综合,4.0,-9.11,34.61,133826.487
1778,300393.SZ,中来股份,塑料,0.0,-9.09,20.6,248389.9899
3146,603015.SH,弘讯科技,电气设备,4.0,-9.05,7.25,291378.225
2468,600396.SH,金山股份,火力发电,5.0,-8.97,2.28,335777.1543
