code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
600179,安通控股,6.377,-37.759,2.9,0.015,16.905,★,
002742,三圣股份,0.314,-31.905,4.037,0.02,15.955,★,
601360,三六零,2.399,-26.348,3.417,0.009,41.155,★,
300492,山鼎设计,2.956,-24.315,4.97,0.009,28.692,★,
002086,东方海洋,5.638,-22.34,3.9,0.024,8.385,,
002048,宁波华翔,5.113,-22.328,3.143,0.02,16.372,,
002112,三变科技,6.055,-22.2,2.673,0.015,10.17,★,
002110,三钢闽光,2.776,-21.82,2.317,0.037,18.19,★,
600348,阳泉煤业,0.438,-21.759,1.183,0.013,7.028,★,
600569,安阳钢铁,2.352,-21.35,1.777,0.024,3.925,★,
002517,恺英网络,0.483,-20.795,3.257,0.015,16.267,,
600338,西藏珠峰,2.824,-20.399,2.51,0.019,32.322,★,
000717,韶钢松山,10.046,-20.188,2.86,0.054,6.445,,
000020,深华发Ａ,2.242,-20.01,2.573,0.011,14.772,,
300216,千山药机,0.271,-19.934,10.23,0.012,11.175,★,
300741,华宝股份,6.856,-19.89,8.063,0.015,45.548,,
300626,华瑞股份,9.918,-19.489,2.053,0.028,24.702,,
002839,张家港行,2.968,-19.154,5.35,0.011,8.4,★,
600971,恒源煤电,1.843,-19.049,1.403,0.013,8.332,★,
000996,中国中期,4.871,-18.92,4.587,0.016,13.82,,
601003,柳钢股份,20.979,-18.863,1.803,0.076,6.502,,
600901,江苏租赁,15.32,-18.776,9.97,0.049,10.158,,
000006,深振业Ａ,0.709,-18.514,1.137,0.009,7.225,,
002027,分众传媒,0.573,-18.308,1.56,0.023,12.003,,
002594,比亚迪,2.994,-17.792,0.69,0.011,56.258,★,
601838,成都银行,8.572,-17.479,12.717,0.029,11.16,,
000928,中钢国际,0.573,-17.346,0.917,0.008,5.292,★,
000995,皇台酒业,0.647,-17.288,0.913,0.014,7.658,★,
600622,光大嘉宝,1.804,-17.244,0.7,0.023,13.352,,
000957,中通客车,4.75,-17.231,2.077,0.021,9.285,★,
000638,万方发展,9.068,-16.964,3.18,0.033,9.18,,
600258,首旅酒店,0.943,-16.929,0.827,0.01,28.975,,
002892,科力尔,7.007,-16.82,6.907,0.015,34.938,,
002684,猛狮科技,0.832,-16.77,0.893,0.01,13.308,★,
002928,华夏航空,7.491,-16.641,19.13,0.027,38.1,,
000830,鲁西化工,3.619,-16.618,5.123,0.03,17.392,,
000825,太钢不锈,5.254,-16.406,1.353,0.026,5.742,★,
600782,新钢股份,4.873,-16.344,1.86,0.026,6.008,★,
600231,凌钢股份,2.096,-16.138,1.523,0.025,3.925,★,
600490,鹏欣资源,1.732,-16.114,2.067,0.025,8.837,★,
000868,安凯客车,2.405,-15.995,4.783,0.019,6.492,,
601200,上海环境,0.43,-15.941,1.607,0.01,18.502,★,
002306,*ST云网,1.797,-15.889,0.407,0.009,3.4,★,
002648,卫星石化,1.021,-15.664,0.863,0.018,14.718,★,
600581,八一钢铁,2.17,-15.632,3.913,0.025,12.648,★,
600690,青岛海尔,2.836,-15.591,0.633,0.012,17.745,★,
002722,金轮股份,2.38,-15.551,4.43,0.024,21.195,,
600197,伊力特,1.387,-15.443,1.13,0.007,19.138,,
002236,大华股份,3.095,-15.359,1.567,0.023,25.02,★,
002001,新 和 成,3.49,-15.345,1.283,0.017,33.133,,
002856,美芝股份,12.947,-15.262,25.923,0.047,30.75,★,
000980,众泰汽车,3.818,-15.195,2.09,0.014,9.74,★,
002009,天奇股份,3.066,-15.169,1.91,0.015,15.09,★,
300136,信维通信,6.647,-15.067,1.89,0.033,36.552,,
300208,恒顺众昇,1.966,-14.86,1.21,0.017,10.65,,
600282,南钢股份,3.241,-14.852,1.57,0.024,4.475,★,
002879,长缆科技,6.663,-14.844,13.823,0.033,34.265,,
000761,本钢板材,1.136,-14.806,0.407,0.013,4.45,★,
002493,荣盛石化,5.347,-14.771,0.19,0.02,14.638,★,
002101,广东鸿图,0.959,-14.717,1.223,0.005,16.538,★,
601678,滨化股份,3.987,-14.613,1.413,0.023,9.035,★,
300128,锦富技术,5.672,-14.521,1.74,0.033,9.718,,
000932,华菱钢铁,4.703,-14.454,1.993,0.039,7.99,★,
002012,凯恩股份,18.192,-14.344,5.347,0.026,8.145,,
002302,西部建设,1.4,-14.331,1.29,0.012,15.522,,
601601,中国太保,0.661,-14.312,0.47,0.015,33.982,,
600421,ST仰帆,2.386,-14.311,0.203,0.005,7.215,★,
600808,马钢股份,1.996,-14.259,0.783,0.017,3.572,★,
601828,美凯龙,9.613,-14.101,8.173,0.039,16.423,,
601101,昊华能源,1.205,-14.074,0.757,0.016,6.755,★,
601600,中国铝业,1.544,-14.05,2.307,0.025,4.632,★,
300292,吴通控股,1.171,-13.979,0.947,0.014,5.052,,
300314,戴维医疗,1.563,-13.912,1.607,0.01,12.8,,
600075,新疆天业,0.301,-13.872,1.323,0.015,6.915,,
000822,山东海化,9.584,-13.849,2.457,0.03,8.105,★,
002160,常铝股份,8.792,-13.829,6.733,0.052,6.387,,
002167,东方锆业,3.864,-13.809,2.96,0.022,8.88,,
002645,华宏科技,0.137,-13.809,1.223,0.016,20.658,★,
002271,东方雨虹,1.281,-13.804,0.82,0.02,41.01,,
600603,广汇物流,0.722,-13.761,1.07,0.005,7.04,★,
002700,新疆浩源,0.359,-13.608,0.733,0.015,8.21,,
600234,ST山水,1.632,-13.499,0.04,0.006,11.838,★,
600609,金杯汽车,0.187,-13.475,0.393,0.006,5.078,★,
000055,方大集团,0.991,-13.423,1.267,0.01,7.085,★,
600193,创兴资源,2.755,-13.423,1.693,0.018,4.332,,
600970,中材国际,1.054,-13.384,1.43,0.018,8.61,★,
300242,明家联合,0.731,-13.315,1.713,0.009,6.847,,
001965,招商公路,3.219,-13.187,2.027,0.01,9.23,★,
002847,盐津铺子,9.798,-13.15,14.75,0.025,28.015,★,
601336,新华保险,2.28,-13.137,0.843,0.014,46.658,,
600308,华泰股份,1.376,-13.127,2.117,0.016,5.83,★,
300275,梅安森,0.228,-13.098,1.86,0.007,13.072,★,
000725,京东方Ａ,0.981,-13.093,1.423,0.012,5.203,★,
300340,科恒股份,3.572,-13.034,5.623,0.016,45.982,★,
002102,冠福股份,4.85,-13.026,1.013,0.014,4.67,,
601088,中国神华,1.761,-13.012,0.15,0.017,20.728,★,
600563,法拉电子,0.139,-13.004,1.017,0.013,44.27,★,
600261,阳光照明,0.469,-12.992,0.68,0.008,4.322,★,
002514,宝馨科技,1.166,-12.982,1.033,0.014,6.158,★,
000651,格力电器,3.631,-12.978,0.803,0.018,47.33,★,
600093,易见股份,4.022,-12.955,7.653,0.038,14.905,,
600508,上海能源,0.37,-12.911,0.35,0.008,10.688,★,
002926,华西证券,4.118,-12.87,9.827,0.015,13.67,★,
600885,宏发股份,0.098,-12.861,0.293,0.012,40.648,★,
002050,三花智控,0.176,-12.86,0.893,0.015,17.615,★,
002513,蓝丰生化,1.245,-12.85,1.337,0.019,8.698,,
600025,华能水电,3.026,-12.81,4.22,0.015,3.698,,
002473,*ST圣莱,0.405,-12.771,0.793,0.004,7.36,★,
600643,爱建集团,5.109,-12.769,0.943,0.015,11.175,,
600141,兴发集团,4.423,-12.736,1.923,0.024,15.032,★,
000418,小天鹅Ａ,1.214,-12.607,0.383,0.01,65.118,★,
