code,name,p_change_01,past_average_turnover,normalizing_std,stop_mark
300630,普利制药,16.041,3.34,0.028,
002025,航天电器,15.315,3.187,0.029,
300617,安靠智电,15.171,3.903,0.024,
002808,苏州恒久,15.019,3.013,0.029,
002653,海思科,14.392,0.517,0.025,
300237,美晨生态,14.251,0.527,0.021,
300352,北信源,13.816,3.353,0.029,
300298,三诺生物,13.458,1.087,0.026,
002550,千红制药,13.401,1.193,0.027,
600072,中船科技,12.95,2.737,0.028,
002772,众兴菌业,12.787,5.667,0.026,
002007,华兰生物,12.339,1.553,0.024,
000831,五矿稀土,12.214,3.437,0.027,
600416,湘电股份,12.209,1.87,0.025,
002439,启明星辰,12.076,3.707,0.029,
600764,中国海防,12.047,0.99,0.027,
002311,海大集团,11.912,0.47,0.028,
600540,*ST新赛,11.873,1.143,0.028,
300087,荃银高科,11.862,1.57,0.025,
000655,金岭矿业,11.753,3.37,0.026,
300445,康斯特,11.688,2.63,0.027,
000153,丰原药业,11.434,1.9,0.027,
600736,苏州高新,11.403,0.843,0.029,
000901,航天科技,11.363,3.62,0.023,
002630,华西能源,11.265,2.197,0.023,
002474,榕基软件,11.235,3.977,0.027,
600021,上海电力,11.126,0.727,0.027,
002670,国盛金控,11.108,1.92,0.027,
300008,天海防务,11.102,4.003,0.027,
600714,金瑞矿业,11.094,0.693,0.023,
002243,通产丽星,11.092,1.677,0.029,
002390,信邦制药,10.984,2.723,0.028,
600998,九州通,10.87,0.463,0.025,
300349,金卡智能,10.828,2.467,0.029,
300123,亚光科技,10.65,1.62,0.027,
002696,百洋股份,10.648,0.87,0.028,
000966,长源电力,10.485,1.833,0.027,
300150,世纪瑞尔,10.447,1.927,0.029,
600129,太极集团,10.427,0.543,0.02,
002461,珠江啤酒,10.247,0.403,0.028,
000409,山东地矿,10.115,3.287,0.025,
002104,恒宝股份,9.977,3.497,0.029,
002506,协鑫集成,9.926,1.91,0.022,
600990,四创电子,9.898,2.013,0.026,
300176,鸿特精密,9.86,1.253,0.024,
600378,天科股份,9.784,3.447,0.027,
600082,海泰发展,9.739,1.03,0.025,
600184,光电股份,9.723,0.747,0.027,
600834,申通地铁,9.691,0.847,0.025,
600267,海正药业,9.69,1.223,0.028,
601212,白银有色,9.653,3.837,0.023,
300623,捷捷微电,9.573,8.553,0.027,
002614,奥佳华,9.494,1.13,0.023,
600203,福日电子,9.493,2.603,0.024,
600505,西昌电力,9.47,1.507,0.027,
002664,长鹰信质,9.371,0.54,0.025,
600480,凌云股份,9.369,3.987,0.025,
300600,瑞特股份,9.311,1.927,0.019,
300046,台基股份,9.256,3.913,0.027,
300381,溢多利,9.248,0.607,0.025,
300463,迈克生物,9.247,1.247,0.023,
300029,天龙光电,9.243,1.087,0.025,
300142,沃森生物,9.209,1.577,0.024,
600271,航天信息,9.183,1.57,0.02,
300119,瑞普生物,9.166,1.083,0.027,
600640,号百控股,9.153,0.683,0.027,
002491,通鼎互联,9.007,0.963,0.022,
002237,恒邦股份,8.969,4.41,0.023,
300324,旋极信息,8.929,4.24,0.029,
002360,同德化工,8.87,2.88,0.023,
002383,合众思壮,8.799,2.443,0.027,
600489,中金黄金,8.798,3.317,0.025,
300045,华力创通,8.748,2.503,0.025,
002155,湖南黄金,8.583,4.883,0.024,
000411,英特集团,8.574,0.25,0.027,
300175,朗源股份,8.497,8.663,0.029,
002526,山东矿机,8.461,1.12,0.023,
000690,宝新能源,8.43,0.777,0.026,
600857,宁波中百,8.377,0.557,0.024,
000889,茂业通信,8.35,0.557,0.025,
600796,钱江生化,8.21,1.953,0.022,
000028,国药一致,8.152,0.603,0.024,
600161,天坛生物,8.109,1.247,0.024,
002298,中电鑫龙,8.108,1.35,0.025,
600222,太龙药业,8.054,1.227,0.02,
300291,华录百纳,8.038,1.943,0.027,
600452,涪陵电力,8.017,0.607,0.021,
