,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600664.SH,600664,哈药股份,化学制药,True,4.06,0.0,1.0,101.78,"中央汇金资产管理有限责任公司
中国证券投资者保护基金有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
1,002550.SZ,002550,千红制药,生物制药,True,5.68,1.0,2.0,51.74,香港中央结算有限公司(陆股通),1.0
2,000908.SZ,000908,景峰医药,化学制药,True,6.75,2.0,1.0,48.39,"中国长城资产管理股份有限公司
平江县国有资产管理局
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划",3.0
3,000516.SZ,000516,国际医学,医疗保健,True,6.9,0.0,1.0,133.1,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划",2.0
4,300255.SZ,300255,常山药业,生物制药,True,7.2,1.0,1.0,49.07,"中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
珠海保联资产管理有限公司",2.0
5,600351.SH,600351,亚宝药业,中成药,True,8.27,1.0,1.0,63.68,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
6,300358.SZ,300358,楚天科技,医疗保健,True,16.32,0.0,1.0,74.64,"鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划
湖南省资产管理有限公司
中央汇金资产管理有限责任公司
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
西藏德传投资管理有限公司-德传附子证券投资基金",5.0
7,002262.SZ,002262,恩华药业,化学制药,True,20.02,0.0,1.0,178.15,"全国社保基金一零三组合
中国建设银行股份有限公司-鹏华优选价值股票型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-鹏华稳健回报混合型证券投资基金
上海宽远资产管理有限公司-宽远价值进取证券投资基金",5.0
8,000411.SZ,000411,英特集团,医药商业,True,29.13,0.0,2.0,60.39,"基本养老保险基金九零三组合
全国社保基金六零四组合",2.0
9,002399.SZ,002399,海普瑞,化学制药,True,29.28,0.0,1.0,365.18,"中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金
香港中央结算有限公司(陆股通)",4.0
10,300436.SZ,300436,广生堂,化学制药,True,36.47,2.0,1.0,40.99,"奥华集团-华福证券-19奥华E2担保及信托财产专户
奥华集团-华福证券-19奥华E1担保及信托财产专户",2.0
11,605199.SH,605199,葫芦娃,中成药,True,43.63,1.0,1.0,17.5,,0.0
12,600511.SH,600511,国药股份,医药商业,True,52.0,0.0,2.0,287.74,"全国社保基金一零三组合
全国社保基金四一三组合
中央汇金资产管理有限责任公司
全国社保基金一零一组合
博时主题行业混合型证券投资基金(LOF)
全国社保基金一一五组合
广发稳健增长证券投资基金
香港中央结算有限公司(陆股通)",8.0
13,603707.SH,603707,健友股份,化学制药,True,57.35,0.0,1.0,534.89,"兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划
全国社保基金六零二组合
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
全国社保基金一零九组合
中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金
招商银行股份有限公司-兴全合润分级混合型证券投资基金",8.0
14,688189.SH,688189,南新制药,化学制药,True,72.78,1.0,1.0,23.33,,0.0
15,688338.SH,688338,N赛科,生物制药,True,134.0,2.0,1.0,25.08,,0.0
16,300601.SZ,300601,康泰生物,生物制药,True,230.0,4.0,1.0,1035.98,"上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金",6.0
