code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002584,西陇科学,3.64,-59.73,0.293,-8.878,0.16,
000506,中润资源,9.29,-55.273,0.263,14.154,0.067,
601113,华鼎股份,8.33,-55.212,0.257,24.804,0.064,
002451,摩恩电气,4.16,-54.293,0.251,-2.666,0.208,
002260,*ST德奥,2.65,-53.788,0.221,-28.376,0.148,
002356,赫美集团,4.8,-53.014,0.23,30.354,0.253,
000633,合金投资,3.85,-51.978,0.231,15.189,0.11,
002547,春兴精工,7.98,-51.419,0.253,-10.757,0.19,
600130,波导股份,7.68,-49.918,0.263,24.218,0.071,
600695,绿庭投资,3.66,-49.861,0.27,58.518,0.269,
000752,西藏发展,2.64,-49.427,0.241,9.753,0.077,
000411,英特集团,2.07,-47.071,0.181,-8.087,0.09,
002259,ST升达,7.24,-46.402,0.235,-16.54,0.165,
600682,南京新百,9.73,-44.894,0.19,-41.435,0.174,
600807,*ST天业,7.87,-44.45,0.185,31.55,0.102,
600870,*ST厦华,5.23,-44.247,0.173,8.072,0.138,
002810,山东赫达,0.61,-42.825,0.244,4.466,0.062,
000976,华铁股份,5.87,-42.201,0.207,-13.446,0.106,
002071,长城影视,5.18,-42.096,0.216,2.256,0.081,
600393,粤泰股份,9.88,-41.664,0.212,-33.456,0.155,
002560,通达股份,2.71,-39.81,0.198,7.862,0.069,
600365,通葡股份,4.0,-39.417,0.182,-1.3,0.071,
002413,雷科防务,9.95,-38.346,0.178,1.878,0.079,
002522,浙江众成,8.48,-38.238,0.199,-25.359,0.15,
600735,新华锦,3.76,-37.876,0.229,-25.511,0.134,
002114,罗平锌电,3.23,-37.25,0.118,-3.956,0.111,
002021,中捷资源,6.87,-36.999,0.184,35.788,0.077,
002529,海源复材,2.0,-35.637,0.167,-29.15,0.152,
600207,安彩高科,6.9,-34.387,0.152,-21.707,0.113,
000691,亚太实业,2.9,-33.148,0.18,16.258,0.119,
002772,众兴菌业,2.54,-33.001,0.143,-11.319,0.086,
002094,青岛金王,6.01,-32.953,0.151,-26.615,0.24,
002875,安奈儿,0.39,-32.501,0.172,5.064,0.11,
002220,天宝食品,5.45,-31.715,0.144,-29.61,0.143,
002762,金发拉比,1.9,-31.506,0.365,-18.914,0.103,
002760,凤形股份,0.72,-31.34,0.112,6.55,0.095,
000835,长城动漫,3.03,-31.113,0.156,-2.586,0.102,
002192,融捷股份,2.37,-31.089,0.137,-11.809,0.186,
002247,聚力文化,5.4,-30.937,0.149,-30.404,0.167,
