,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600664.SH,600664,哈药股份,化学制药,True,3.8,1.0,1.0,95.26,"中国证券投资者保护基金有限责任公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
1,002550.SZ,002550,千红制药,生物制药,True,5.25,2.0,1.0,47.82,香港中央结算有限公司(陆股通),1.0
2,000516.SZ,000516,国际医学,医疗保健,True,6.48,1.0,1.0,125.0,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划",2.0
3,600351.SH,600351,亚宝药业,中成药,True,9.1,0.0,1.0,70.07,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
4,002166.SZ,002166,莱茵生物,中成药,True,10.54,0.0,1.0,46.75,中央汇金资产管理有限责任公司,1.0
5,300318.SZ,300318,博晖创新,医疗保健,True,13.35,3.0,1.0,96.73,中央汇金资产管理有限责任公司,1.0
6,300358.SZ,300358,楚天科技,医疗保健,True,15.63,1.0,1.0,71.49,"湖南省资产管理有限公司
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划
中央汇金资产管理有限责任公司
西藏德传投资管理有限公司-德传附子证券投资基金",5.0
7,002262.SZ,002262,恩华药业,化学制药,True,19.63,1.0,1.0,174.68,"上海宽远资产管理有限公司-宽远价值进取证券投资基金
中国建设银行股份有限公司-鹏华优选价值股票型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零三组合
招商银行股份有限公司-鹏华稳健回报混合型证券投资基金",5.0
8,000411.SZ,000411,英特集团,医药商业,True,26.98,1.0,2.0,55.94,"基本养老保险基金九零三组合
全国社保基金六零四组合",2.0
9,600511.SH,600511,国药股份,医药商业,True,46.8,1.0,2.0,258.97,"全国社保基金一零三组合
全国社保基金四一三组合
广发稳健增长证券投资基金
香港中央结算有限公司(陆股通)
博时主题行业混合型证券投资基金(LOF)
全国社保基金一一五组合
中央汇金资产管理有限责任公司
全国社保基金一零一组合",8.0
10,688189.SH,688189,南新制药,化学制药,True,68.6,2.0,1.0,21.99,,0.0
